WORD FREQUENCY -- the owner's messages, dictionary bucket
unique roots: 2427   total occurrences: 32424
one bar = 10 occurrences, rounded (339 -> round(33.9) -> 34 bars)

root              count  bars
---------------  ------  ----
please              339  ||||||||||||||||||||||||||||||||||
like                328  |||||||||||||||||||||||||||||||||
make                280  ||||||||||||||||||||||||||||
project             269  |||||||||||||||||||||||||||
think               259  ||||||||||||||||||||||||||
need                256  ||||||||||||||||||||||||||
want                227  |||||||||||||||||||||||
python              226  |||||||||||||||||||||||
run                 225  ||||||||||||||||||||||
use                 225  ||||||||||||||||||||||
mean                208  |||||||||||||||||||||
also                204  ||||||||||||||||||||
see                 197  ||||||||||||||||||||
thing               195  ||||||||||||||||||||
go                  194  |||||||||||||||||||
work                191  |||||||||||||||||||
understand          190  |||||||||||||||||||
yeah                182  ||||||||||||||||||
one                 176  ||||||||||||||||||
say                 167  |||||||||||||||||
something           162  ||||||||||||||||
let                 158  ||||||||||||||||
get                 156  ||||||||||||||||
language            154  |||||||||||||||
sure                152  |||||||||||||||
still               144  ||||||||||||||
keep                130  |||||||||||||
fucking             127  |||||||||||||
map                 126  |||||||||||||
yes                 126  |||||||||||||
function            123  ||||||||||||
turn                122  ||||||||||||
plan                121  ||||||||||||
actual              117  ||||||||||||
file                115  ||||||||||||
level               114  |||||||||||
mind                112  |||||||||||
code                109  |||||||||||
try                 109  |||||||||||
stuff               108  |||||||||||
way                 107  |||||||||||
structure           105  ||||||||||
feel                104  ||||||||||
much                103  ||||||||||
start               103  ||||||||||
okay                102  ||||||||||
object              101  ||||||||||
sorry               101  ||||||||||
log                 100  ||||||||||
module               99  ||||||||||
id                   97  ||||||||||
look                 95  ||||||||||
first                94  |||||||||
problem              93  |||||||||
side                 92  |||||||||
build                91  |||||||||
point                90  |||||||||
next                 88  |||||||||
possible             88  |||||||||
system               88  |||||||||
refer                87  |||||||||
task                 87  |||||||||
output               86  |||||||||
update               86  |||||||||
good                 85  ||||||||
wrapper              85  ||||||||
golden               84  ||||||||
class                83  ||||||||
correct              83  ||||||||
include              82  ||||||||
change               81  ||||||||
conversation         81  ||||||||
whatever             81  ||||||||
continue             80  ||||||||
know                 80  ||||||||
pass                 80  ||||||||
read                 79  ||||||||
track                77  ||||||||
everything           76  ||||||||
