mode: count
cmd/compile/main.go:47.2,49.1 5 1
cmd/compile/main.go:50.2,52.9 5 1
cmd/compile/main.go:57.2,58.14 2 1
cmd/compile/internal/abi/abiutils.go:40.2,41.1 1 7
cmd/compile/internal/abi/abiutils.go:44.2,45.1 1 16
cmd/compile/internal/abi/abiutils.go:48.2,49.1 1 24
cmd/compile/internal/abi/abiutils.go:52.2,53.1 1 13
cmd/compile/internal/abi/abiutils.go:56.2,57.1 1 16
cmd/compile/internal/abi/abiutils.go:60.2,61.1 1 6
cmd/compile/internal/abi/abiutils.go:64.2,65.1 1 6
cmd/compile/internal/abi/abiutils.go:68.2,69.1 1 9
cmd/compile/internal/abi/abiutils.go:80.2,81.1 1 9
cmd/compile/internal/abi/abiutils.go:119.2,120.25 2 7
cmd/compile/internal/abi/abiutils.go:121.3,122.1 1 2
cmd/compile/internal/abi/abiutils.go:123.2,123.17 1 7
cmd/compile/internal/abi/abiutils.go:125.3,126.1 1 5
cmd/compile/internal/abi/abiutils.go:127.2,128.25 2 2
cmd/compile/internal/abi/abiutils.go:129.3,129.29 1 2
cmd/compile/internal/abi/abiutils.go:132.3,132.39 1 2
cmd/compile/internal/abi/abiutils.go:134.2,134.12 1 2
cmd/compile/internal/abi/abiutils.go:138.2,139.12 2 6
cmd/compile/internal/abi/abiutils.go:142.2,145.46 4 6
cmd/compile/internal/abi/abiutils.go:149.2,150.12 2 8
cmd/compile/internal/abi/abiutils.go:153.2,153.51 1 8
cmd/compile/internal/abi/abiutils.go:154.3,154.20 1 8
cmd/compile/internal/abi/abiutils.go:158.4,158.52 1 8
cmd/compile/internal/abi/abiutils.go:159.5,160.1 1 8
cmd/compile/internal/abi/abiutils.go:198.2,199.12 2 6
cmd/compile/internal/abi/abiutils.go:202.2,202.16 1 6
cmd/compile/internal/abi/abiutils.go:205.2,205.37 1 6
cmd/compile/internal/abi/abiutils.go:206.3,206.53 1 6
cmd/compile/internal/abi/abiutils.go:210.4,211.1 1 6
cmd/compile/internal/abi/abiutils.go:250.2,250.20 1 9
cmd/compile/internal/abi/abiutils.go:253.2,253.27 1 9
cmd/compile/internal/abi/abiutils.go:257.2,257.72 1 9
cmd/compile/internal/abi/abiutils.go:278.2,279.1 1 2
cmd/compile/internal/abi/abiutils.go:290.2,291.1 1 18
cmd/compile/internal/abi/abiutils.go:297.2,298.1 1 2
cmd/compile/internal/abi/abiutils.go:354.2,358.1 3 9
cmd/compile/internal/abi/abiutils.go:360.2,360.82 3 9
cmd/compile/internal/abi/abiutils.go:361.3,362.32 2 18
cmd/compile/internal/abi/abiutils.go:363.4,364.26 2 10
cmd/compile/internal/abi/abiutils.go:365.5,366.1 1 9
cmd/compile/internal/abi/abiutils.go:367.4,367.54 1 10
cmd/compile/internal/abi/abiutils.go:369.3,369.13 1 18
cmd/compile/internal/abi/abiutils.go:372.2,373.1 10 9
cmd/compile/internal/abi/abiutils.go:375.2,378.1 10 9
cmd/compile/internal/abi/abiutils.go:380.2,382.1 10 9
cmd/compile/internal/abi/abiutils.go:384.2,387.13 10 9
cmd/compile/internal/abi/abiutils.go:398.2,399.1 2 7
cmd/compile/internal/abi/abiutils.go:401.2,401.35 2 7
cmd/compile/internal/abi/abiutils.go:402.3,403.1 1 5
cmd/compile/internal/abi/abiutils.go:404.2,404.32 1 7
cmd/compile/internal/abi/abiutils.go:405.3,406.1 1 2
cmd/compile/internal/abi/abiutils.go:407.2,407.15 1 7
cmd/compile/internal/abi/abiutils.go:411.2,411.32 1 7
cmd/compile/internal/abi/abiutils.go:416.2,416.40 1 7
cmd/compile/internal/abi/abiutils.go:419.3,420.33 2 5
cmd/compile/internal/abi/abiutils.go:421.4,423.1 2 2
cmd/compile/internal/abi/abiutils.go:425.3,425.33 1 2
cmd/compile/internal/abi/abiutils.go:426.4,429.1 3 1
cmd/compile/internal/abi/abiutils.go:493.2,494.1 1 7
cmd/compile/internal/abi/abiutils.go:498.2,498.12 1 25
cmd/compile/internal/abi/abiutils.go:501.2,501.35 1 25
cmd/compile/internal/abi/abiutils.go:506.2,509.1 3 7
cmd/compile/internal/abi/abiutils.go:515.2,515.19 1 10
cmd/compile/internal/abi/abiutils.go:518.2,520.51 3 10
cmd/compile/internal/abi/abiutils.go:521.3,521.20 1 10
cmd/compile/internal/abi/abiutils.go:524.10,524.39 1 10
cmd/compile/internal/abi/abiutils.go:528.4,529.27 2 10
cmd/compile/internal/abi/abiutils.go:530.5,532.1 2 10
cmd/compile/internal/abi/abiutils.go:534.3,536.14 3 10
cmd/compile/internal/abi/abiutils.go:574.2,574.22 1 9
cmd/compile/internal/abi/abiutils.go:575.3,596.1 11 1
cmd/compile/internal/abi/abiutils.go:604.2,605.1 3 10
cmd/compile/internal/abi/abiutils.go:606.2,607.22 3 10
cmd/compile/internal/abi/abiutils.go:609.9,609.22 1 10
cmd/compile/internal/abi/abiutils.go:610.3,611.1 1 7
cmd/compile/internal/abi/abiutils.go:613.2,618.1 1 10
cmd/compile/internal/abi/abiutils.go:624.2,624.21 1 10
cmd/compile/internal/abi/abiutils.go:628.2,629.126 2 10
cmd/compile/internal/abi/abiutils.go:633.2,634.38 2 10
cmd/compile/internal/abt/avlint32.go:37.2,38.1 1 1
cmd/compile/internal/abt/avlint32.go:60.2,60.14 1 1
cmd/compile/internal/abt/avlint32.go:61.3,62.1 1 1
cmd/compile/internal/abt/avlint32.go:87.2,88.1 1 1
cmd/compile/internal/abt/avlint32.go:96.2,96.20 1 1
cmd/compile/internal/abt/avlint32.go:99.2,102.14 4 1
cmd/compile/internal/abt/avlint32.go:103.3,105.1 2 1
cmd/compile/internal/abt/avlint32.go:108.2,109.14 2 1
cmd/compile/internal/abt/avlint32.go:112.3,113.1 1 1
cmd/compile/internal/abt/avlint32.go:114.2,116.10 3 1
cmd/compile/internal/abt/avlint32.go:125.2,126.14 2 1
cmd/compile/internal/abt/avlint32.go:127.3,128.1 1 1
cmd/compile/internal/abt/avlint32.go:317.2,318.1 1 4
cmd/compile/internal/abt/avlint32.go:416.2,417.1 1 4
cmd/compile/internal/abt/avlint32.go:420.2,420.14 1 4
cmd/compile/internal/abt/avlint32.go:421.3,422.1 1 4
cmd/compile/internal/abt/avlint32.go:513.2,513.15 1 1
cmd/compile/internal/abt/avlint32.go:522.2,522.12 1 1
cmd/compile/internal/amd64/galign.go:15.2,18.1 10 1
cmd/compile/internal/amd64/galign.go:19.2,21.1 10 1
cmd/compile/internal/amd64/galign.go:22.2,27.1 10 1
