1	src/cmd/compile/internal/amd64/galign.go:266-603:func	Init	src/cmd/compile/internal/amd64/galign.go:14
2	src/cmd/compile/internal/ssagen/ssa.go:1924-11068:func	InitConfig	src/cmd/compile/internal/ssagen/ssa.go:80
3	src/cmd/compile/internal/ssagen/ssa.go:269565-270774:func	deferstruct	src/cmd/compile/internal/ssagen/ssa.go:8100
4	src/cmd/compile/internal/abi/abiutils.go:8941-9161:func	NewABIConfig	src/cmd/compile/internal/abi/abiutils.go:277
5	src/cmd/compile/internal/abi/abiutils.go:8941-9161:func	NewABIConfig	src/cmd/compile/internal/abi/abiutils.go:277
6	src/cmd/compile/internal/ssagen/ssa.go:13891-25634:func	buildssa	src/cmd/compile/internal/ssagen/ssa.go:294
7	src/cmd/compile/internal/ssagen/ssa.go:13891-25634:func	buildssa	src/cmd/compile/internal/ssagen/ssa.go:294
8	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
9	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
10	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
11	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
12	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
13	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
14	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
15	src/cmd/compile/internal/abi/abiutils.go:17546-17681:func	nextSlot	src/cmd/compile/internal/abi/abiutils.go:505
16	src/cmd/compile/internal/abi/abiutils.go:17224-17314:func	align	src/cmd/compile/internal/abi/abiutils.go:492
17	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
18	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
19	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
20	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
21	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
22	src/cmd/compile/internal/abi/abiutils.go:17546-17681:func	nextSlot	src/cmd/compile/internal/abi/abiutils.go:505
23	src/cmd/compile/internal/abi/abiutils.go:17224-17314:func	align	src/cmd/compile/internal/abi/abiutils.go:492
24	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
25	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
26	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
27	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
28	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
29	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
30	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
31	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
32	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
33	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
34	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
35	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
36	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
37	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
38	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
39	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
40	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
41	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
42	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
43	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
44	src/cmd/compile/internal/ssagen/ssa.go:26600-27229:method	zeroResults	src/cmd/compile/internal/ssagen/ssa.go:645
45	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
46	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
47	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
48	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
49	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
50	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
51	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
52	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
53	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
54	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
55	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
56	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
57	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
58	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
59	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
60	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
61	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
62	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
63	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
