1	-	src/cmd/compile/internal/amd64/galign.go:266-603:func	Init	src/cmd/compile/internal/amd64/galign.go:14
2	-	src/cmd/compile/internal/ssagen/ssa.go:1924-11068:func	InitConfig	src/cmd/compile/internal/ssagen/ssa.go:80
3	-	src/cmd/compile/internal/ssagen/ssa.go:269565-270774:func	deferstruct	src/cmd/compile/internal/ssagen/ssa.go:8100
4	-	src/cmd/compile/internal/abi/abiutils.go:8941-9161:func	NewABIConfig	src/cmd/compile/internal/abi/abiutils.go:277
5	-	src/cmd/compile/internal/abi/abiutils.go:8941-9161:func	NewABIConfig	src/cmd/compile/internal/abi/abiutils.go:277
6	af	-	subject_enter:enqueueFunc	-
7	main	-	subject_enter:enqueueFunc	-
8	main	-	subject_enter:buildssa	-
9	main	src/cmd/compile/internal/ssagen/ssa.go:13891-25634:func	buildssa	src/cmd/compile/internal/ssagen/ssa.go:294
10	main	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
11	af	-	subject_enter:buildssa	-
12	main	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
13	main	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
14	af	src/cmd/compile/internal/ssagen/ssa.go:13891-25634:func	buildssa	src/cmd/compile/internal/ssagen/ssa.go:294
15	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
16	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
17	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
18	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
19	af	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
20	main	src/cmd/compile/internal/ssagen/ssa.go:26600-27229:method	zeroResults	src/cmd/compile/internal/ssagen/ssa.go:645
21	af	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
22	main	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
23	af	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
24	af	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
25	af	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
26	main	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
27	af	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
28	af	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
29	af	src/cmd/compile/internal/abi/abiutils.go:17546-17681:func	nextSlot	src/cmd/compile/internal/abi/abiutils.go:505
30	af	src/cmd/compile/internal/abi/abiutils.go:17224-17314:func	align	src/cmd/compile/internal/abi/abiutils.go:492
31	main	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
32	af	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
33	af	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
34	af	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
35	af	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
36	main	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
37	af	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
38	af	src/cmd/compile/internal/abi/abiutils.go:17546-17681:func	nextSlot	src/cmd/compile/internal/abi/abiutils.go:505
39	af	src/cmd/compile/internal/abi/abiutils.go:17224-17314:func	align	src/cmd/compile/internal/abi/abiutils.go:492
40	main	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
41	af	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
42	af	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
43	af	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
44	af	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
45	main	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
46	af	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
47	af	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
48	af	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
49	main	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
50	af	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
51	af	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
52	af	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
53	af	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
54	main	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
55	af	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
56	af	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
57	af	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
58	main	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
59	af	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
60	af	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
61	af	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
62	main	src/cmd/compile/internal/abi/abiutils.go:17546-17681:func	nextSlot	src/cmd/compile/internal/abi/abiutils.go:505
63	af	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
