operator inventory: 91 tokens read from probe_manifest_*.json
PASS graph_go.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_cpp.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_rust.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_swift.json -- no operator token in any key, grouping, pairing or row structure
PASS variant_connections_go.json -- no operator token in any key, grouping, pairing or row structure
PASS variant_connections_c.json -- no operator token in any key, grouping, pairing or row structure
PASS variant_connections_cpp.json -- no operator token in any key, grouping, pairing or row structure
PASS variant_connections_c_and_cpp.json -- no operator token in any key, grouping, pairing or row structure
PASS variant_connections_extended.json -- no operator token in any key, grouping, pairing or row structure
PASS variant_connections_rust.json -- no operator token in any key, grouping, pairing or row structure
PASS variant_connections_swift.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_go_files.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_cpp_files.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_rust_files.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_swift_files.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_go_defs.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_cpp_defs.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_rust_defs.json -- no operator token in any key, grouping, pairing or row structure
PASS graph_swift_defs.json -- no operator token in any key, grouping, pairing or row structure
PASS coverage_go_files.json -- no operator token in any key, grouping, pairing or row structure
PASS coverage_cpp_files.json -- no operator token in any key, grouping, pairing or row structure
