nothing.std::monostate.null|monostate
nothing.std::nullptr_t.null|null
nothing.std::optional<int64_t>.null|nullopt
truth.bool.true|true
truth.bool.false|false
whole.int32_t.base_zero|0
whole.int32_t.base_42|42
whole.int32_t.i64max|-1
whole.int32_t.i64max_plus1|0
whole.int32_t.p53_plus1|1
whole.int32_t.u64max|-1
whole.int64_t.base_zero|0
whole.int64_t.base_42|42
whole.int64_t.i64max|9223372036854775807
whole.int64_t.i64max_plus1|-9223372036854775808
whole.int64_t.p53_plus1|9007199254740993
whole.int64_t.u64max|-1
whole.uint64_t.base_zero|0
whole.uint64_t.base_42|42
whole.uint64_t.i64max|9223372036854775807
whole.uint64_t.i64max_plus1|9223372036854775808
whole.uint64_t.p53_plus1|9007199254740993
whole.uint64_t.u64max|18446744073709551615
whole.__int128.base_zero|0
whole.__int128.base_42|42
whole.__int128.i64max|9223372036854775807
whole.__int128.i64max_plus1|9223372036854775808
whole.__int128.p53_plus1|9007199254740993
whole.__int128.u64max|18446744073709551615
fractional.double.base_1_5|1.5
fractional.double.base_pi|3.1415926535897931
fractional.double.negzero|-0
fractional.double.nan|nan
fractional.double.inf|inf
fractional.double.point1|0.10000000000000001
fractional.float.base_1_5|1.5
fractional.float.base_pi|3.14159274
fractional.float.negzero|-0
fractional.float.nan|nan
fractional.float.inf|inf
fractional.float.point1|0.100000001
text.std::string.base_empty|
text.std::string.base_hello|hello
text.std::string.base_lines|line one
text.std::string.eacute|é
text.std::string.clef|𝄞
text.std::string.escapes|quote " backslash \ tab	here
text.const char*.base_empty|
text.const char*.base_hello|hello
text.const char*.base_lines|line one
text.const char*.eacute|é
text.const char*.clef|𝄞
text.const char*.escapes|quote " backslash \ tab	here
text.std::u32string.base_empty|
text.std::u32string.base_hello|[104][101][108][108][111]
text.std::u32string.base_lines|[108][105][110][101][32][111][110][101][10][108][105][110][101][32][116][119][111]
text.std::u32string.eacute|[233]
text.std::u32string.clef|[119070]
text.std::u32string.escapes|[113][117][111][116][101][32][34][32][98][97][99][107][115][108][97][115][104][32][92][32][116][97][98][9][104][101][114][101]
sequence.std::vector<T>.empty|[]
sequence.std::vector<T>.base|[1,2,3]
sequence.std::vector<T>.strs|[a,b]
sequence.std::vector<T>.mixed|<compile-error>
sequence.std::vector<T>.bigint|<compile-error>
sequence.T[N] (C array).empty|[]
sequence.T[N] (C array).base|[1,2,3]
sequence.T[N] (C array).strs|[a,b]
sequence.T[N] (C array).mixed|<compile-error>
sequence.T[N] (C array).bigint|<compile-error>
sequence.std::array<T,N>.empty|[]
sequence.std::array<T,N>.base|[1,2,3]
sequence.std::array<T,N>.strs|[a,b]
sequence.std::array<T,N>.mixed|<compile-error>
sequence.std::array<T,N>.bigint|<compile-error>
sequence.std::deque<T>.empty|[]
sequence.std::deque<T>.base|[1,2,3]
sequence.std::deque<T>.strs|[a,b]
sequence.std::deque<T>.mixed|<compile-error>
sequence.std::deque<T>.bigint|<compile-error>
sequence.std::list<T>.empty|[]
sequence.std::list<T>.base|[1,2,3]
sequence.std::list<T>.strs|[a,b]
sequence.std::list<T>.mixed|<compile-error>
sequence.std::list<T>.bigint|<compile-error>
sequence.std::tuple.empty|()
sequence.std::tuple.base|(1,2,3)
sequence.std::tuple.strs|(a,b)
sequence.std::tuple.mixed|(1,two,3,1,null)
sequence.std::tuple.bigint|(-9223372036854775808)
keyed.std::map<std::string,T>.empty|
keyed.std::map<std::string,T>.flat|a=1,b=2,c=3
keyed.std::map<std::string,T>.intlike|1=string-one-key,b=2
keyed.std::map<std::string,T>.emptykey|=empty-string key
keyed.std::map<std::string,T>.nested|outer=inner=[1,2]
keyed.std::unordered_map<std::string,T>.empty|
keyed.std::unordered_map<std::string,T>.flat|a=1,b=2,c=3
keyed.std::unordered_map<std::string,T>.intlike|1=string-one-key,b=2
keyed.std::unordered_map<std::string,T>.emptykey|=empty-string key
keyed.std::unordered_map<std::string,T>.nested|outer=inner=[1,2]
keyed.struct.empty|
keyed.struct.flat|a=1,b=2,c=3
keyed.struct.intlike|<compile-error>
keyed.struct.emptykey|<compile-error>
keyed.struct.nested|outer=[1,2]
nesting.std::vector<std::vector<T>> / std::map<std::string,std::vector<T>>.seq_in_seq|[[1,2],[3,4]]
nesting.std::vector<std::vector<T>> / std::map<std::string,std::vector<T>>.seq_in_map|outer=[1,2]
nesting.std::vector<std::vector<T>> / std::map<std::string,std::vector<T>>.mixed_depth|[[1],[2,3],[]]
nesting.Node (variant-based).seq_in_seq|[[1,2],[3,4]]
nesting.Node (variant-based).seq_in_map|outer=inner=[1,2]
nesting.Node (variant-based).mixed_depth|[1,[2,k=t],true,null]
identity.std::vector<T> (owned elements).shared|copied
identity.std::vector<T> (owned elements).diamond|distinct
identity.std::vector<T> (owned elements).cycle|<compile-error>
identity.std::shared_ptr<T>.shared|shared
identity.std::shared_ptr<T>.diamond|same
identity.std::shared_ptr<T>.cycle|cycle
identity.T* (raw pointer).shared|shared
identity.T* (raw pointer).diamond|same
identity.T* (raw pointer).cycle|cycle
