probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_3,std::monostate,null,null,null,std::monostate,null,null,null,false,false
P1_11_0_0_3,std::nullptr_t,null,null,null,const char*,base_empty,,t||0|0|0,true,true
P1_11_0_1_3,std::nullptr_t,null,null,null,const char*,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,true,true
P1_11_0_2_3,std::nullptr_t,null,null,null,const char*,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,true,true
P1_11_0_3_3,std::nullptr_t,null,null,null,const char*,clef,f09d849e,t|f09d849e|4|1|1,true,true
P1_11_0_4_3,std::nullptr_t,null,null,null,const char*,eacute,c3a9,t|c3a9|2|1|1,true,true
P1_11_0_5_3,std::nullptr_t,null,null,null,const char*,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,true,true
P1_14_0_0_3,std::nullptr_t,null,null,null,T[N] (C array),base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",true,true
P1_14_0_2_3,std::nullptr_t,null,null,null,T[N] (C array),empty,[],c||empty|as-sorted,true,true
P1_14_0_4_3,std::nullptr_t,null,null,null,T[N] (C array),strs,"['a', 'b']","c|t|61|1|1|1,t|62|1|1|1|integer|as-sorted",true,true
P2_4_0_0_3,std::optional<int64_t>,null,null,null,int32_t,base_42,0000002a,"[1, 1.3125, 5]",true,true
P2_4_0_1_3,std::optional<int64_t>,null,null,null,int32_t,base_zero,00000000,"[1, 0.0, 0]",true,true
P2_4_0_2_3,std::optional<int64_t>,null,null,null,int32_t,i64max,ffffffff,"[-1, 1.0, 0]",true,true
P2_4_0_3_3,std::optional<int64_t>,null,null,null,int32_t,i64max_plus1,00000000,"[1, 0.0, 0]",true,true
P2_4_0_4_3,std::optional<int64_t>,null,null,null,int32_t,p53_plus1,00000001,"[1, 1.0, 0]",true,true
P2_4_0_5_3,std::optional<int64_t>,null,null,null,int32_t,u64max,ffffffff,"[-1, 1.0, 0]",true,true
P2_5_0_0_3,std::optional<int64_t>,null,null,null,int64_t,base_42,000000000000002a,"[1, 1.3125, 5]",true,true
P2_5_0_1_3,std::optional<int64_t>,null,null,null,int64_t,base_zero,0000000000000000,"[1, 0.0, 0]",true,true
P2_5_0_2_3,std::optional<int64_t>,null,null,null,int64_t,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P2_5_0_3_3,std::optional<int64_t>,null,null,null,int64_t,i64max_plus1,8000000000000000,"[-1, 1.0, 63]",true,true
P2_5_0_4_3,std::optional<int64_t>,null,null,null,int64_t,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P2_5_0_5_3,std::optional<int64_t>,null,null,null,int64_t,u64max,ffffffffffffffff,"[-1, 1.0, 0]",true,true
P2_6_0_0_3,std::optional<int64_t>,null,null,null,uint64_t,base_42,000000000000002a,"[1, 1.3125, 5]",true,true
P2_6_0_1_3,std::optional<int64_t>,null,null,null,uint64_t,base_zero,0000000000000000,"[1, 0.0, 0]",true,true
P2_6_0_2_3,std::optional<int64_t>,null,null,null,uint64_t,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P2_6_0_3_3,std::optional<int64_t>,null,null,null,uint64_t,i64max_plus1,8000000000000000,"[1, 1.0, 63]",true,true
P2_6_0_4_3,std::optional<int64_t>,null,null,null,uint64_t,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P2_6_0_5_3,std::optional<int64_t>,null,null,null,uint64_t,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",true,true
