probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P3_3_0_0_2,bool,false,false,false,bool,false,false,false,00000000,"[1, 0.0, 0]"
P3_3_0_1_2,bool,false,false,false,bool,true,true,true,00000000,"[1, 0.0, 0]"
P3_3_1_0_2,bool,true,true,true,bool,false,false,false,00000000,"[1, 0.0, 0]"
P3_3_1_1_2,bool,true,true,true,bool,true,true,true,00000001,"[1, 1.0, 0]"
P3_4_0_0_2,bool,false,false,false,int32_t,base_42,0000002a,"[1, 1.3125, 5]",00000000,"[1, 0.0, 0]"
P3_4_0_1_2,bool,false,false,false,int32_t,base_zero,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P3_4_0_2_2,bool,false,false,false,int32_t,i64max,ffffffff,"[-1, 1.0, 0]",00000000,"[1, 0.0, 0]"
P3_4_0_3_2,bool,false,false,false,int32_t,i64max_plus1,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P3_4_0_4_2,bool,false,false,false,int32_t,p53_plus1,00000001,"[1, 1.0, 0]",00000000,"[1, 0.0, 0]"
P3_4_0_5_2,bool,false,false,false,int32_t,u64max,ffffffff,"[-1, 1.0, 0]",00000000,"[1, 0.0, 0]"
P3_4_1_0_2,bool,true,true,true,int32_t,base_42,0000002a,"[1, 1.3125, 5]",0000002a,"[1, 1.3125, 5]"
P3_4_1_1_2,bool,true,true,true,int32_t,base_zero,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P3_4_1_2_2,bool,true,true,true,int32_t,i64max,ffffffff,"[-1, 1.0, 0]",ffffffff,"[-1, 1.0, 0]"
P3_4_1_3_2,bool,true,true,true,int32_t,i64max_plus1,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P3_4_1_4_2,bool,true,true,true,int32_t,p53_plus1,00000001,"[1, 1.0, 0]",00000001,"[1, 1.0, 0]"
P3_4_1_5_2,bool,true,true,true,int32_t,u64max,ffffffff,"[-1, 1.0, 0]",ffffffff,"[-1, 1.0, 0]"
P3_5_0_0_2,bool,false,false,false,int64_t,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P3_5_0_1_2,bool,false,false,false,int64_t,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P3_5_0_2_2,bool,false,false,false,int64_t,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",0000000000000000,"[1, 0.0, 0]"
P3_5_0_3_2,bool,false,false,false,int64_t,i64max_plus1,8000000000000000,"[-1, 1.0, 63]",0000000000000000,"[1, 0.0, 0]"
P3_5_0_4_2,bool,false,false,false,int64_t,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0000000000000000,"[1, 0.0, 0]"
P3_5_0_5_2,bool,false,false,false,int64_t,u64max,ffffffffffffffff,"[-1, 1.0, 0]",0000000000000000,"[1, 0.0, 0]"
P3_5_1_0_2,bool,true,true,true,int64_t,base_42,000000000000002a,"[1, 1.3125, 5]",000000000000002a,"[1, 1.3125, 5]"
P3_5_1_1_2,bool,true,true,true,int64_t,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P3_5_1_2_2,bool,true,true,true,int64_t,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P3_5_1_3_2,bool,true,true,true,int64_t,i64max_plus1,8000000000000000,"[-1, 1.0, 63]",8000000000000000,"[-1, 1.0, 63]"
P3_5_1_4_2,bool,true,true,true,int64_t,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0020000000000001,"[1, 1.0000000000000001110223024625157, 53]"
P3_5_1_5_2,bool,true,true,true,int64_t,u64max,ffffffffffffffff,"[-1, 1.0, 0]",ffffffffffffffff,"[-1, 1.0, 0]"
P3_6_0_0_2,bool,false,false,false,uint64_t,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P3_6_0_1_2,bool,false,false,false,uint64_t,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P3_6_0_2_2,bool,false,false,false,uint64_t,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",0000000000000000,"[1, 0.0, 0]"
P3_6_0_3_2,bool,false,false,false,uint64_t,i64max_plus1,8000000000000000,"[1, 1.0, 63]",0000000000000000,"[1, 0.0, 0]"
P3_6_0_4_2,bool,false,false,false,uint64_t,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0000000000000000,"[1, 0.0, 0]"
P3_6_0_5_2,bool,false,false,false,uint64_t,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",0000000000000000,"[1, 0.0, 0]"
P3_6_1_0_2,bool,true,true,true,uint64_t,base_42,000000000000002a,"[1, 1.3125, 5]",000000000000002a,"[1, 1.3125, 5]"
P3_6_1_1_2,bool,true,true,true,uint64_t,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P3_6_1_2_2,bool,true,true,true,uint64_t,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P3_6_1_3_2,bool,true,true,true,uint64_t,i64max_plus1,8000000000000000,"[1, 1.0, 63]",8000000000000000,"[1, 1.0, 63]"
P3_6_1_4_2,bool,true,true,true,uint64_t,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0020000000000001,"[1, 1.0000000000000001110223024625157, 53]"
P3_6_1_5_2,bool,true,true,true,uint64_t,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]"
P3_7_0_0_2,bool,false,false,false,__int128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",00000000000000000000000000000000,"[1, 0.0, 0]"
P3_7_0_1_2,bool,false,false,false,__int128,base_zero,00000000000000000000000000000000,"[1, 0.0, 0]",00000000000000000000000000000000,"[1, 0.0, 0]"
P3_7_0_2_2,bool,false,false,false,__int128,i64max,00000000000000007fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",00000000000000000000000000000000,"[1, 0.0, 0]"
P3_7_0_3_2,bool,false,false,false,__int128,i64max_plus1,00000000000000008000000000000000,"[1, 1.0, 63]",00000000000000000000000000000000,"[1, 0.0, 0]"
P3_7_0_4_2,bool,false,false,false,__int128,p53_plus1,00000000000000000020000000000001,"[1, 1.0000000000000001110223024625157, 53]",00000000000000000000000000000000,"[1, 0.0, 0]"
P3_7_0_5_2,bool,false,false,false,__int128,u64max,0000000000000000ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",00000000000000000000000000000000,"[1, 0.0, 0]"
P3_7_1_0_2,bool,true,true,true,__int128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",0000000000000000000000000000002a,"[1, 1.3125, 5]"
P3_7_1_1_2,bool,true,true,true,__int128,base_zero,00000000000000000000000000000000,"[1, 0.0, 0]",00000000000000000000000000000000,"[1, 0.0, 0]"
P3_7_1_2_2,bool,true,true,true,__int128,i64max,00000000000000007fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",00000000000000007fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P3_7_1_3_2,bool,true,true,true,__int128,i64max_plus1,00000000000000008000000000000000,"[1, 1.0, 63]",00000000000000008000000000000000,"[1, 1.0, 63]"
P3_7_1_4_2,bool,true,true,true,__int128,p53_plus1,00000000000000000020000000000001,"[1, 1.0000000000000001110223024625157, 53]",00000000000000000020000000000001,"[1, 1.0000000000000001110223024625157, 53]"
P3_7_1_5_2,bool,true,true,true,__int128,u64max,0000000000000000ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",0000000000000000ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]"
P3_8_0_0_2,bool,false,false,false,double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",0000000000000000,"[1, 0.0, 0]"
P3_8_0_1_2,bool,false,false,false,double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",0000000000000000,"[1, 0.0, 0]"
P3_8_0_2_2,bool,false,false,false,double,inf,7ff0000000000000,"[1, inf]",fff8000000000000,nan
P3_8_0_3_2,bool,false,false,false,double,nan,7ff8000000000000,nan,7ff8000000000000,nan
P3_8_0_4_2,bool,false,false,false,double,negzero,8000000000000000,"[-1, 0.0, 0]",8000000000000000,"[-1, 0.0, 0]"
P3_8_0_5_2,bool,false,false,false,double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",0000000000000000,"[1, 0.0, 0]"
P3_8_1_0_2,bool,true,true,true,double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",3ff8000000000000,"[1, 1.5, 0]"
P3_8_1_1_2,bool,true,true,true,double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]"
P3_8_1_2_2,bool,true,true,true,double,inf,7ff0000000000000,"[1, inf]",7ff0000000000000,"[1, inf]"
P3_8_1_3_2,bool,true,true,true,double,nan,7ff8000000000000,nan,7ff8000000000000,nan
P3_8_1_4_2,bool,true,true,true,double,negzero,8000000000000000,"[-1, 0.0, 0]",8000000000000000,"[-1, 0.0, 0]"
P3_8_1_5_2,bool,true,true,true,double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]"
P3_9_0_0_2,bool,false,false,false,float,base_1_5,3fc00000,"[1, 1.5, 0]",00000000,"[1, 0.0, 0]"
P3_9_0_1_2,bool,false,false,false,float,base_pi,40490fdb,"[1, 1.57079637050628662109375, 1]",00000000,"[1, 0.0, 0]"
P3_9_0_2_2,bool,false,false,false,float,inf,7f800000,"[1, inf]",ffc00000,nan
P3_9_0_3_2,bool,false,false,false,float,nan,7fc00000,nan,7fc00000,nan
P3_9_0_4_2,bool,false,false,false,float,negzero,80000000,"[-1, 0.0, 0]",80000000,"[-1, 0.0, 0]"
P3_9_0_5_2,bool,false,false,false,float,point1,3dcccccd,"[1, 1.60000002384185791015625, -4]",00000000,"[1, 0.0, 0]"
P3_9_1_0_2,bool,true,true,true,float,base_1_5,3fc00000,"[1, 1.5, 0]",3fc00000,"[1, 1.5, 0]"
P3_9_1_1_2,bool,true,true,true,float,base_pi,40490fdb,"[1, 1.57079637050628662109375, 1]",40490fdb,"[1, 1.57079637050628662109375, 1]"
P3_9_1_2_2,bool,true,true,true,float,inf,7f800000,"[1, inf]",7f800000,"[1, inf]"
P3_9_1_3_2,bool,true,true,true,float,nan,7fc00000,nan,7fc00000,nan
P3_9_1_4_2,bool,true,true,true,float,negzero,80000000,"[-1, 0.0, 0]",80000000,"[-1, 0.0, 0]"
P3_9_1_5_2,bool,true,true,true,float,point1,3dcccccd,"[1, 1.60000002384185791015625, -4]",3dcccccd,"[1, 1.60000002384185791015625, -4]"
P4_3_0_0_2,int32_t,base_42,0000002a,"[1, 1.3125, 5]",bool,false,false,false,00000000,"[1, 0.0, 0]"
P4_3_0_1_2,int32_t,base_42,0000002a,"[1, 1.3125, 5]",bool,true,true,true,0000002a,"[1, 1.3125, 5]"
P4_3_1_0_2,int32_t,base_zero,00000000,"[1, 0.0, 0]",bool,false,false,false,00000000,"[1, 0.0, 0]"
P4_3_1_1_2,int32_t,base_zero,00000000,"[1, 0.0, 0]",bool,true,true,true,00000000,"[1, 0.0, 0]"
P4_3_2_0_2,int32_t,i64max,ffffffff,"[-1, 1.0, 0]",bool,false,false,false,00000000,"[1, 0.0, 0]"
P4_3_2_1_2,int32_t,i64max,ffffffff,"[-1, 1.0, 0]",bool,true,true,true,ffffffff,"[-1, 1.0, 0]"
P4_3_3_0_2,int32_t,i64max_plus1,00000000,"[1, 0.0, 0]",bool,false,false,false,00000000,"[1, 0.0, 0]"
P4_3_3_1_2,int32_t,i64max_plus1,00000000,"[1, 0.0, 0]",bool,true,true,true,00000000,"[1, 0.0, 0]"
P4_3_4_0_2,int32_t,p53_plus1,00000001,"[1, 1.0, 0]",bool,false,false,false,00000000,"[1, 0.0, 0]"
P4_3_4_1_2,int32_t,p53_plus1,00000001,"[1, 1.0, 0]",bool,true,true,true,00000001,"[1, 1.0, 0]"
P4_3_5_0_2,int32_t,u64max,ffffffff,"[-1, 1.0, 0]",bool,false,false,false,00000000,"[1, 0.0, 0]"
P4_3_5_1_2,int32_t,u64max,ffffffff,"[-1, 1.0, 0]",bool,true,true,true,ffffffff,"[-1, 1.0, 0]"
P4_4_0_0_2,int32_t,base_42,0000002a,"[1, 1.3125, 5]",int32_t,base_42,0000002a,"[1, 1.3125, 5]",000006e4,"[1, 1.72265625, 10]"
P4_4_0_1_2,int32_t,base_42,0000002a,"[1, 1.3125, 5]",int32_t,base_zero,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P4_4_0_2_2,int32_t,base_42,0000002a,"[1, 1.3125, 5]",int32_t,i64max,ffffffff,"[-1, 1.0, 0]",ffffffd6,"[-1, 1.3125, 5]"
P4_4_0_3_2,int32_t,base_42,0000002a,"[1, 1.3125, 5]",int32_t,i64max_plus1,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P4_4_0_4_2,int32_t,base_42,0000002a,"[1, 1.3125, 5]",int32_t,p53_plus1,00000001,"[1, 1.0, 0]",0000002a,"[1, 1.3125, 5]"
