probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P1_1_0_0_11,Nullable<int>,null,null,null,Nullable<int>,null,null,null,NULL,null
P1_4_0_0_11,Nullable<int>,null,null,null,int,base_42,0000002a,"[1, 1.3125, 5]",NULL,null
P1_4_0_1_11,Nullable<int>,null,null,null,int,base_zero,00000000,"[1, 0.0, 0]",NULL,null
P1_5_0_0_11,Nullable<int>,null,null,null,long,base_42,000000000000002a,"[1, 1.3125, 5]",NULL,null
P1_5_0_1_11,Nullable<int>,null,null,null,long,base_zero,0000000000000000,"[1, 0.0, 0]",NULL,null
P1_5_0_2_11,Nullable<int>,null,null,null,long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",NULL,null
P1_5_0_4_11,Nullable<int>,null,null,null,long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",NULL,null
P1_7_0_0_11,Nullable<int>,null,null,null,System.Numerics.BigInteger,base_42,2a,"[1, 1.3125, 5]",NULL,null
P1_7_0_1_11,Nullable<int>,null,null,null,System.Numerics.BigInteger,base_zero,0,"[1, 0.0, 0]",NULL,null
P1_7_0_2_11,Nullable<int>,null,null,null,System.Numerics.BigInteger,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",NULL,null
P1_7_0_3_11,Nullable<int>,null,null,null,System.Numerics.BigInteger,i64max_plus1,8000000000000000,"[1, 1.0, 63]",NULL,null
P1_7_0_4_11,Nullable<int>,null,null,null,System.Numerics.BigInteger,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",NULL,null
P1_7_0_5_11,Nullable<int>,null,null,null,System.Numerics.BigInteger,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",NULL,null
P1_8_0_0_11,Nullable<int>,null,null,null,short,base_42,002a,"[1, 1.3125, 5]",NULL,null
P1_8_0_1_11,Nullable<int>,null,null,null,short,base_zero,0000,"[1, 0.0, 0]",NULL,null
P3_3_0_0_11,bool,false,false,false,bool,false,false,false,false,false
P3_3_0_1_11,bool,false,false,false,bool,true,true,true,false,false
P3_3_1_0_11,bool,true,true,true,bool,false,false,false,false,false
P3_3_1_1_11,bool,true,true,true,bool,true,true,true,true,true
P4_1_0_0_11,int,base_42,0000002a,"[1, 1.3125, 5]",Nullable<int>,null,null,null,NULL,null
P4_1_1_0_11,int,base_zero,00000000,"[1, 0.0, 0]",Nullable<int>,null,null,null,NULL,null
P4_4_0_0_11,int,base_42,0000002a,"[1, 1.3125, 5]",int,base_42,0000002a,"[1, 1.3125, 5]",0000002a,"[1, 1.3125, 5]"
P4_4_0_1_11,int,base_42,0000002a,"[1, 1.3125, 5]",int,base_zero,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P4_4_1_0_11,int,base_zero,00000000,"[1, 0.0, 0]",int,base_42,0000002a,"[1, 1.3125, 5]",00000000,"[1, 0.0, 0]"
P4_4_1_1_11,int,base_zero,00000000,"[1, 0.0, 0]",int,base_zero,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P4_5_0_0_11,int,base_42,0000002a,"[1, 1.3125, 5]",long,base_42,000000000000002a,"[1, 1.3125, 5]",000000000000002a,"[1, 1.3125, 5]"
P4_5_0_1_11,int,base_42,0000002a,"[1, 1.3125, 5]",long,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
