probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
A:is|0|0,string? (null reference),null,null,null,string? (null reference),null,null,null,,REFUSE
A:is|0|1,string? (null reference),null,null,null,Nullable<int>,null,null,null,,REFUSE
A:is|0|2,string? (null reference),null,null,null,object (null reference),null,null,null,,REFUSE
A:is|0|3,string? (null reference),null,null,null,bool,true,true,true,,REFUSE
A:is|0|4,string? (null reference),null,null,null,int,base_42,0000002a,"[1, 1.3125, 5]",,REFUSE
A:is|0|5,string? (null reference),null,null,null,long,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:is|0|6,string? (null reference),null,null,null,ulong,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:is|0|7,string? (null reference),null,null,null,System.Numerics.BigInteger,base_42,2a,"[1, 1.3125, 5]",,REFUSE
A:is|0|8,string? (null reference),null,null,null,short,base_42,002a,"[1, 1.3125, 5]",,REFUSE
A:is|0|9,string? (null reference),null,null,null,double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",,REFUSE
A:is|0|10,string? (null reference),null,null,null,float,base_1_5,3fc00000,"[1, 1.5, 0]",,REFUSE
A:is|0|11,string? (null reference),null,null,null,decimal,base_1_5,1.5,"[1, 1.5, 0]",,REFUSE
A:is|0|12,string? (null reference),null,null,null,string,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:is|0|13,string? (null reference),null,null,null,char[],base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:is|0|14,string? (null reference),null,null,null,System.Text.StringBuilder,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:is|0|15,string? (null reference),null,null,null,byte[],base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:is|0|16,string? (null reference),null,null,null,T[],base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:is|0|17,string? (null reference),null,null,null,List<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:is|0|18,string? (null reference),null,null,null,ReadOnlyCollection<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:is|0|19,string? (null reference),null,null,null,LinkedList<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:is|0|20,string? (null reference),null,null,null,ValueTuple,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:is|0|21,string? (null reference),null,null,null,object[],base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:is|0|22,string? (null reference),null,null,null,"Dictionary<string,V>",flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:is|0|23,string? (null reference),null,null,null,"SortedDictionary<string,V>",flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:is|0|24,string? (null reference),null,null,null,record,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:is|0|25,string? (null reference),null,null,null,struct,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:is|0|26,string? (null reference),null,null,null,class with fields,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:is|0|27,string? (null reference),null,null,null,List<List<T>>,seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
