probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P1_1_0_0_3,Nullable<int>,null,null,null,Nullable<int>,null,null,null,NULL,null
P1_4_0_0_3,Nullable<int>,null,null,null,int,base_42,0000002a,"[1, 1.3125, 5]",NULL,null
P1_4_0_1_3,Nullable<int>,null,null,null,int,base_zero,00000000,"[1, 0.0, 0]",NULL,null
P1_5_0_0_3,Nullable<int>,null,null,null,long,base_42,000000000000002a,"[1, 1.3125, 5]",NULL,null
P1_5_0_1_3,Nullable<int>,null,null,null,long,base_zero,0000000000000000,"[1, 0.0, 0]",NULL,null
P1_5_0_2_3,Nullable<int>,null,null,null,long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",NULL,null
P1_5_0_4_3,Nullable<int>,null,null,null,long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",NULL,null
P1_7_0_0_3,Nullable<int>,null,null,null,System.Numerics.BigInteger,base_42,2a,"[1, 1.3125, 5]",NULL,null
P1_7_0_1_3,Nullable<int>,null,null,null,System.Numerics.BigInteger,base_zero,0,"[1, 0.0, 0]",NULL,null
P1_7_0_2_3,Nullable<int>,null,null,null,System.Numerics.BigInteger,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",NULL,null
P1_7_0_3_3,Nullable<int>,null,null,null,System.Numerics.BigInteger,i64max_plus1,8000000000000000,"[1, 1.0, 63]",NULL,null
P1_7_0_4_3,Nullable<int>,null,null,null,System.Numerics.BigInteger,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",NULL,null
P1_7_0_5_3,Nullable<int>,null,null,null,System.Numerics.BigInteger,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",NULL,null
P1_8_0_0_3,Nullable<int>,null,null,null,short,base_42,002a,"[1, 1.3125, 5]",NULL,null
P1_8_0_1_3,Nullable<int>,null,null,null,short,base_zero,0000,"[1, 0.0, 0]",NULL,null
P1_9_0_0_3,Nullable<int>,null,null,null,double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",NULL,null
P1_9_0_1_3,Nullable<int>,null,null,null,double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",NULL,null
P1_9_0_2_3,Nullable<int>,null,null,null,double,inf,7ff0000000000000,"[1, inf]",NULL,null
P1_9_0_3_3,Nullable<int>,null,null,null,double,nan,7ff8000000000000,nan,NULL,null
P1_9_0_4_3,Nullable<int>,null,null,null,double,negzero,8000000000000000,"[-1, 0.0, 0]",NULL,null
P1_9_0_5_3,Nullable<int>,null,null,null,double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",NULL,null
P1_10_0_0_3,Nullable<int>,null,null,null,float,base_1_5,3fc00000,"[1, 1.5, 0]",NULL,null
P1_10_0_1_3,Nullable<int>,null,null,null,float,base_pi,40490fdb,"[1, 1.57079637050628662109375, 1]",NULL,null
P1_10_0_2_3,Nullable<int>,null,null,null,float,inf,7f800000,"[1, inf]",NULL,null
P1_10_0_3_3,Nullable<int>,null,null,null,float,nan,7fc00000,nan,NULL,null
P1_10_0_4_3,Nullable<int>,null,null,null,float,negzero,80000000,"[-1, 0.0, 0]",NULL,null
P1_10_0_5_3,Nullable<int>,null,null,null,float,point1,3dcccccd,"[1, 1.60000002384185791015625, -4]",NULL,null
