probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_13,dynamic null,null,null,null,dynamic null,null,null,null,,RAISE:TypeError
P0_3_0_0_13,dynamic null,null,null,null,bool,false,false,false,,RAISE:TypeError
P0_3_0_1_13,dynamic null,null,null,null,bool,true,true,true,,RAISE:TypeError
P3_0_0_0_13,bool,false,false,false,dynamic null,null,null,null,false,false
P3_0_1_0_13,bool,true,true,true,dynamic null,null,null,null,,RAISE:TypeError
P3_3_0_0_13,bool,false,false,false,bool,false,false,false,false,false
P3_3_0_1_13,bool,false,false,false,bool,true,true,true,false,false
P3_3_1_0_13,bool,true,true,true,bool,false,false,false,false,false
P3_3_1_1_13,bool,true,true,true,bool,true,true,true,true,true
A:&&|0|1,dynamic null,null,null,null,Null (declared type),null,null,null,,REFUSE
A:&&|0|2,dynamic null,null,null,null,nullable typed variable (T?),null,null,null,,REFUSE
A:&&|0|4,dynamic null,null,null,null,int,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:&&|0|5,dynamic null,null,null,null,BigInt,base_42,2a,"[1, 1.3125, 5]",,REFUSE
A:&&|0|6,dynamic null,null,null,null,double (whole number),base_42,4045000000000000,"[1, 1.3125, 5]",,REFUSE
A:&&|0|7,dynamic null,null,null,null,double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",,REFUSE
A:&&|0|8,dynamic null,null,null,null,num,base_1_5,3ff8000000000000,"[1, 1.5, 0]",,REFUSE
A:&&|0|9,dynamic null,null,null,null,String,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:&&|0|10,dynamic null,null,null,null,List<int> (code units),base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:&&|0|11,dynamic null,null,null,null,Runes,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:&&|0|12,dynamic null,null,null,null,StringBuffer,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:&&|0|13,dynamic null,null,null,null,List<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&&|0|14,dynamic null,null,null,null,fixed-length List,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&&|0|15,dynamic null,null,null,null,Set<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&&|0|16,dynamic null,null,null,null,Iterable (List.unmodifiable),base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&&|0|17,dynamic null,null,null,null,record,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&&|0|18,dynamic null,null,null,null,"Map<String,V>",flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:&&|0|19,dynamic null,null,null,null,LinkedHashMap,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:&&|0|20,dynamic null,null,null,null,SplayTreeMap,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:&&|0|21,dynamic null,null,null,null,class with fields,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:&&|0|22,dynamic null,null,null,null,nested List,seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
A:&&|0|23,dynamic null,null,null,null,"Map<String,dynamic>",seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
A:&&|0|24,dynamic null,null,null,null,List<Object?>,seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
A:&&|1|0,Null (declared type),null,null,null,dynamic null,null,null,null,,REFUSE
A:&&|1|1,Null (declared type),null,null,null,Null (declared type),null,null,null,,REFUSE
A:&&|1|2,Null (declared type),null,null,null,nullable typed variable (T?),null,null,null,,REFUSE
A:&&|1|3,Null (declared type),null,null,null,bool,true,true,true,,REFUSE
A:&&|1|4,Null (declared type),null,null,null,int,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:&&|1|5,Null (declared type),null,null,null,BigInt,base_42,2a,"[1, 1.3125, 5]",,REFUSE
