probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P3_3_0_0_13,int32,base_42,0000002a,"[1, 1.3125, 5]",int32,base_42,0000002a,"[1, 1.3125, 5]",00000000,"[1, 0.0, 0]"
P3_3_0_1_13,int32,base_42,0000002a,"[1, 1.3125, 5]",int32,base_zero,00000000,"[1, 0.0, 0]",0000002a,"[1, 1.3125, 5]"
P3_3_1_0_13,int32,base_zero,00000000,"[1, 0.0, 0]",int32,base_42,0000002a,"[1, 1.3125, 5]",0000002a,"[1, 1.3125, 5]"
P3_3_1_1_13,int32,base_zero,00000000,"[1, 0.0, 0]",int32,base_zero,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P4_4_0_0_13,int64,base_42,000000000000002a,"[1, 1.3125, 5]",int64,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P4_4_0_1_13,int64,base_42,000000000000002a,"[1, 1.3125, 5]",int64,base_zero,0000000000000000,"[1, 0.0, 0]",000000000000002a,"[1, 1.3125, 5]"
P4_4_0_2_13,int64,base_42,000000000000002a,"[1, 1.3125, 5]",int64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fffffffffffffd5,"[1, 1.9999999999999999906758613166247, 62]"
P4_4_0_4_13,int64,base_42,000000000000002a,"[1, 1.3125, 5]",int64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",002000000000002b,"[1, 1.0000000000000047739590058881731, 53]"
P4_4_1_0_13,int64,base_zero,0000000000000000,"[1, 0.0, 0]",int64,base_42,000000000000002a,"[1, 1.3125, 5]",000000000000002a,"[1, 1.3125, 5]"
P4_4_1_1_13,int64,base_zero,0000000000000000,"[1, 0.0, 0]",int64,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P4_4_1_2_13,int64,base_zero,0000000000000000,"[1, 0.0, 0]",int64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P4_4_1_4_13,int64,base_zero,0000000000000000,"[1, 0.0, 0]",int64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0020000000000001,"[1, 1.0000000000000001110223024625157, 53]"
P4_4_2_0_13,int64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",int64,base_42,000000000000002a,"[1, 1.3125, 5]",7fffffffffffffd5,"[1, 1.9999999999999999906758613166247, 62]"
P4_4_2_1_13,int64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",int64,base_zero,0000000000000000,"[1, 0.0, 0]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P4_4_2_2_13,int64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",int64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",0000000000000000,"[1, 0.0, 0]"
P4_4_2_4_13,int64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",int64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",7fdffffffffffffe,"[1, 1.9980468749999999995663191310058, 62]"
P4_4_4_0_13,int64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",int64,base_42,000000000000002a,"[1, 1.3125, 5]",002000000000002b,"[1, 1.0000000000000047739590058881731, 53]"
P4_4_4_1_13,int64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",int64,base_zero,0000000000000000,"[1, 0.0, 0]",0020000000000001,"[1, 1.0000000000000001110223024625157, 53]"
P4_4_4_2_13,int64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",int64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fdffffffffffffe,"[1, 1.9980468749999999995663191310058, 62]"
P4_4_4_4_13,int64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",int64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0000000000000000,"[1, 0.0, 0]"
P5_5_0_0_13,uint64,base_42,000000000000002a,"[1, 1.3125, 5]",uint64,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P5_5_0_1_13,uint64,base_42,000000000000002a,"[1, 1.3125, 5]",uint64,base_zero,0000000000000000,"[1, 0.0, 0]",000000000000002a,"[1, 1.3125, 5]"
P5_5_0_2_13,uint64,base_42,000000000000002a,"[1, 1.3125, 5]",uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fffffffffffffd5,"[1, 1.9999999999999999906758613166247, 62]"
P5_5_0_3_13,uint64,base_42,000000000000002a,"[1, 1.3125, 5]",uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",800000000000002a,"[1, 1.0000000000000000045536491244391, 63]"
P5_5_0_4_13,uint64,base_42,000000000000002a,"[1, 1.3125, 5]",uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",002000000000002b,"[1, 1.0000000000000047739590058881731, 53]"
P5_5_0_5_13,uint64,base_42,000000000000002a,"[1, 1.3125, 5]",uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",ffffffffffffffd5,"[1, 1.9999999999999999953379306583123, 63]"
P5_5_1_0_13,uint64,base_zero,0000000000000000,"[1, 0.0, 0]",uint64,base_42,000000000000002a,"[1, 1.3125, 5]",000000000000002a,"[1, 1.3125, 5]"
P5_5_1_1_13,uint64,base_zero,0000000000000000,"[1, 0.0, 0]",uint64,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P5_5_1_2_13,uint64,base_zero,0000000000000000,"[1, 0.0, 0]",uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P5_5_1_3_13,uint64,base_zero,0000000000000000,"[1, 0.0, 0]",uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",8000000000000000,"[1, 1.0, 63]"
P5_5_1_4_13,uint64,base_zero,0000000000000000,"[1, 0.0, 0]",uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0020000000000001,"[1, 1.0000000000000001110223024625157, 53]"
P5_5_1_5_13,uint64,base_zero,0000000000000000,"[1, 0.0, 0]",uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]"
P5_5_2_0_13,uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",uint64,base_42,000000000000002a,"[1, 1.3125, 5]",7fffffffffffffd5,"[1, 1.9999999999999999906758613166247, 62]"
P5_5_2_1_13,uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",uint64,base_zero,0000000000000000,"[1, 0.0, 0]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P5_5_2_2_13,uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",0000000000000000,"[1, 0.0, 0]"
P5_5_2_3_13,uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]"
P5_5_2_4_13,uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",7fdffffffffffffe,"[1, 1.9980468749999999995663191310058, 62]"
P5_5_2_5_13,uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",8000000000000000,"[1, 1.0, 63]"
P5_5_3_0_13,uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",uint64,base_42,000000000000002a,"[1, 1.3125, 5]",800000000000002a,"[1, 1.0000000000000000045536491244391, 63]"
P5_5_3_1_13,uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",uint64,base_zero,0000000000000000,"[1, 0.0, 0]",8000000000000000,"[1, 1.0, 63]"
P5_5_3_2_13,uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]"
P5_5_3_3_13,uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",0000000000000000,"[1, 0.0, 0]"
P5_5_3_4_13,uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",8020000000000001,"[1, 1.0009765625000000001084202172486, 63]"
P5_5_3_5_13,uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P5_5_4_0_13,uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",uint64,base_42,000000000000002a,"[1, 1.3125, 5]",002000000000002b,"[1, 1.0000000000000047739590058881731, 53]"
P5_5_4_1_13,uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",uint64,base_zero,0000000000000000,"[1, 0.0, 0]",0020000000000001,"[1, 1.0000000000000001110223024625157, 53]"
P5_5_4_2_13,uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fdffffffffffffe,"[1, 1.9980468749999999995663191310058, 62]"
P5_5_4_3_13,uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",8020000000000001,"[1, 1.0009765625000000001084202172486, 63]"
P5_5_4_4_13,uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0000000000000000,"[1, 0.0, 0]"
P5_5_4_5_13,uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",ffdffffffffffffe,"[1, 1.9990234374999999997831595655029, 63]"
P5_5_5_0_13,uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",uint64,base_42,000000000000002a,"[1, 1.3125, 5]",ffffffffffffffd5,"[1, 1.9999999999999999953379306583123, 63]"
P5_5_5_1_13,uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",uint64,base_zero,0000000000000000,"[1, 0.0, 0]",ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]"
P5_5_5_2_13,uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",uint64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",8000000000000000,"[1, 1.0, 63]"
P5_5_5_3_13,uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",uint64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P5_5_5_4_13,uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",uint64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",ffdffffffffffffe,"[1, 1.9990234374999999997831595655029, 63]"
P5_5_5_5_13,uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",uint64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",0000000000000000,"[1, 0.0, 0]"
P6_6_0_0_13,int,base_42,000000000000002a,"[1, 1.3125, 5]",int,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P6_6_0_1_13,int,base_42,000000000000002a,"[1, 1.3125, 5]",int,base_zero,0000000000000000,"[1, 0.0, 0]",000000000000002a,"[1, 1.3125, 5]"
P6_6_0_2_13,int,base_42,000000000000002a,"[1, 1.3125, 5]",int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fffffffffffffd5,"[1, 1.9999999999999999906758613166247, 62]"
P6_6_0_4_13,int,base_42,000000000000002a,"[1, 1.3125, 5]",int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",002000000000002b,"[1, 1.0000000000000047739590058881731, 53]"
P6_6_1_0_13,int,base_zero,0000000000000000,"[1, 0.0, 0]",int,base_42,000000000000002a,"[1, 1.3125, 5]",000000000000002a,"[1, 1.3125, 5]"
P6_6_1_1_13,int,base_zero,0000000000000000,"[1, 0.0, 0]",int,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P6_6_1_2_13,int,base_zero,0000000000000000,"[1, 0.0, 0]",int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P6_6_1_4_13,int,base_zero,0000000000000000,"[1, 0.0, 0]",int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0020000000000001,"[1, 1.0000000000000001110223024625157, 53]"
P6_6_2_0_13,int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",int,base_42,000000000000002a,"[1, 1.3125, 5]",7fffffffffffffd5,"[1, 1.9999999999999999906758613166247, 62]"
