probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_10,null reference,null,null,null,null reference,null,null,null,false,false
P0_14_0_0_10,null reference,null,null,null,String,base_empty,,t||0|0|0,true,true
P0_14_0_1_10,null reference,null,null,null,String,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,true,true
P0_14_0_2_10,null reference,null,null,null,String,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,true,true
P0_14_0_3_10,null reference,null,null,null,String,clef,f09d849e,t|f09d849e|4|1|1,true,true
P0_14_0_4_10,null reference,null,null,null,String,eacute,c3a9,t|c3a9|2|1|1,true,true
P0_14_0_5_10,null reference,null,null,null,String,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,true,true
P1_1_0_0_10,Optional.empty(),null,null,null,Optional.empty(),null,null,null,false,false
P2_2_0_0_10,Void,null,null,null,Void,null,null,null,false,false
P3_3_0_0_10,boolean,false,false,false,boolean,false,false,false,false,false
P3_3_0_1_10,boolean,false,false,false,boolean,true,true,true,true,true
P3_3_1_0_10,boolean,true,true,true,boolean,false,false,false,true,true
P3_3_1_1_10,boolean,true,true,true,boolean,true,true,true,false,false
P3_4_0_0_10,boolean,false,false,false,Boolean,false,false,false,false,false
P3_4_0_1_10,boolean,false,false,false,Boolean,true,true,true,true,true
P3_4_1_0_10,boolean,true,true,true,Boolean,false,false,false,true,true
P3_4_1_1_10,boolean,true,true,true,Boolean,true,true,true,false,false
P4_3_0_0_10,Boolean,false,false,false,boolean,false,false,false,false,false
P4_3_0_1_10,Boolean,false,false,false,boolean,true,true,true,true,true
P4_3_1_0_10,Boolean,true,true,true,boolean,false,false,false,true,true
P4_3_1_1_10,Boolean,true,true,true,boolean,true,true,true,false,false
P4_4_0_0_10,Boolean,false,false,false,Boolean,false,false,false,false,false
P4_4_0_1_10,Boolean,false,false,false,Boolean,true,true,true,true,true
P4_4_1_0_10,Boolean,true,true,true,Boolean,false,false,false,true,true
P4_4_1_1_10,Boolean,true,true,true,Boolean,true,true,true,false,false
P5_5_0_0_10,short,base_42,002a,"[1, 1.3125, 5]",short,base_42,002a,"[1, 1.3125, 5]",false,false
P5_5_0_1_10,short,base_42,002a,"[1, 1.3125, 5]",short,base_zero,0000,"[1, 0.0, 0]",true,true
P5_5_1_0_10,short,base_zero,0000,"[1, 0.0, 0]",short,base_42,002a,"[1, 1.3125, 5]",true,true
P5_5_1_1_10,short,base_zero,0000,"[1, 0.0, 0]",short,base_zero,0000,"[1, 0.0, 0]",false,false
P5_6_0_0_10,short,base_42,002a,"[1, 1.3125, 5]",int,base_42,0000002a,"[1, 1.3125, 5]",false,false
P5_6_0_1_10,short,base_42,002a,"[1, 1.3125, 5]",int,base_zero,00000000,"[1, 0.0, 0]",true,true
P5_6_1_0_10,short,base_zero,0000,"[1, 0.0, 0]",int,base_42,0000002a,"[1, 1.3125, 5]",true,true
P5_6_1_1_10,short,base_zero,0000,"[1, 0.0, 0]",int,base_zero,00000000,"[1, 0.0, 0]",false,false
P5_7_0_0_10,short,base_42,002a,"[1, 1.3125, 5]",long,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P5_7_0_1_10,short,base_42,002a,"[1, 1.3125, 5]",long,base_zero,0000000000000000,"[1, 0.0, 0]",true,true
P5_7_0_2_10,short,base_42,002a,"[1, 1.3125, 5]",long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P5_7_0_4_10,short,base_42,002a,"[1, 1.3125, 5]",long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P5_7_1_0_10,short,base_zero,0000,"[1, 0.0, 0]",long,base_42,000000000000002a,"[1, 1.3125, 5]",true,true
P5_7_1_1_10,short,base_zero,0000,"[1, 0.0, 0]",long,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P5_7_1_2_10,short,base_zero,0000,"[1, 0.0, 0]",long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P5_7_1_4_10,short,base_zero,0000,"[1, 0.0, 0]",long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P5_8_0_0_10,short,base_42,002a,"[1, 1.3125, 5]",Integer,base_42,0000002a,"[1, 1.3125, 5]",false,false
P5_8_0_1_10,short,base_42,002a,"[1, 1.3125, 5]",Integer,base_zero,00000000,"[1, 0.0, 0]",true,true
P5_8_1_0_10,short,base_zero,0000,"[1, 0.0, 0]",Integer,base_42,0000002a,"[1, 1.3125, 5]",true,true
P5_8_1_1_10,short,base_zero,0000,"[1, 0.0, 0]",Integer,base_zero,00000000,"[1, 0.0, 0]",false,false
P5_9_0_0_10,short,base_42,002a,"[1, 1.3125, 5]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P5_9_0_1_10,short,base_42,002a,"[1, 1.3125, 5]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",true,true
P5_9_0_2_10,short,base_42,002a,"[1, 1.3125, 5]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P5_9_0_4_10,short,base_42,002a,"[1, 1.3125, 5]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P5_9_1_0_10,short,base_zero,0000,"[1, 0.0, 0]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",true,true
P5_9_1_1_10,short,base_zero,0000,"[1, 0.0, 0]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P5_9_1_2_10,short,base_zero,0000,"[1, 0.0, 0]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P5_9_1_4_10,short,base_zero,0000,"[1, 0.0, 0]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P5_11_0_0_10,short,base_42,002a,"[1, 1.3125, 5]",double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",true,true
P5_11_0_1_10,short,base_42,002a,"[1, 1.3125, 5]",double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",true,true
P5_11_0_2_10,short,base_42,002a,"[1, 1.3125, 5]",double,inf,7ff0000000000000,"[1, inf]",true,true
P5_11_0_3_10,short,base_42,002a,"[1, 1.3125, 5]",double,nan,7ff8000000000000,nan,true,true
P5_11_0_4_10,short,base_42,002a,"[1, 1.3125, 5]",double,negzero,8000000000000000,"[-1, 0.0, 0]",true,true
P5_11_0_5_10,short,base_42,002a,"[1, 1.3125, 5]",double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",true,true
P5_11_1_0_10,short,base_zero,0000,"[1, 0.0, 0]",double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",true,true
P5_11_1_1_10,short,base_zero,0000,"[1, 0.0, 0]",double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",true,true
P5_11_1_2_10,short,base_zero,0000,"[1, 0.0, 0]",double,inf,7ff0000000000000,"[1, inf]",true,true
P5_11_1_3_10,short,base_zero,0000,"[1, 0.0, 0]",double,nan,7ff8000000000000,nan,true,true
P5_11_1_4_10,short,base_zero,0000,"[1, 0.0, 0]",double,negzero,8000000000000000,"[-1, 0.0, 0]",false,false
P5_11_1_5_10,short,base_zero,0000,"[1, 0.0, 0]",double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",true,true
P5_12_0_0_10,short,base_42,002a,"[1, 1.3125, 5]",float,base_1_5,3fc00000,"[1, 1.5, 0]",true,true
P5_12_0_1_10,short,base_42,002a,"[1, 1.3125, 5]",float,base_pi,40490fdb,"[1, 1.57079637050628662109375, 1]",true,true
P5_12_0_2_10,short,base_42,002a,"[1, 1.3125, 5]",float,inf,7f800000,"[1, inf]",true,true
P5_12_0_3_10,short,base_42,002a,"[1, 1.3125, 5]",float,nan,7fc00000,nan,true,true
P5_12_0_4_10,short,base_42,002a,"[1, 1.3125, 5]",float,negzero,80000000,"[-1, 0.0, 0]",true,true
P5_12_0_5_10,short,base_42,002a,"[1, 1.3125, 5]",float,point1,3dcccccd,"[1, 1.60000002384185791015625, -4]",true,true
P5_12_1_0_10,short,base_zero,0000,"[1, 0.0, 0]",float,base_1_5,3fc00000,"[1, 1.5, 0]",true,true
P5_12_1_1_10,short,base_zero,0000,"[1, 0.0, 0]",float,base_pi,40490fdb,"[1, 1.57079637050628662109375, 1]",true,true
P5_12_1_2_10,short,base_zero,0000,"[1, 0.0, 0]",float,inf,7f800000,"[1, inf]",true,true
P5_12_1_3_10,short,base_zero,0000,"[1, 0.0, 0]",float,nan,7fc00000,nan,true,true
P5_12_1_4_10,short,base_zero,0000,"[1, 0.0, 0]",float,negzero,80000000,"[-1, 0.0, 0]",false,false
P5_12_1_5_10,short,base_zero,0000,"[1, 0.0, 0]",float,point1,3dcccccd,"[1, 1.60000002384185791015625, -4]",true,true
P6_5_0_0_10,int,base_42,0000002a,"[1, 1.3125, 5]",short,base_42,002a,"[1, 1.3125, 5]",false,false
P6_5_0_1_10,int,base_42,0000002a,"[1, 1.3125, 5]",short,base_zero,0000,"[1, 0.0, 0]",true,true
P6_5_1_0_10,int,base_zero,00000000,"[1, 0.0, 0]",short,base_42,002a,"[1, 1.3125, 5]",true,true
P6_5_1_1_10,int,base_zero,00000000,"[1, 0.0, 0]",short,base_zero,0000,"[1, 0.0, 0]",false,false
P6_6_0_0_10,int,base_42,0000002a,"[1, 1.3125, 5]",int,base_42,0000002a,"[1, 1.3125, 5]",false,false
P6_6_0_1_10,int,base_42,0000002a,"[1, 1.3125, 5]",int,base_zero,00000000,"[1, 0.0, 0]",true,true
P6_6_1_0_10,int,base_zero,00000000,"[1, 0.0, 0]",int,base_42,0000002a,"[1, 1.3125, 5]",true,true
P6_6_1_1_10,int,base_zero,00000000,"[1, 0.0, 0]",int,base_zero,00000000,"[1, 0.0, 0]",false,false
P6_7_0_0_10,int,base_42,0000002a,"[1, 1.3125, 5]",long,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P6_7_0_1_10,int,base_42,0000002a,"[1, 1.3125, 5]",long,base_zero,0000000000000000,"[1, 0.0, 0]",true,true
P6_7_0_2_10,int,base_42,0000002a,"[1, 1.3125, 5]",long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P6_7_0_4_10,int,base_42,0000002a,"[1, 1.3125, 5]",long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P6_7_1_0_10,int,base_zero,00000000,"[1, 0.0, 0]",long,base_42,000000000000002a,"[1, 1.3125, 5]",true,true
P6_7_1_1_10,int,base_zero,00000000,"[1, 0.0, 0]",long,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P6_7_1_2_10,int,base_zero,00000000,"[1, 0.0, 0]",long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P6_7_1_4_10,int,base_zero,00000000,"[1, 0.0, 0]",long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P6_8_0_0_10,int,base_42,0000002a,"[1, 1.3125, 5]",Integer,base_42,0000002a,"[1, 1.3125, 5]",false,false
P6_8_0_1_10,int,base_42,0000002a,"[1, 1.3125, 5]",Integer,base_zero,00000000,"[1, 0.0, 0]",true,true
P6_8_1_0_10,int,base_zero,00000000,"[1, 0.0, 0]",Integer,base_42,0000002a,"[1, 1.3125, 5]",true,true
P6_8_1_1_10,int,base_zero,00000000,"[1, 0.0, 0]",Integer,base_zero,00000000,"[1, 0.0, 0]",false,false
P6_9_0_0_10,int,base_42,0000002a,"[1, 1.3125, 5]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P6_9_0_1_10,int,base_42,0000002a,"[1, 1.3125, 5]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",true,true
P6_9_0_2_10,int,base_42,0000002a,"[1, 1.3125, 5]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P6_9_0_4_10,int,base_42,0000002a,"[1, 1.3125, 5]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P6_9_1_0_10,int,base_zero,00000000,"[1, 0.0, 0]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",true,true
P6_9_1_1_10,int,base_zero,00000000,"[1, 0.0, 0]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P6_9_1_2_10,int,base_zero,00000000,"[1, 0.0, 0]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P6_9_1_4_10,int,base_zero,00000000,"[1, 0.0, 0]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P6_11_0_0_10,int,base_42,0000002a,"[1, 1.3125, 5]",double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",true,true
P6_11_0_1_10,int,base_42,0000002a,"[1, 1.3125, 5]",double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",true,true
P6_11_0_2_10,int,base_42,0000002a,"[1, 1.3125, 5]",double,inf,7ff0000000000000,"[1, inf]",true,true
P6_11_0_3_10,int,base_42,0000002a,"[1, 1.3125, 5]",double,nan,7ff8000000000000,nan,true,true
P6_11_0_4_10,int,base_42,0000002a,"[1, 1.3125, 5]",double,negzero,8000000000000000,"[-1, 0.0, 0]",true,true
P6_11_0_5_10,int,base_42,0000002a,"[1, 1.3125, 5]",double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",true,true
P6_11_1_0_10,int,base_zero,00000000,"[1, 0.0, 0]",double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",true,true
P6_11_1_1_10,int,base_zero,00000000,"[1, 0.0, 0]",double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",true,true
P6_11_1_2_10,int,base_zero,00000000,"[1, 0.0, 0]",double,inf,7ff0000000000000,"[1, inf]",true,true
P6_11_1_3_10,int,base_zero,00000000,"[1, 0.0, 0]",double,nan,7ff8000000000000,nan,true,true
P6_11_1_4_10,int,base_zero,00000000,"[1, 0.0, 0]",double,negzero,8000000000000000,"[-1, 0.0, 0]",false,false
P6_11_1_5_10,int,base_zero,00000000,"[1, 0.0, 0]",double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",true,true
