probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
A:instanceof|0|0,null reference,null,null,null,null reference,null,null,null,,REFUSE
A:instanceof|0|1,null reference,null,null,null,Optional.empty(),null,null,null,,REFUSE
A:instanceof|0|2,null reference,null,null,null,Void,null,null,null,,REFUSE
A:instanceof|0|3,null reference,null,null,null,boolean,true,true,true,,REFUSE
A:instanceof|0|4,null reference,null,null,null,Boolean,true,true,true,,REFUSE
A:instanceof|0|5,null reference,null,null,null,short,base_42,002a,"[1, 1.3125, 5]",,REFUSE
A:instanceof|0|6,null reference,null,null,null,int,base_42,0000002a,"[1, 1.3125, 5]",,REFUSE
A:instanceof|0|7,null reference,null,null,null,long,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:instanceof|0|8,null reference,null,null,null,Integer,base_42,0000002a,"[1, 1.3125, 5]",,REFUSE
A:instanceof|0|9,null reference,null,null,null,Long,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:instanceof|0|10,null reference,null,null,null,BigInteger,base_42,2a,"[1, 1.3125, 5]",,REFUSE
A:instanceof|0|11,null reference,null,null,null,double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",,REFUSE
A:instanceof|0|12,null reference,null,null,null,float,base_1_5,3fc00000,"[1, 1.5, 0]",,REFUSE
A:instanceof|0|13,null reference,null,null,null,BigDecimal,base_1_5,1.5,"[1, 1.5, 0]",,REFUSE
A:instanceof|0|14,null reference,null,null,null,String,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:instanceof|0|15,null reference,null,null,null,char[],base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:instanceof|0|16,null reference,null,null,null,StringBuilder,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:instanceof|0|17,null reference,null,null,null,byte[],base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:instanceof|0|18,null reference,null,null,null,Object[],base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:instanceof|0|19,null reference,null,null,null,long[],base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:instanceof|0|20,null reference,null,null,null,ArrayList<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:instanceof|0|21,null reference,null,null,null,List.of(...),base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:instanceof|0|22,null reference,null,null,null,LinkedList<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:instanceof|0|23,null reference,null,null,null,ArrayDeque<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:instanceof|0|24,null reference,null,null,null,"HashMap<String,V>",flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:instanceof|0|25,null reference,null,null,null,"LinkedHashMap<String,V>",flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
