probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_0,null reference,null,null,null,null reference,null,null,null,8:8:6e756c6c6e756c6c,t|6e756c6c6e756c6c|8|8|8
P0_1_0_0_0,null reference,null,null,null,Optional.empty(),null,null,null,18:18:6e756c6c4f7074696f6e616c2e656d707479,t|6e756c6c4f7074696f6e616c2e656d707479|18|18|18
P0_2_0_0_0,null reference,null,null,null,Void,null,null,null,8:8:6e756c6c6e756c6c,t|6e756c6c6e756c6c|8|8|8
P0_3_0_0_0,null reference,null,null,null,boolean,false,false,false,9:9:6e756c6c66616c7365,t|6e756c6c66616c7365|9|9|9
P0_3_0_1_0,null reference,null,null,null,boolean,true,true,true,8:8:6e756c6c74727565,t|6e756c6c74727565|8|8|8
P0_4_0_0_0,null reference,null,null,null,Boolean,false,false,false,9:9:6e756c6c66616c7365,t|6e756c6c66616c7365|9|9|9
P0_4_0_1_0,null reference,null,null,null,Boolean,true,true,true,8:8:6e756c6c74727565,t|6e756c6c74727565|8|8|8
P0_5_0_0_0,null reference,null,null,null,short,base_42,002a,"[1, 1.3125, 5]",6:6:6e756c6c3432,t|6e756c6c3432|6|6|6
P0_5_0_1_0,null reference,null,null,null,short,base_zero,0000,"[1, 0.0, 0]",5:5:6e756c6c30,t|6e756c6c30|5|5|5
P0_6_0_0_0,null reference,null,null,null,int,base_42,0000002a,"[1, 1.3125, 5]",6:6:6e756c6c3432,t|6e756c6c3432|6|6|6
P0_6_0_1_0,null reference,null,null,null,int,base_zero,00000000,"[1, 0.0, 0]",5:5:6e756c6c30,t|6e756c6c30|5|5|5
P0_7_0_0_0,null reference,null,null,null,long,base_42,000000000000002a,"[1, 1.3125, 5]",6:6:6e756c6c3432,t|6e756c6c3432|6|6|6
P0_7_0_1_0,null reference,null,null,null,long,base_zero,0000000000000000,"[1, 0.0, 0]",5:5:6e756c6c30,t|6e756c6c30|5|5|5
