probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
A:&|0|0,null,null,null,null,null,null,null,null,,REFUSE
A:&|0|1,null,null,null,null,Unit,null,null,null,,REFUSE
A:&|0|2,null,null,null,null,Nothing?,null,null,null,,REFUSE
A:&|0|3,null,null,null,null,Boolean,true,true,true,,REFUSE
A:&|0|4,null,null,null,null,Int,base_42,0000002a,"[1, 1.3125, 5]",,REFUSE
A:&|0|5,null,null,null,null,Long,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:&|0|6,null,null,null,null,ULong,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:&|0|7,null,null,null,null,BigInteger,base_42,2a,"[1, 1.3125, 5]",,REFUSE
A:&|0|8,null,null,null,null,Double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",,REFUSE
A:&|0|9,null,null,null,null,Float,base_1_5,3fc00000,"[1, 1.5, 0]",,REFUSE
A:&|0|10,null,null,null,null,BigDecimal,base_1_5,1.5,"[1, 1.5, 0]",,REFUSE
A:&|0|11,null,null,null,null,String,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:&|0|12,null,null,null,null,CharArray,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:&|0|13,null,null,null,null,StringBuilder,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:&|0|14,null,null,null,null,ByteArray,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:&|0|15,null,null,null,null,List,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&|0|16,null,null,null,null,MutableList,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&|0|17,null,null,null,null,Array<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&|0|18,null,null,null,null,IntArray,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&|0|19,null,null,null,null,ArrayDeque,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:&|0|20,null,null,null,null,Map,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:&|0|21,null,null,null,null,MutableMap,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:&|0|22,null,null,null,null,LinkedHashMap,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:&|0|23,null,null,null,null,data class,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:&|0|24,null,null,null,null,List<List<Any?>>,seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
A:&|0|25,null,null,null,null,sealed class Node,seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
A:&|1|0,Unit,null,null,null,null,null,null,null,,REFUSE
A:&|1|1,Unit,null,null,null,Unit,null,null,null,,REFUSE
A:&|1|2,Unit,null,null,null,Nothing?,null,null,null,,REFUSE
A:&|1|3,Unit,null,null,null,Boolean,true,true,true,,REFUSE
