probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_9,null,null,null,null,null,null,null,null,true,true
P0_2_0_0_9,null,null,null,null,Nothing?,null,null,null,true,true
P0_4_0_0_9,null,null,null,null,Int,base_42,0000002a,"[1, 1.3125, 5]",false,false
P0_4_0_1_9,null,null,null,null,Int,base_zero,00000000,"[1, 0.0, 0]",false,false
P1_1_0_0_9,Unit,null,null,null,Unit,null,null,null,true,true
P1_2_0_0_9,Unit,null,null,null,Nothing?,null,null,null,false,false
P1_7_0_0_9,Unit,null,null,null,BigInteger,base_42,2a,"[1, 1.3125, 5]",false,false
P1_7_0_1_9,Unit,null,null,null,BigInteger,base_zero,0,"[1, 0.0, 0]",false,false
P1_7_0_2_9,Unit,null,null,null,BigInteger,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P1_7_0_3_9,Unit,null,null,null,BigInteger,i64max_plus1,8000000000000000,"[1, 1.0, 63]",false,false
P1_7_0_4_9,Unit,null,null,null,BigInteger,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P1_7_0_5_9,Unit,null,null,null,BigInteger,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",false,false
P1_10_0_0_9,Unit,null,null,null,BigDecimal,base_1_5,1.5,"[1, 1.5, 0]",false,false
P1_10_0_1_9,Unit,null,null,null,BigDecimal,base_pi,3.141592653589793,"[1, 1.5707963267948965, 1]",false,false
P1_10_0_2_9,Unit,null,null,null,BigDecimal,inf,inf,"[1, inf]",,RAISE:NumberFormatException
P1_10_0_3_9,Unit,null,null,null,BigDecimal,nan,nan,nan,,RAISE:NumberFormatException
P1_10_0_4_9,Unit,null,null,null,BigDecimal,negzero,negzero,"[-1, 0.0, 0]",false,false
P1_10_0_5_9,Unit,null,null,null,BigDecimal,point1,0.1,"[1, 1.6, -4]",false,false
P1_12_0_0_9,Unit,null,null,null,CharArray,base_empty,,t||0|0|0,false,false
