probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P3_3_0_0_7,Boolean,false,false,false,Boolean,false,false,false,false,false
P3_3_0_1_7,Boolean,false,false,false,Boolean,true,true,true,false,false
P3_3_1_0_7,Boolean,true,true,true,Boolean,false,false,false,true,true
P3_3_1_1_7,Boolean,true,true,true,Boolean,true,true,true,false,false
P4_4_0_0_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Int,base_42,0000002a,"[1, 1.3125, 5]",false,false
P4_4_0_1_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Int,base_zero,00000000,"[1, 0.0, 0]",true,true
P4_4_1_0_7,Int,base_zero,00000000,"[1, 0.0, 0]",Int,base_42,0000002a,"[1, 1.3125, 5]",false,false
P4_4_1_1_7,Int,base_zero,00000000,"[1, 0.0, 0]",Int,base_zero,00000000,"[1, 0.0, 0]",false,false
P4_5_0_0_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P4_5_0_1_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",true,true
P4_5_0_2_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P4_5_0_4_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P4_5_1_0_7,Int,base_zero,00000000,"[1, 0.0, 0]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P4_5_1_1_7,Int,base_zero,00000000,"[1, 0.0, 0]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P4_5_1_2_7,Int,base_zero,00000000,"[1, 0.0, 0]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P4_5_1_4_7,Int,base_zero,00000000,"[1, 0.0, 0]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P4_8_0_0_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",true,true
P4_8_0_1_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",true,true
P4_8_0_2_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Double,inf,7ff0000000000000,"[1, inf]",false,false
P4_8_0_3_7,Int,base_42,0000002a,"[1, 1.3125, 5]",Double,nan,7ff8000000000000,nan,false,false
