probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P4_4_0_0_1,Int,base_42,0000002a,"[1, 1.3125, 5]",Int,base_42,0000002a,"[1, 1.3125, 5]",00000000,"[1, 0.0, 0]"
P4_4_0_1_1,Int,base_42,0000002a,"[1, 1.3125, 5]",Int,base_zero,00000000,"[1, 0.0, 0]",0000002a,"[1, 1.3125, 5]"
P4_4_1_0_1,Int,base_zero,00000000,"[1, 0.0, 0]",Int,base_42,0000002a,"[1, 1.3125, 5]",ffffffd6,"[-1, 1.3125, 5]"
P4_4_1_1_1,Int,base_zero,00000000,"[1, 0.0, 0]",Int,base_zero,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P4_5_0_0_1,Int,base_42,0000002a,"[1, 1.3125, 5]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P4_5_0_1_1,Int,base_42,0000002a,"[1, 1.3125, 5]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",000000000000002a,"[1, 1.3125, 5]"
P4_5_0_2_1,Int,base_42,0000002a,"[1, 1.3125, 5]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",800000000000002b,"[-1, 1.9999999999999999906758613166247, 62]"
P4_5_0_4_1,Int,base_42,0000002a,"[1, 1.3125, 5]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",ffe0000000000029,"[-1, 1.9999999999999908961711980737164, 52]"
P4_5_1_0_1,Int,base_zero,00000000,"[1, 0.0, 0]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",ffffffffffffffd6,"[-1, 1.3125, 5]"
P4_5_1_1_1,Int,base_zero,00000000,"[1, 0.0, 0]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P4_5_1_2_1,Int,base_zero,00000000,"[1, 0.0, 0]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",8000000000000001,"[-1, 1.9999999999999999997831595655029, 62]"
P4_5_1_4_1,Int,base_zero,00000000,"[1, 0.0, 0]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",ffdfffffffffffff,"[-1, 1.0000000000000001110223024625157, 53]"
