probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_16,null,null,null,null,null,null,null,null,NULL,null
P0_1_0_0_16,null,null,null,null,Unit,null,null,null,6b6f746c696e2e556e6974,opaque:OPAQUE:6b6f746c696e2e556e6974
P0_2_0_0_16,null,null,null,null,Nothing?,null,null,null,NULL,null
P0_3_0_0_16,null,null,null,null,Boolean,false,false,false,false,false
P0_3_0_1_16,null,null,null,null,Boolean,true,true,true,true,true
P0_4_0_0_16,null,null,null,null,Int,base_42,0000002a,"[1, 1.3125, 5]",0000002a,"[1, 1.3125, 5]"
P0_4_0_1_16,null,null,null,null,Int,base_zero,00000000,"[1, 0.0, 0]",00000000,"[1, 0.0, 0]"
P0_5_0_0_16,null,null,null,null,Long,base_42,000000000000002a,"[1, 1.3125, 5]",000000000000002a,"[1, 1.3125, 5]"
P0_5_0_1_16,null,null,null,null,Long,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P0_5_0_2_16,null,null,null,null,Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]"
P0_5_0_4_16,null,null,null,null,Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0020000000000001,"[1, 1.0000000000000001110223024625157, 53]"
P0_6_0_0_16,null,null,null,null,ULong,base_42,000000000000002a,"[1, 1.3125, 5]",3432,opaque:OPAQUE:3432
P0_6_0_1_16,null,null,null,null,ULong,base_zero,0000000000000000,"[1, 0.0, 0]",30,opaque:OPAQUE:30
P0_6_0_2_16,null,null,null,null,ULong,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",39323233333732303336383534373735383037,opaque:OPAQUE:39323233333732303336383534373735383037
P0_6_0_3_16,null,null,null,null,ULong,i64max_plus1,8000000000000000,"[1, 1.0, 63]",39323233333732303336383534373735383038,opaque:OPAQUE:39323233333732303336383534373735383038
P0_6_0_4_16,null,null,null,null,ULong,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",39303037313939323534373430393933,opaque:OPAQUE:39303037313939323534373430393933
P0_6_0_5_16,null,null,null,null,ULong,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",3138343436373434303733373039353531363135,opaque:OPAQUE:3138343436373434303733373039353531363135
