probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_null_null_xor,null,null,null,null,null,null,null,null,,false
P0_1_null_false_xor,null,null,null,null,bool,false,false,false,,false
P0_1_null_true_xor,null,null,null,null,bool,true,true,true,1,true
P0_2_null_base_42_xor,null,null,null,null,int,base_42,000000000000002a,"[1, 1.3125, 5]",1,true
P0_2_null_base_zero_xor,null,null,null,null,int,base_zero,0000000000000000,"[1, 0.0, 0]",,false
P0_2_null_i64max_xor,null,null,null,null,int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",1,true
P0_2_null_i64max_plus1_xor,null,null,null,null,int,i64max_plus1,8000000000000000,"[-1, 1.0, 63]",1,true
P0_2_null_p53_plus1_xor,null,null,null,null,int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",1,true
P0_2_null_u64max_xor,null,null,null,null,int,u64max,ffffffffffffffff,"[-1, 1.0, 0]",1,true
P0_3_null_base_42_xor,null,null,null,null,GMP (ext-gmp),base_42,2a,"[1, 1.3125, 5]",,RAISE:Error
P0_3_null_base_zero_xor,null,null,null,null,GMP (ext-gmp),base_zero,0,"[1, 0.0, 0]",,RAISE:Error
P0_3_null_i64max_xor,null,null,null,null,GMP (ext-gmp),i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",,RAISE:Error
P0_3_null_i64max_plus1_xor,null,null,null,null,GMP (ext-gmp),i64max_plus1,8000000000000000,"[1, 1.0, 63]",,RAISE:Error
P0_3_null_p53_plus1_xor,null,null,null,null,GMP (ext-gmp),p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",,RAISE:Error
P0_3_null_u64max_xor,null,null,null,null,GMP (ext-gmp),u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",,RAISE:Error
P0_4_null_base_42_xor,null,null,null,null,BCMath string-carried number (ext-bcmath),base_42,2a,"[1, 1.3125, 5]",1,true
P0_4_null_base_zero_xor,null,null,null,null,BCMath string-carried number (ext-bcmath),base_zero,0,"[1, 0.0, 0]",,false
P0_4_null_i64max_xor,null,null,null,null,BCMath string-carried number (ext-bcmath),i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",1,true
P0_4_null_i64max_plus1_xor,null,null,null,null,BCMath string-carried number (ext-bcmath),i64max_plus1,8000000000000000,"[1, 1.0, 63]",1,true
P0_4_null_p53_plus1_xor,null,null,null,null,BCMath string-carried number (ext-bcmath),p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",1,true
P0_4_null_u64max_xor,null,null,null,null,BCMath string-carried number (ext-bcmath),u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",1,true
P0_5_null_base_1_5_xor,null,null,null,null,float,base_1_5,3ff8000000000000,"[1, 1.5, 0]",1,true
P0_5_null_base_pi_xor,null,null,null,null,float,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",1,true
P0_5_null_inf_xor,null,null,null,null,float,inf,7ff0000000000000,"[1, inf]",1,true
P0_5_null_nan_xor,null,null,null,null,float,nan,7ff8000000000000,nan,1,true
P0_5_null_negzero_xor,null,null,null,null,float,negzero,8000000000000000,"[-1, 0.0, 0]",,false
P0_5_null_point1_xor,null,null,null,null,float,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",1,true
P0_6_null_base_empty_xor,null,null,null,null,string,base_empty,,t||0|0|0,,false
P0_6_null_base_hello_xor,null,null,null,null,string,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,1,true
P0_6_null_base_lines_xor,null,null,null,null,string,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,1,true
P0_6_null_clef_xor,null,null,null,null,string,clef,f09d849e,t|f09d849e|4|1|1,1,true
P0_6_null_eacute_xor,null,null,null,null,string,eacute,c3a9,t|c3a9|2|1|1,1,true
P0_6_null_escapes_xor,null,null,null,null,string,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,1,true
P0_7_null_base_empty_xor,null,null,null,null,array of bytes,base_empty,,t||0|0|0,,false
P0_7_null_base_hello_xor,null,null,null,null,array of bytes,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,1,true
P0_7_null_base_lines_xor,null,null,null,null,array of bytes,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,1,true
P0_7_null_clef_xor,null,null,null,null,array of bytes,clef,f09d849e,t|f09d849e|4|1|1,1,true
P0_7_null_eacute_xor,null,null,null,null,array of bytes,eacute,c3a9,t|c3a9|2|1|1,1,true
P0_7_null_escapes_xor,null,null,null,null,array of bytes,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,1,true
P0_8_null_base_empty_xor,null,null,null,null,array of codepoints (mbstring),base_empty,,t||0|0|0,,RAISE:Error
P0_8_null_base_hello_xor,null,null,null,null,array of codepoints (mbstring),base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,RAISE:Error
P0_8_null_base_lines_xor,null,null,null,null,array of codepoints (mbstring),base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,,RAISE:Error
P0_8_null_clef_xor,null,null,null,null,array of codepoints (mbstring),clef,f09d849e,t|f09d849e|4|1|1,,RAISE:Error
P0_8_null_eacute_xor,null,null,null,null,array of codepoints (mbstring),eacute,c3a9,t|c3a9|2|1|1,,RAISE:Error
P0_8_null_escapes_xor,null,null,null,null,array of codepoints (mbstring),escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,,RAISE:Error
P0_9_null_base_xor,null,null,null,null,array (list-shaped),base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",1,true
P0_9_null_bigint_xor,null,null,null,null,array (list-shaped),bigint,[9223372036854775808],"c|[1, 1.0, 63]|integer|as-sorted",1,true
P0_9_null_empty_xor,null,null,null,null,array (list-shaped),empty,[],c||empty|as-sorted,,false
P0_9_null_mixed_xor,null,null,null,null,array (list-shaped),mixed,"[1, 'two', 3.0, True, None]","c|[1, 1.0, 0],[1, 1.5, 1],null,true,t|74776f|3|3|3|integer|reordered",1,true
P0_9_null_strs_xor,null,null,null,null,array (list-shaped),strs,"['a', 'b']","c|t|61|1|1|1,t|62|1|1|1|integer|as-sorted",1,true
P0_10_null_base_xor,null,null,null,null,SplFixedArray,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",1,true
P0_10_null_bigint_xor,null,null,null,null,SplFixedArray,bigint,[9223372036854775808],"c|[1, 1.0, 63]|integer|as-sorted",1,true
