probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_null_null_//,NoneType,null,null,null,NoneType,null,null,null,,RAISE:TypeError
P0_1_null_false_//,NoneType,null,null,null,bool,false,false,false,,RAISE:TypeError
P0_1_null_true_//,NoneType,null,null,null,bool,true,true,true,,RAISE:TypeError
P0_2_null_base_42_//,NoneType,null,null,null,int,base_42,2a,"[1, 1.3125, 5]",,RAISE:TypeError
P0_2_null_base_zero_//,NoneType,null,null,null,int,base_zero,0,"[1, 0.0, 0]",,RAISE:TypeError
P0_2_null_i64max_//,NoneType,null,null,null,int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",,RAISE:TypeError
P0_2_null_i64max_plus1_//,NoneType,null,null,null,int,i64max_plus1,8000000000000000,"[1, 1.0, 63]",,RAISE:TypeError
P0_2_null_p53_plus1_//,NoneType,null,null,null,int,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",,RAISE:TypeError
P0_2_null_u64max_//,NoneType,null,null,null,int,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",,RAISE:TypeError
P0_3_null_base_42_//,NoneType,null,null,null,decimal.Decimal,base_42,2a,"[1, 1.3125, 5]",,RAISE:TypeError
P0_3_null_base_zero_//,NoneType,null,null,null,decimal.Decimal,base_zero,0,"[1, 0.0, 0]",,RAISE:TypeError
P0_3_null_i64max_//,NoneType,null,null,null,decimal.Decimal,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",,RAISE:TypeError
P0_3_null_i64max_plus1_//,NoneType,null,null,null,decimal.Decimal,i64max_plus1,8000000000000000,"[1, 1.0, 63]",,RAISE:TypeError
P0_3_null_p53_plus1_//,NoneType,null,null,null,decimal.Decimal,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",,RAISE:TypeError
P0_3_null_u64max_//,NoneType,null,null,null,decimal.Decimal,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",,RAISE:TypeError
P0_4_null_base_42_//,NoneType,null,null,null,fractions.Fraction,base_42,2a,"[1, 1.3125, 5]",,RAISE:TypeError
P0_4_null_base_zero_//,NoneType,null,null,null,fractions.Fraction,base_zero,0,"[1, 0.0, 0]",,RAISE:TypeError
P0_4_null_i64max_//,NoneType,null,null,null,fractions.Fraction,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",,RAISE:TypeError
P0_4_null_i64max_plus1_//,NoneType,null,null,null,fractions.Fraction,i64max_plus1,8000000000000000,"[1, 1.0, 63]",,RAISE:TypeError
P0_4_null_p53_plus1_//,NoneType,null,null,null,fractions.Fraction,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",,RAISE:TypeError
P0_4_null_u64max_//,NoneType,null,null,null,fractions.Fraction,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",,RAISE:TypeError
P0_5_null_base_42_//,NoneType,null,null,null,ctypes.c_int64,base_42,000000000000002a,"[1, 1.3125, 5]",,RAISE:TypeError
P0_5_null_base_zero_//,NoneType,null,null,null,ctypes.c_int64,base_zero,0000000000000000,"[1, 0.0, 0]",,RAISE:TypeError
P0_5_null_i64max_//,NoneType,null,null,null,ctypes.c_int64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",,RAISE:TypeError
P0_5_null_i64max_plus1_//,NoneType,null,null,null,ctypes.c_int64,i64max_plus1,8000000000000000,"[-1, 1.0, 63]",,RAISE:TypeError
P0_5_null_p53_plus1_//,NoneType,null,null,null,ctypes.c_int64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",,RAISE:TypeError
P0_5_null_u64max_//,NoneType,null,null,null,ctypes.c_int64,u64max,ffffffffffffffff,"[-1, 1.0, 0]",,RAISE:TypeError
