probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_null_null_/,NilClass,null,null,null,NilClass,null,null,null,,RAISE:NoMethodError
P0_1_null_false_/,NilClass,null,null,null,TrueClass / FalseClass,false,false,false,,RAISE:NoMethodError
P0_1_null_true_/,NilClass,null,null,null,TrueClass / FalseClass,true,true,true,,RAISE:NoMethodError
P0_2_null_base_42_/,NilClass,null,null,null,Integer,base_42,2a,"[1, 1.3125, 5]",,RAISE:NoMethodError
P0_2_null_base_zero_/,NilClass,null,null,null,Integer,base_zero,0,"[1, 0.0, 0]",,RAISE:NoMethodError
P0_2_null_i64max_/,NilClass,null,null,null,Integer,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",,RAISE:NoMethodError
P0_2_null_i64max_plus1_/,NilClass,null,null,null,Integer,i64max_plus1,8000000000000000,"[1, 1.0, 63]",,RAISE:NoMethodError
P0_2_null_p53_plus1_/,NilClass,null,null,null,Integer,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",,RAISE:NoMethodError
P0_2_null_u64max_/,NilClass,null,null,null,Integer,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",,RAISE:NoMethodError
P0_3_null_base_42_/,NilClass,null,null,null,Rational,base_42,2a,"[1, 1.3125, 5]",,RAISE:NoMethodError
P0_3_null_base_zero_/,NilClass,null,null,null,Rational,base_zero,0,"[1, 0.0, 0]",,RAISE:NoMethodError
P0_3_null_i64max_/,NilClass,null,null,null,Rational,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",,RAISE:NoMethodError
P0_3_null_i64max_plus1_/,NilClass,null,null,null,Rational,i64max_plus1,8000000000000000,"[1, 1.0, 63]",,RAISE:NoMethodError
P0_3_null_p53_plus1_/,NilClass,null,null,null,Rational,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",,RAISE:NoMethodError
P0_3_null_u64max_/,NilClass,null,null,null,Rational,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",,RAISE:NoMethodError
P0_4_null_base_42_/,NilClass,null,null,null,BigDecimal,base_42,2a,"[1, 1.3125, 5]",,RAISE:NoMethodError
P0_4_null_base_zero_/,NilClass,null,null,null,BigDecimal,base_zero,0,"[1, 0.0, 0]",,RAISE:NoMethodError
P0_4_null_i64max_/,NilClass,null,null,null,BigDecimal,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",,RAISE:NoMethodError
P0_4_null_i64max_plus1_/,NilClass,null,null,null,BigDecimal,i64max_plus1,8000000000000000,"[1, 1.0, 63]",,RAISE:NoMethodError
P0_4_null_p53_plus1_/,NilClass,null,null,null,BigDecimal,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",,RAISE:NoMethodError
P0_4_null_u64max_/,NilClass,null,null,null,BigDecimal,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",,RAISE:NoMethodError
P0_5_null_base_1_5_/,NilClass,null,null,null,Float,base_1_5,3ff8000000000000,"[1, 1.5, 0]",,RAISE:NoMethodError
P0_5_null_base_pi_/,NilClass,null,null,null,Float,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",,RAISE:NoMethodError
P0_5_null_inf_/,NilClass,null,null,null,Float,inf,7ff0000000000000,"[1, inf]",,RAISE:NoMethodError
P0_5_null_nan_/,NilClass,null,null,null,Float,nan,7ff8000000000000,nan,,RAISE:NoMethodError
P0_5_null_negzero_/,NilClass,null,null,null,Float,negzero,8000000000000000,"[-1, 0.0, 0]",,RAISE:NoMethodError
P0_5_null_point1_/,NilClass,null,null,null,Float,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",,RAISE:NoMethodError
P0_6_null_base_1_5_/,NilClass,null,null,null,Rational,base_1_5,3/2,"[1, 1.5, 0]",,RAISE:NoMethodError
P0_6_null_base_pi_/,NilClass,null,null,null,Rational,base_pi,884279719003555/281474976710656,"[1, 1.5707963267948965579989817342721, 1]",,RAISE:NoMethodError
P0_6_null_inf_/,NilClass,null,null,null,Rational,inf,inf,"[1, inf]",,RAISE:FloatDomainError
P0_6_null_nan_/,NilClass,null,null,null,Rational,nan,nan,nan,,RAISE:FloatDomainError
P0_6_null_negzero_/,NilClass,null,null,null,Rational,negzero,negzero,"[-1, 0.0, 0]",,RAISE:NoMethodError
P0_6_null_point1_/,NilClass,null,null,null,Rational,point1,3602879701896397/36028797018963968,"[1, 1.6000000000000000888178419700125, -4]",,RAISE:NoMethodError
P0_7_null_base_1_5_/,NilClass,null,null,null,BigDecimal,base_1_5,1.5,"[1, 1.5, 0]",,RAISE:NoMethodError
P0_7_null_base_pi_/,NilClass,null,null,null,BigDecimal,base_pi,3.141592653589793,"[1, 1.5707963267948965, 1]",,RAISE:NoMethodError
P0_7_null_inf_/,NilClass,null,null,null,BigDecimal,inf,inf,"[1, inf]",,RAISE:NoMethodError
P0_7_null_nan_/,NilClass,null,null,null,BigDecimal,nan,nan,nan,,RAISE:NoMethodError
