probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_18,unit,null,null,null,unit,null,null,null,"RANGE[UNIT,UNIT,excl]","opaque:RANGE[UNIT,UNIT,excl]"
P0_16_0_2_18,unit,null,null,null,tuple,empty,[],c||empty|as-sorted,"RANGE[UNIT,UNIT,excl]","opaque:RANGE[UNIT,UNIT,excl]"
P1_1_0_0_18,Option::None,null,null,null,Option::None,null,null,null,"RANGE[NULL,NULL,excl]","opaque:RANGE[NULL,NULL,excl]"
P2_2_0_0_18,bool,false,false,false,bool,false,false,false,"false,BOOL:false,excl]","opaque:RANGE[BOOL:false,BOOL:false,excl]"
P2_2_0_1_18,bool,false,false,false,bool,true,true,true,"false,BOOL:true,excl]","opaque:RANGE[BOOL:false,BOOL:true,excl]"
P2_2_1_0_18,bool,true,true,true,bool,false,false,false,"true,BOOL:false,excl]","opaque:RANGE[BOOL:true,BOOL:false,excl]"
P2_2_1_1_18,bool,true,true,true,bool,true,true,true,"true,BOOL:true,excl]","opaque:RANGE[BOOL:true,BOOL:true,excl]"
P3_3_0_0_18,i32,base_42,0000002a,"[1, 1.3125, 5]",i32,base_42,0000002a,"[1, 1.3125, 5]","32:0000002a,INT:32:0000002a,excl]","opaque:RANGE[INT:32:0000002a,INT:32:0000002a,excl]"
P3_3_0_1_18,i32,base_42,0000002a,"[1, 1.3125, 5]",i32,base_zero,00000000,"[1, 0.0, 0]","32:0000002a,INT:32:00000000,excl]","opaque:RANGE[INT:32:0000002a,INT:32:00000000,excl]"
P3_3_1_0_18,i32,base_zero,00000000,"[1, 0.0, 0]",i32,base_42,0000002a,"[1, 1.3125, 5]","32:00000000,INT:32:0000002a,excl]","opaque:RANGE[INT:32:00000000,INT:32:0000002a,excl]"
P3_3_1_1_18,i32,base_zero,00000000,"[1, 0.0, 0]",i32,base_zero,00000000,"[1, 0.0, 0]","32:00000000,INT:32:00000000,excl]","opaque:RANGE[INT:32:00000000,INT:32:00000000,excl]"
P4_4_0_0_18,i64,base_42,000000000000002a,"[1, 1.3125, 5]",i64,base_42,000000000000002a,"[1, 1.3125, 5]","64:000000000000002a,INT:64:000000000000002a,excl]","opaque:RANGE[INT:64:000000000000002a,INT:64:000000000000002a,excl]"
