probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_9,unit,null,null,null,unit,null,null,null,true,true
P0_16_0_2_9,unit,null,null,null,tuple,empty,[],c||empty|as-sorted,true,true
P1_1_0_0_9,Option::None,null,null,null,Option::None,null,null,null,true,true
P2_2_0_0_9,bool,false,false,false,bool,false,false,false,true,true
P2_2_0_1_9,bool,false,false,false,bool,true,true,true,false,false
P2_2_1_0_9,bool,true,true,true,bool,false,false,false,false,false
P2_2_1_1_9,bool,true,true,true,bool,true,true,true,true,true
P3_3_0_0_9,i32,base_42,0000002a,"[1, 1.3125, 5]",i32,base_42,0000002a,"[1, 1.3125, 5]",true,true
P3_3_0_1_9,i32,base_42,0000002a,"[1, 1.3125, 5]",i32,base_zero,00000000,"[1, 0.0, 0]",false,false
P3_3_1_0_9,i32,base_zero,00000000,"[1, 0.0, 0]",i32,base_42,0000002a,"[1, 1.3125, 5]",false,false
P3_3_1_1_9,i32,base_zero,00000000,"[1, 0.0, 0]",i32,base_zero,00000000,"[1, 0.0, 0]",true,true
P4_4_0_0_9,i64,base_42,000000000000002a,"[1, 1.3125, 5]",i64,base_42,000000000000002a,"[1, 1.3125, 5]",true,true
P4_4_0_1_9,i64,base_42,000000000000002a,"[1, 1.3125, 5]",i64,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P4_4_0_2_9,i64,base_42,000000000000002a,"[1, 1.3125, 5]",i64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P4_4_0_4_9,i64,base_42,000000000000002a,"[1, 1.3125, 5]",i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P4_4_1_0_9,i64,base_zero,0000000000000000,"[1, 0.0, 0]",i64,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P4_4_1_1_9,i64,base_zero,0000000000000000,"[1, 0.0, 0]",i64,base_zero,0000000000000000,"[1, 0.0, 0]",true,true
P4_4_1_2_9,i64,base_zero,0000000000000000,"[1, 0.0, 0]",i64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P4_4_1_4_9,i64,base_zero,0000000000000000,"[1, 0.0, 0]",i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P4_4_2_0_9,i64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",i64,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P4_4_2_1_9,i64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",i64,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P4_4_2_2_9,i64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",i64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P4_4_2_4_9,i64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P4_4_4_0_9,i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",i64,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P4_4_4_1_9,i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",i64,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P4_4_4_2_9,i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",i64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P4_4_4_4_9,i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P5_5_0_0_9,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,base_42,000000000000002a,"[1, 1.3125, 5]",true,true
P5_5_0_1_9,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P5_5_0_2_9,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P5_5_0_3_9,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",false,false
P5_5_0_4_9,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P5_5_0_5_9,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",false,false
P5_5_1_0_9,u64,base_zero,0000000000000000,"[1, 0.0, 0]",u64,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P5_5_1_1_9,u64,base_zero,0000000000000000,"[1, 0.0, 0]",u64,base_zero,0000000000000000,"[1, 0.0, 0]",true,true
P5_5_1_2_9,u64,base_zero,0000000000000000,"[1, 0.0, 0]",u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P5_5_1_3_9,u64,base_zero,0000000000000000,"[1, 0.0, 0]",u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",false,false
P5_5_1_4_9,u64,base_zero,0000000000000000,"[1, 0.0, 0]",u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P5_5_1_5_9,u64,base_zero,0000000000000000,"[1, 0.0, 0]",u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",false,false
P5_5_2_0_9,u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",u64,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P5_5_2_1_9,u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",u64,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P5_5_2_2_9,u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P5_5_2_3_9,u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",false,false
P5_5_2_4_9,u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P5_5_2_5_9,u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",false,false
P5_5_3_0_9,u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",u64,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P5_5_3_1_9,u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",u64,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P5_5_3_2_9,u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P5_5_3_3_9,u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",true,true
P5_5_3_4_9,u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P5_5_3_5_9,u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",false,false
P5_5_4_0_9,u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",u64,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P5_5_4_1_9,u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",u64,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P5_5_4_2_9,u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P5_5_4_3_9,u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",false,false
P5_5_4_4_9,u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P5_5_4_5_9,u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",false,false
P5_5_5_0_9,u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",u64,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P5_5_5_1_9,u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",u64,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P5_5_5_2_9,u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P5_5_5_3_9,u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",false,false
P5_5_5_4_9,u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P5_5_5_5_9,u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",true,true
P6_6_0_0_9,i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",true,true
P6_6_0_1_9,i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",i128,base_zero,00000000000000000000000000000000,"[1, 0.0, 0]",false,false
P6_6_0_2_9,i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",i128,i64max,00000000000000007fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P6_6_0_3_9,i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",i128,i64max_plus1,00000000000000008000000000000000,"[1, 1.0, 63]",false,false
P6_6_0_4_9,i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",i128,p53_plus1,00000000000000000020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P6_6_0_5_9,i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",i128,u64max,0000000000000000ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",false,false
P6_6_1_0_9,i128,base_zero,00000000000000000000000000000000,"[1, 0.0, 0]",i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",false,false
P6_6_1_1_9,i128,base_zero,00000000000000000000000000000000,"[1, 0.0, 0]",i128,base_zero,00000000000000000000000000000000,"[1, 0.0, 0]",true,true
