probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P2_2_0_0_17,bool,false,false,false,bool,false,false,false,false,false
P2_2_0_1_17,bool,false,false,false,bool,true,true,true,true,true
P2_2_1_0_17,bool,true,true,true,bool,false,false,false,true,true
P2_2_1_1_17,bool,true,true,true,bool,true,true,true,true,true
A:|||0|0,unit,null,null,null,unit,null,null,null,,REFUSE
A:|||0|1,unit,null,null,null,Option::None,null,null,null,,REFUSE
A:|||0|2,unit,null,null,null,bool,true,true,true,,REFUSE
A:|||0|3,unit,null,null,null,i32,base_42,0000002a,"[1, 1.3125, 5]",,REFUSE
A:|||0|4,unit,null,null,null,i64,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:|||0|5,unit,null,null,null,u64,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:|||0|6,unit,null,null,null,i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:|||0|7,unit,null,null,null,f64,base_1_5,3ff8000000000000,"[1, 1.5, 0]",,REFUSE
A:|||0|8,unit,null,null,null,f32,base_1_5,3fc00000,"[1, 1.5, 0]",,REFUSE
A:|||0|9,unit,null,null,null,String,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:|||0|10,unit,null,null,null,&str,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:|||0|11,unit,null,null,null,Vec<u8>,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:|||0|12,unit,null,null,null,Vec<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||0|13,unit,null,null,null,[T; N],base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||0|14,unit,null,null,null,&[T],base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||0|15,unit,null,null,null,VecDeque<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||0|16,unit,null,null,null,tuple,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||0|17,unit,null,null,null,"HashMap<String,V>",flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:|||0|18,unit,null,null,null,"BTreeMap<String,V>",flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:|||0|19,unit,null,null,null,struct,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:|||0|20,unit,null,null,null,Vec<Vec<T>>,seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
A:|||0|21,unit,null,null,null,enum Node,seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
A:|||1|0,Option::None,null,null,null,unit,null,null,null,,REFUSE
A:|||1|1,Option::None,null,null,null,Option::None,null,null,null,,REFUSE
A:|||1|2,Option::None,null,null,null,bool,true,true,true,,REFUSE
A:|||1|3,Option::None,null,null,null,i32,base_42,0000002a,"[1, 1.3125, 5]",,REFUSE
A:|||1|4,Option::None,null,null,null,i64,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:|||1|5,Option::None,null,null,null,u64,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:|||1|6,Option::None,null,null,null,i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:|||1|7,Option::None,null,null,null,f64,base_1_5,3ff8000000000000,"[1, 1.5, 0]",,REFUSE
A:|||1|8,Option::None,null,null,null,f32,base_1_5,3fc00000,"[1, 1.5, 0]",,REFUSE
A:|||1|9,Option::None,null,null,null,String,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:|||1|10,Option::None,null,null,null,&str,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:|||1|11,Option::None,null,null,null,Vec<u8>,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:|||1|12,Option::None,null,null,null,Vec<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||1|13,Option::None,null,null,null,[T; N],base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||1|14,Option::None,null,null,null,&[T],base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||1|15,Option::None,null,null,null,VecDeque<T>,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||1|16,Option::None,null,null,null,tuple,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",,REFUSE
A:|||1|17,Option::None,null,null,null,"HashMap<String,V>",flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:|||1|18,Option::None,null,null,null,"BTreeMap<String,V>",flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:|||1|19,Option::None,null,null,null,struct,flat,"{'a': 1, 'b': 2, 'c': 3}","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|text|not-applicable",,REFUSE
A:|||1|20,Option::None,null,null,null,Vec<Vec<T>>,seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
A:|||1|21,Option::None,null,null,null,enum Node,seq_in_seq,"[[1, 2], [3, 4]]","c|c|[1, 1.0, 0],[1, 1.0, 1]|integer|as-sorted,c|[1, 1.0, 2],[1, 1.5, 1]|integer|as-sorted|integer|as-sorted",,REFUSE
A:|||2|0,bool,true,true,true,unit,null,null,null,,REFUSE
A:|||2|1,bool,true,true,true,Option::None,null,null,null,,REFUSE
A:|||2|3,bool,true,true,true,i32,base_42,0000002a,"[1, 1.3125, 5]",,REFUSE
A:|||2|4,bool,true,true,true,i64,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:|||2|5,bool,true,true,true,u64,base_42,000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:|||2|6,bool,true,true,true,i128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",,REFUSE
A:|||2|7,bool,true,true,true,f64,base_1_5,3ff8000000000000,"[1, 1.5, 0]",,REFUSE
A:|||2|8,bool,true,true,true,f32,base_1_5,3fc00000,"[1, 1.5, 0]",,REFUSE
A:|||2|9,bool,true,true,true,String,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
A:|||2|10,bool,true,true,true,&str,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,,REFUSE
