probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_16,null,null,null,null,null,null,null,null,NULL,null
P0_1_0_0_16,null,null,null,null,undefined,null,null,null,NULL,null
P0_2_0_0_16,null,null,null,null,void,null,null,null,NULL,null
P0_3_0_0_16,null,null,null,null,boolean,false,false,false,NULL,null
P0_3_0_1_16,null,null,null,null,boolean,true,true,true,NULL,null
P0_4_0_0_16,null,null,null,null,number,base_42,4045000000000000,"[1, 1.3125, 5]",NULL,null
P0_4_0_1_16,null,null,null,null,number,base_zero,0000000000000000,"[1, 0.0, 0]",NULL,null
P0_4_0_2_16,null,null,null,null,number,i64max,43e0000000000000,"[1, 1.0, 63]",NULL,null
P0_4_0_3_16,null,null,null,null,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",NULL,null
P0_4_0_4_16,null,null,null,null,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",NULL,null
P0_4_0_5_16,null,null,null,null,number,u64max,43f0000000000000,"[1, 1.0, 64]",NULL,null
P0_5_0_0_16,null,null,null,null,bigint,base_42,2a,"[1, 1.3125, 5]",NULL,null
P0_5_0_1_16,null,null,null,null,bigint,base_zero,0,"[1, 0.0, 0]",NULL,null
P0_5_0_2_16,null,null,null,null,bigint,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",NULL,null
P0_5_0_3_16,null,null,null,null,bigint,i64max_plus1,8000000000000000,"[1, 1.0, 63]",NULL,null
P0_5_0_4_16,null,null,null,null,bigint,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",NULL,null
P0_5_0_5_16,null,null,null,null,bigint,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",NULL,null
P0_6_0_0_16,null,null,null,null,number,base_1_5,3ff8000000000000,"[1, 1.5, 0]",NULL,null
P0_6_0_1_16,null,null,null,null,number,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",NULL,null
P0_6_0_2_16,null,null,null,null,number,inf,7ff0000000000000,"[1, inf]",NULL,null
P0_6_0_3_16,null,null,null,null,number,nan,7ff8000000000000,nan,NULL,null
P0_6_0_4_16,null,null,null,null,number,negzero,8000000000000000,"[-1, 0.0, 0]",NULL,null
P0_6_0_5_16,null,null,null,null,number,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",NULL,null
P0_7_0_0_16,null,null,null,null,string,base_empty,,t||0|0|0,NULL,null
P0_7_0_1_16,null,null,null,null,string,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,NULL,null
P0_7_0_2_16,null,null,null,null,string,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,NULL,null
P0_7_0_3_16,null,null,null,null,string,clef,f09d849e,t|f09d849e|4|1|1,NULL,null
P0_7_0_4_16,null,null,null,null,string,eacute,c3a9,t|c3a9|2|1|1,NULL,null
P0_7_0_5_16,null,null,null,null,string,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,NULL,null
P0_8_0_0_16,null,null,null,null,string[] (codepoint split),base_empty,,t||0|0|0,NULL,null
P0_8_0_1_16,null,null,null,null,string[] (codepoint split),base_hello,68656c6c6f,t|68656c6c6f|5|5|5,NULL,null
P0_8_0_2_16,null,null,null,null,string[] (codepoint split),base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,NULL,null
P0_8_0_3_16,null,null,null,null,string[] (codepoint split),clef,f09d849e,t|f09d849e|4|1|1,NULL,null
P0_8_0_4_16,null,null,null,null,string[] (codepoint split),eacute,c3a9,t|c3a9|2|1|1,NULL,null
P0_8_0_5_16,null,null,null,null,string[] (codepoint split),escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,NULL,null
P0_9_0_0_16,null,null,null,null,Uint8Array,base_empty,,t||0|0|0,NULL,null
P0_9_0_1_16,null,null,null,null,Uint8Array,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,NULL,null
P0_9_0_2_16,null,null,null,null,Uint8Array,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,NULL,null
P0_9_0_3_16,null,null,null,null,Uint8Array,clef,f09d849e,t|f09d849e|4|1|1,NULL,null
P0_9_0_4_16,null,null,null,null,Uint8Array,eacute,c3a9,t|c3a9|2|1|1,NULL,null
P0_9_0_5_16,null,null,null,null,Uint8Array,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,NULL,null
P0_10_0_0_16,null,null,null,null,array,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",NULL,null
P0_10_0_1_16,null,null,null,null,array,bigint,[9223372036854775808],"c|[1, 1.0, 63]|integer|as-sorted",NULL,null
P0_10_0_2_16,null,null,null,null,array,empty,[],c||empty|as-sorted,NULL,null
P0_10_0_3_16,null,null,null,null,array,mixed,"[1, 'two', 3.0, True, None]","c|[1, 1.0, 0],[1, 1.5, 1],null,true,t|74776f|3|3|3|integer|reordered",NULL,null
P0_10_0_4_16,null,null,null,null,array,strs,"['a', 'b']","c|t|61|1|1|1,t|62|1|1|1|integer|as-sorted",NULL,null
P0_11_0_0_16,null,null,null,null,readonly tuple,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",NULL,null
P0_11_0_1_16,null,null,null,null,readonly tuple,bigint,[9223372036854775808],"c|[1, 1.0, 63]|integer|as-sorted",NULL,null
P0_11_0_2_16,null,null,null,null,readonly tuple,empty,[],c||empty|as-sorted,NULL,null
P0_11_0_3_16,null,null,null,null,readonly tuple,mixed,"[1, 'two', 3.0, True, None]","c|[1, 1.0, 0],[1, 1.5, 1],null,true,t|74776f|3|3|3|integer|reordered",NULL,null
P0_11_0_4_16,null,null,null,null,readonly tuple,strs,"['a', 'b']","c|t|61|1|1|1,t|62|1|1|1|integer|as-sorted",NULL,null
P0_12_0_0_16,null,null,null,null,Set,base,"[1, 2, 3]","c|[1, 1.0, 0],[1, 1.0, 1],[1, 1.5, 1]|integer|as-sorted",NULL,null
