probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P4_8_0_0_22,number,base_42,4045000000000000,"[1, 1.3125, 5]",string[] (codepoint split),base_empty,,t||0|0|0,false,false
P4_8_0_1_22,number,base_42,4045000000000000,"[1, 1.3125, 5]",string[] (codepoint split),base_hello,68656c6c6f,t|68656c6c6f|5|5|5,false,false
P4_8_0_2_22,number,base_42,4045000000000000,"[1, 1.3125, 5]",string[] (codepoint split),base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,false,false
P4_8_0_3_22,number,base_42,4045000000000000,"[1, 1.3125, 5]",string[] (codepoint split),clef,f09d849e,t|f09d849e|4|1|1,false,false
P4_8_0_4_22,number,base_42,4045000000000000,"[1, 1.3125, 5]",string[] (codepoint split),eacute,c3a9,t|c3a9|2|1|1,false,false
P4_8_0_5_22,number,base_42,4045000000000000,"[1, 1.3125, 5]",string[] (codepoint split),escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,false,false
P4_8_1_0_22,number,base_zero,0000000000000000,"[1, 0.0, 0]",string[] (codepoint split),base_empty,,t||0|0|0,false,false
P4_8_1_1_22,number,base_zero,0000000000000000,"[1, 0.0, 0]",string[] (codepoint split),base_hello,68656c6c6f,t|68656c6c6f|5|5|5,true,true
P4_8_1_2_22,number,base_zero,0000000000000000,"[1, 0.0, 0]",string[] (codepoint split),base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,true,true
P4_8_1_3_22,number,base_zero,0000000000000000,"[1, 0.0, 0]",string[] (codepoint split),clef,f09d849e,t|f09d849e|4|1|1,true,true
P4_8_1_4_22,number,base_zero,0000000000000000,"[1, 0.0, 0]",string[] (codepoint split),eacute,c3a9,t|c3a9|2|1|1,true,true
P4_8_1_5_22,number,base_zero,0000000000000000,"[1, 0.0, 0]",string[] (codepoint split),escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,true,true
P4_8_2_0_22,number,i64max,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),base_empty,,t||0|0|0,false,false
P4_8_2_1_22,number,i64max,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),base_hello,68656c6c6f,t|68656c6c6f|5|5|5,false,false
P4_8_2_2_22,number,i64max,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,false,false
P4_8_2_3_22,number,i64max,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),clef,f09d849e,t|f09d849e|4|1|1,false,false
P4_8_2_4_22,number,i64max,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),eacute,c3a9,t|c3a9|2|1|1,false,false
P4_8_2_5_22,number,i64max,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,false,false
P4_8_3_0_22,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),base_empty,,t||0|0|0,false,false
P4_8_3_1_22,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),base_hello,68656c6c6f,t|68656c6c6f|5|5|5,false,false
P4_8_3_2_22,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,false,false
P4_8_3_3_22,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",string[] (codepoint split),clef,f09d849e,t|f09d849e|4|1|1,false,false
