probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P4_4_0_0_1,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,base_42,4045000000000000,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P4_4_0_1_1,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,base_zero,0000000000000000,"[1, 0.0, 0]",4045000000000000,"[1, 1.3125, 5]"
P4_4_0_2_1,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,i64max,43e0000000000000,"[1, 1.0, 63]",c3e0000000000000,"[-1, 1.0, 63]"
P4_4_0_3_1,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",c3e0000000000000,"[-1, 1.0, 63]"
P4_4_0_4_1,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",c33fffffffffffd6,"[-1, 1.9999999999999906741265931486851, 52]"
P4_4_0_5_1,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,u64max,43f0000000000000,"[1, 1.0, 64]",c3f0000000000000,"[-1, 1.0, 64]"
P4_4_1_0_1,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,base_42,4045000000000000,"[1, 1.3125, 5]",c045000000000000,"[-1, 1.3125, 5]"
P4_4_1_1_1,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P4_4_1_2_1,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,i64max,43e0000000000000,"[1, 1.0, 63]",c3e0000000000000,"[-1, 1.0, 63]"
P4_4_1_3_1,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",c3e0000000000000,"[-1, 1.0, 63]"
P4_4_1_4_1,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",c340000000000000,"[-1, 1.0, 53]"
P4_4_1_5_1,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,u64max,43f0000000000000,"[1, 1.0, 64]",c3f0000000000000,"[-1, 1.0, 64]"
P4_4_2_0_1,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,base_42,4045000000000000,"[1, 1.3125, 5]",43e0000000000000,"[1, 1.0, 63]"
P4_4_2_1_1,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,base_zero,0000000000000000,"[1, 0.0, 0]",43e0000000000000,"[1, 1.0, 63]"
P4_4_2_2_1,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,i64max,43e0000000000000,"[1, 1.0, 63]",0000000000000000,"[1, 0.0, 0]"
P4_4_2_3_1,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",0000000000000000,"[1, 0.0, 0]"
P4_4_2_4_1,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",43dff80000000000,"[1, 1.998046875, 62]"
P4_4_2_5_1,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,u64max,43f0000000000000,"[1, 1.0, 64]",c3e0000000000000,"[-1, 1.0, 63]"
P4_4_3_0_1,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,base_42,4045000000000000,"[1, 1.3125, 5]",43e0000000000000,"[1, 1.0, 63]"
P4_4_3_1_1,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,base_zero,0000000000000000,"[1, 0.0, 0]",43e0000000000000,"[1, 1.0, 63]"
P4_4_3_2_1,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,i64max,43e0000000000000,"[1, 1.0, 63]",0000000000000000,"[1, 0.0, 0]"
P4_4_3_3_1,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",0000000000000000,"[1, 0.0, 0]"
P4_4_3_4_1,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",43dff80000000000,"[1, 1.998046875, 62]"
P4_4_3_5_1,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,u64max,43f0000000000000,"[1, 1.0, 64]",c3e0000000000000,"[-1, 1.0, 63]"
P4_4_4_0_1,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,base_42,4045000000000000,"[1, 1.3125, 5]",433fffffffffffd6,"[1, 1.9999999999999906741265931486851, 52]"
P4_4_4_1_1,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,base_zero,0000000000000000,"[1, 0.0, 0]",4340000000000000,"[1, 1.0, 53]"
P4_4_4_2_1,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,i64max,43e0000000000000,"[1, 1.0, 63]",c3dff80000000000,"[-1, 1.998046875, 62]"
P4_4_4_3_1,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",c3dff80000000000,"[-1, 1.998046875, 62]"
P4_4_4_4_1,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",0000000000000000,"[1, 0.0, 0]"
