probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_7_0_0_0,null,null,null,null,string,base_empty,,t||0|0|0,4:4:6e756c6c,t|6e756c6c|4|4|4
P0_7_0_1_0,null,null,null,null,string,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,9:9:6e756c6c68656c6c6f,t|6e756c6c68656c6c6f|9|9|9
P0_7_0_2_0,null,null,null,null,string,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,21:21:6e756c6c6c696e65206f6e650a6c696e652074776f,t|6e756c6c6c696e65206f6e650a6c696e652074776f|21|21|21
P0_7_0_3_0,null,null,null,null,string,clef,f09d849e,t|f09d849e|4|1|1,6:8:6e756c6cf09d849e,t|6e756c6cf09d849e|8|5|5
P0_7_0_4_0,null,null,null,null,string,eacute,c3a9,t|c3a9|2|1|1,5:6:6e756c6cc3a9,t|6e756c6cc3a9|6|5|5
P0_7_0_5_0,null,null,null,null,string,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,32:32:6e756c6c71756f74652022206261636b736c617368205c207461620968657265,t|6e756c6c71756f74652022206261636b736c617368205c207461620968657265|32|32|32
P1_7_0_0_0,undefined,null,null,null,string,base_empty,,t||0|0|0,9:9:756e646566696e6564,t|756e646566696e6564|9|9|9
P1_7_0_1_0,undefined,null,null,null,string,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,14:14:756e646566696e656468656c6c6f,t|756e646566696e656468656c6c6f|14|14|14
P1_7_0_2_0,undefined,null,null,null,string,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,26:26:756e646566696e65646c696e65206f6e650a6c696e652074776f,t|756e646566696e65646c696e65206f6e650a6c696e652074776f|26|26|26
P1_7_0_3_0,undefined,null,null,null,string,clef,f09d849e,t|f09d849e|4|1|1,11:13:756e646566696e6564f09d849e,t|756e646566696e6564f09d849e|13|10|10
P1_7_0_4_0,undefined,null,null,null,string,eacute,c3a9,t|c3a9|2|1|1,10:11:756e646566696e6564c3a9,t|756e646566696e6564c3a9|11|10|10
P1_7_0_5_0,undefined,null,null,null,string,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,37:37:756e646566696e656471756f74652022206261636b736c617368205c207461620968657265,t|756e646566696e656471756f74652022206261636b736c617368205c207461620968657265|37|37|37
P2_7_0_0_0,void,null,null,null,string,base_empty,,t||0|0|0,9:9:756e646566696e6564,t|756e646566696e6564|9|9|9
P2_7_0_1_0,void,null,null,null,string,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,14:14:756e646566696e656468656c6c6f,t|756e646566696e656468656c6c6f|14|14|14
P2_7_0_2_0,void,null,null,null,string,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,26:26:756e646566696e65646c696e65206f6e650a6c696e652074776f,t|756e646566696e65646c696e65206f6e650a6c696e652074776f|26|26|26
P2_7_0_3_0,void,null,null,null,string,clef,f09d849e,t|f09d849e|4|1|1,11:13:756e646566696e6564f09d849e,t|756e646566696e6564f09d849e|13|10|10
P2_7_0_4_0,void,null,null,null,string,eacute,c3a9,t|c3a9|2|1|1,10:11:756e646566696e6564c3a9,t|756e646566696e6564c3a9|11|10|10
P2_7_0_5_0,void,null,null,null,string,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,37:37:756e646566696e656471756f74652022206261636b736c617368205c207461620968657265,t|756e646566696e656471756f74652022206261636b736c617368205c207461620968657265|37|37|37
P3_7_0_0_0,boolean,false,false,false,string,base_empty,,t||0|0|0,5:5:66616c7365,t|66616c7365|5|5|5
P3_7_0_1_0,boolean,false,false,false,string,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,10:10:66616c736568656c6c6f,t|66616c736568656c6c6f|10|10|10
P3_7_0_2_0,boolean,false,false,false,string,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,22:22:66616c73656c696e65206f6e650a6c696e652074776f,t|66616c73656c696e65206f6e650a6c696e652074776f|22|22|22
P3_7_0_3_0,boolean,false,false,false,string,clef,f09d849e,t|f09d849e|4|1|1,7:9:66616c7365f09d849e,t|66616c7365f09d849e|9|6|6
P3_7_0_4_0,boolean,false,false,false,string,eacute,c3a9,t|c3a9|2|1|1,6:7:66616c7365c3a9,t|66616c7365c3a9|7|6|6
P3_7_0_5_0,boolean,false,false,false,string,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,33:33:66616c736571756f74652022206261636b736c617368205c207461620968657265,t|66616c736571756f74652022206261636b736c617368205c207461620968657265|33|33|33
P3_7_1_0_0,boolean,true,true,true,string,base_empty,,t||0|0|0,4:4:74727565,t|74727565|4|4|4
P3_7_1_1_0,boolean,true,true,true,string,base_hello,68656c6c6f,t|68656c6c6f|5|5|5,9:9:7472756568656c6c6f,t|7472756568656c6c6f|9|9|9
P3_7_1_2_0,boolean,true,true,true,string,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,21:21:747275656c696e65206f6e650a6c696e652074776f,t|747275656c696e65206f6e650a6c696e652074776f|21|21|21
P3_7_1_3_0,boolean,true,true,true,string,clef,f09d849e,t|f09d849e|4|1|1,6:8:74727565f09d849e,t|74727565f09d849e|8|5|5
P3_7_1_4_0,boolean,true,true,true,string,eacute,c3a9,t|c3a9|2|1|1,5:6:74727565c3a9,t|74727565c3a9|6|5|5
P3_7_1_5_0,boolean,true,true,true,string,escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,32:32:7472756571756f74652022206261636b736c617368205c207461620968657265,t|7472756571756f74652022206261636b736c617368205c207461620968657265|32|32|32
P4_4_0_0_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,base_42,4045000000000000,"[1, 1.3125, 5]",4055000000000000,"[1, 1.3125, 6]"
P4_4_0_1_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,base_zero,0000000000000000,"[1, 0.0, 0]",4045000000000000,"[1, 1.3125, 5]"
P4_4_0_2_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,i64max,43e0000000000000,"[1, 1.0, 63]",43e0000000000000,"[1, 1.0, 63]"
P4_4_0_3_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",43e0000000000000,"[1, 1.0, 63]"
P4_4_0_4_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",4340000000000015,"[1, 1.0000000000000046629367034256575, 53]"
P4_4_0_5_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,u64max,43f0000000000000,"[1, 1.0, 64]",43f0000000000000,"[1, 1.0, 64]"
P4_4_1_0_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,base_42,4045000000000000,"[1, 1.3125, 5]",4045000000000000,"[1, 1.3125, 5]"
P4_4_1_1_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,base_zero,0000000000000000,"[1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P4_4_1_2_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,i64max,43e0000000000000,"[1, 1.0, 63]",43e0000000000000,"[1, 1.0, 63]"
P4_4_1_3_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",43e0000000000000,"[1, 1.0, 63]"
P4_4_1_4_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",4340000000000000,"[1, 1.0, 53]"
P4_4_1_5_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,u64max,43f0000000000000,"[1, 1.0, 64]",43f0000000000000,"[1, 1.0, 64]"
P4_4_2_0_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,base_42,4045000000000000,"[1, 1.3125, 5]",43e0000000000000,"[1, 1.0, 63]"
P4_4_2_1_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,base_zero,0000000000000000,"[1, 0.0, 0]",43e0000000000000,"[1, 1.0, 63]"
P4_4_2_2_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,i64max,43e0000000000000,"[1, 1.0, 63]",43f0000000000000,"[1, 1.0, 64]"
P4_4_2_3_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",43f0000000000000,"[1, 1.0, 64]"
P4_4_2_4_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",43e0040000000000,"[1, 1.0009765625, 63]"
P4_4_2_5_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,u64max,43f0000000000000,"[1, 1.0, 64]",43f8000000000000,"[1, 1.5, 64]"
P4_4_3_0_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,base_42,4045000000000000,"[1, 1.3125, 5]",43e0000000000000,"[1, 1.0, 63]"
P4_4_3_1_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,base_zero,0000000000000000,"[1, 0.0, 0]",43e0000000000000,"[1, 1.0, 63]"
P4_4_3_2_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,i64max,43e0000000000000,"[1, 1.0, 63]",43f0000000000000,"[1, 1.0, 64]"
P4_4_3_3_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",43f0000000000000,"[1, 1.0, 64]"
P4_4_3_4_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",43e0040000000000,"[1, 1.0009765625, 63]"
P4_4_3_5_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,u64max,43f0000000000000,"[1, 1.0, 64]",43f8000000000000,"[1, 1.5, 64]"
P4_4_4_0_0,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,base_42,4045000000000000,"[1, 1.3125, 5]",4340000000000015,"[1, 1.0000000000000046629367034256575, 53]"
P4_4_4_1_0,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,base_zero,0000000000000000,"[1, 0.0, 0]",4340000000000000,"[1, 1.0, 53]"
P4_4_4_2_0,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,i64max,43e0000000000000,"[1, 1.0, 63]",43e0040000000000,"[1, 1.0009765625, 63]"
P4_4_4_3_0,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",43e0040000000000,"[1, 1.0009765625, 63]"
P4_4_4_4_0,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",4350000000000000,"[1, 1.0, 54]"
P4_4_4_5_0,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,u64max,43f0000000000000,"[1, 1.0, 64]",43f0020000000000,"[1, 1.00048828125, 64]"
P4_4_5_0_0,number,u64max,43f0000000000000,"[1, 1.0, 64]",number,base_42,4045000000000000,"[1, 1.3125, 5]",43f0000000000000,"[1, 1.0, 64]"
P4_4_5_1_0,number,u64max,43f0000000000000,"[1, 1.0, 64]",number,base_zero,0000000000000000,"[1, 0.0, 0]",43f0000000000000,"[1, 1.0, 64]"
P4_4_5_2_0,number,u64max,43f0000000000000,"[1, 1.0, 64]",number,i64max,43e0000000000000,"[1, 1.0, 63]",43f8000000000000,"[1, 1.5, 64]"
P4_4_5_3_0,number,u64max,43f0000000000000,"[1, 1.0, 64]",number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",43f8000000000000,"[1, 1.5, 64]"
P4_4_5_4_0,number,u64max,43f0000000000000,"[1, 1.0, 64]",number,p53_plus1,4340000000000000,"[1, 1.0, 53]",43f0020000000000,"[1, 1.00048828125, 64]"
P4_4_5_5_0,number,u64max,43f0000000000000,"[1, 1.0, 64]",number,u64max,43f0000000000000,"[1, 1.0, 64]",4400000000000000,"[1, 1.0, 65]"
P4_6_0_0_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,base_1_5,3ff8000000000000,"[1, 1.5, 0]",4045c00000000000,"[1, 1.359375, 5]"
P4_6_0_1_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",4046921fb54442d2,"[1, 1.4106747704246811458972388209077, 5]"
P4_6_0_2_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,inf,7ff0000000000000,"[1, inf]",7ff0000000000000,"[1, inf]"
P4_6_0_3_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,nan,7ff8000000000000,nan,7ff8000000000000,nan
P4_6_0_4_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,negzero,8000000000000000,"[-1, 0.0, 0]",4045000000000000,"[1, 1.3125, 5]"
P4_6_0_5_0,number,base_42,4045000000000000,"[1, 1.3125, 5]",number,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",40450ccccccccccd,"[1, 1.3156250000000000444089209850063, 5]"
P4_6_1_0_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,base_1_5,3ff8000000000000,"[1, 1.5, 0]",3ff8000000000000,"[1, 1.5, 0]"
P4_6_1_1_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]"
P4_6_1_2_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,inf,7ff0000000000000,"[1, inf]",7ff0000000000000,"[1, inf]"
P4_6_1_3_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,nan,7ff8000000000000,nan,7ff8000000000000,nan
P4_6_1_4_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,negzero,8000000000000000,"[-1, 0.0, 0]",0000000000000000,"[1, 0.0, 0]"
P4_6_1_5_0,number,base_zero,0000000000000000,"[1, 0.0, 0]",number,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]"
P4_6_2_0_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,base_1_5,3ff8000000000000,"[1, 1.5, 0]",43e0000000000000,"[1, 1.0, 63]"
P4_6_2_1_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",43e0000000000000,"[1, 1.0, 63]"
P4_6_2_2_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,inf,7ff0000000000000,"[1, inf]",7ff0000000000000,"[1, inf]"
P4_6_2_3_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,nan,7ff8000000000000,nan,7ff8000000000000,nan
P4_6_2_4_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,negzero,8000000000000000,"[-1, 0.0, 0]",43e0000000000000,"[1, 1.0, 63]"
P4_6_2_5_0,number,i64max,43e0000000000000,"[1, 1.0, 63]",number,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",43e0000000000000,"[1, 1.0, 63]"
P4_6_3_0_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,base_1_5,3ff8000000000000,"[1, 1.5, 0]",43e0000000000000,"[1, 1.0, 63]"
P4_6_3_1_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",43e0000000000000,"[1, 1.0, 63]"
P4_6_3_2_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,inf,7ff0000000000000,"[1, inf]",7ff0000000000000,"[1, inf]"
P4_6_3_3_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,nan,7ff8000000000000,nan,7ff8000000000000,nan
P4_6_3_4_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,negzero,8000000000000000,"[-1, 0.0, 0]",43e0000000000000,"[1, 1.0, 63]"
P4_6_3_5_0,number,i64max_plus1,43e0000000000000,"[1, 1.0, 63]",number,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",43e0000000000000,"[1, 1.0, 63]"
P4_6_4_0_0,number,p53_plus1,4340000000000000,"[1, 1.0, 53]",number,base_1_5,3ff8000000000000,"[1, 1.5, 0]",4340000000000001,"[1, 1.0000000000000002220446049250313, 53]"
