probe_id,lhs_holder,rhs_holder,interval_id,n_samples,lhs_canon_vector,rhs_canon_vector,output_canon_vector,n_values,n_declines
S9_2_2,Integer,Integer,IV32:w_big128|w_big128:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117];[-1, 1.0, 127]",false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
S9_2_3,Integer,Rational,IV32:w_big128|w_big128:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117];[-1, 1.0, 127]",false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
S9_2_4,Integer,BigDecimal,IV32:w_big128|w_big128:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117];[-1, 1.0, 127]",false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
S9_2_5,Integer,Float,IV32:w_big128|f_b64:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 0.0, 0];[1, 1.0, -1074];[-1, 1.0, -1074];[1, 1.0, -1022];[1, 1.0, 0];[1, 1.0000000000000002220446049250313, 0];[1, 1.9999999999999997779553950749687, -1];[1, 1.9999999999999997779553950749687, 1023];[-1, 1.9999999999999997779553950749687, 1023];[1, 1.5, -852];[1, 1.5, -681];[1, 1.5, -511];[1, 1.5, -340];[1, 1.5, -170];[1, 1.5, 0];[1, 1.5, 171];[1, 1.5, 341];[1, 1.5, 512];[1, 1.5, 682];[1, 1.5, 853];[-1, 1.5, -852];[-1, 1.5, -681];[-1, 1.5, -511];[-1, 1.5, -340];[-1, 1.5, -170];[-1, 1.5, 0];[-1, 1.5, 171];[-1, 1.5, 341];[-1, 1.5, 512];[-1, 1.5, 682];[-1, 1.5, 853];[1, 0.0, 0]",false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
S9_2_6,Integer,Rational,IV32:w_big128|f_b64:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 0.0, 0];[1, 1.0, -1074];[-1, 1.0, -1074];[1, 1.0, -1022];[1, 1.0, 0];[1, 1.0000000000000002220446049250313, 0];[1, 1.9999999999999997779553950749687, -1];[1, 1.9999999999999997779553950749687, 1023];[-1, 1.9999999999999997779553950749687, 1023];[1, 1.5, -852];[1, 1.5, -681];[1, 1.5, -511];[1, 1.5, -340];[1, 1.5, -170];[1, 1.5, 0];[1, 1.5, 171];[1, 1.5, 341];[1, 1.5, 512];[1, 1.5, 682];[1, 1.5, 853];[-1, 1.5, -852];[-1, 1.5, -681];[-1, 1.5, -511];[-1, 1.5, -340];[-1, 1.5, -170];[-1, 1.5, 0];[-1, 1.5, 171];[-1, 1.5, 341];[-1, 1.5, 512];[-1, 1.5, 682];[-1, 1.5, 853];[1, 0.0, 0]",false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
S9_2_7,Integer,BigDecimal,IV32:w_big128|f_b64:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 0.0, 0];[1, 1.0120112665365530917624767335946, -1074];[-1, 1.0120112665365530917624767335946, -1074];[1, 1.0000000000000000075996431390427, -1022];[1, 1.0, 0];[1, 1.0000000000000002, 0];[1, 1.9999999999999998, -1];[1, 1.9999999999999997688934766870555, 1023];[-1, 1.9999999999999997688934766870555, 1023];[1, 1.5000000000000000982839164362018, -852];[1, 1.4999999999999999695735805599687, -681];[1, 1.4999999999999999845895418142557, -511];[1, 1.5000000000000000058411183959362, -340];[1, 1.5000000000000000489340475072201, -170];[1, 1.5, 0];[1, 1.5000000000000000786054355441785, 171];[1, 1.5000000000000000822253684141152, 341];[1, 1.500000000000000026151848559796, 512];[1, 1.4999999999999999036866167896554, 682];[1, 1.4999999999999999540518197415502, 853];[-1, 1.5000000000000000982839164362018, -852];[-1, 1.4999999999999999695735805599687, -681];[-1, 1.4999999999999999845895418142557, -511];[-1, 1.5000000000000000058411183959362, -340];[-1, 1.5000000000000000489340475072201, -170];[-1, 1.5, 0];[-1, 1.5000000000000000786054355441785, 171];[-1, 1.5000000000000000822253684141152, 341];[-1, 1.500000000000000026151848559796, 512];[-1, 1.4999999999999999036866167896554, 682];[-1, 1.4999999999999999540518197415502, 853];[1, 0.0, 0]",false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
S9_3_2,Rational,Integer,IV32:w_big128|w_big128:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117];[-1, 1.0, 127]",false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
S9_3_3,Rational,Rational,IV32:w_big128|w_big128:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117];[-1, 1.0, 127]",false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
S9_3_4,Rational,BigDecimal,IV32:w_big128|w_big128:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117];[-1, 1.0, 127]",false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
S9_3_5,Rational,Float,IV32:w_big128|f_b64:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 0.0, 0];[1, 1.0, -1074];[-1, 1.0, -1074];[1, 1.0, -1022];[1, 1.0, 0];[1, 1.0000000000000002220446049250313, 0];[1, 1.9999999999999997779553950749687, -1];[1, 1.9999999999999997779553950749687, 1023];[-1, 1.9999999999999997779553950749687, 1023];[1, 1.5, -852];[1, 1.5, -681];[1, 1.5, -511];[1, 1.5, -340];[1, 1.5, -170];[1, 1.5, 0];[1, 1.5, 171];[1, 1.5, 341];[1, 1.5, 512];[1, 1.5, 682];[1, 1.5, 853];[-1, 1.5, -852];[-1, 1.5, -681];[-1, 1.5, -511];[-1, 1.5, -340];[-1, 1.5, -170];[-1, 1.5, 0];[-1, 1.5, 171];[-1, 1.5, 341];[-1, 1.5, 512];[-1, 1.5, 682];[-1, 1.5, 853];[1, 0.0, 0]",false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,32,0
