probe_id,lhs_holder,rhs_holder,interval_id,n_samples,lhs_canon_vector,rhs_canon_vector,output_canon_vector,n_values,n_declines
S2_3_3,i32,i32,IV32:w_s32|w_s32:shift,32,"[-1, 1.0, 31];[-1, 1.999999999068677425384521484375, 30];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 1.999999999068677425384521484375, 30];[1, 1.0, 2];[1, 1.3125, 4];[1, 1.546875, 6];[1, 1.80859375, 8];[1, 1.05029296875, 11];[1, 1.218994140625, 13];[1, 1.4141845703125, 15];[1, 1.64066314697265625, 17];[1, 1.90338897705078125, 19];[1, 1.1040894985198974609375, 22];[1, 1.28088665008544921875, 24];[1, 1.485994279384613037109375, 26];[1, 1.723945640027523040771484375, 28];[-1, 1.0, 2];[-1, 1.3125, 4];[-1, 1.546875, 6];[-1, 1.80859375, 8];[-1, 1.05029296875, 11];[-1, 1.218994140625, 13];[-1, 1.4141845703125, 15];[-1, 1.64066314697265625, 17];[-1, 1.90338897705078125, 19];[-1, 1.1040894985198974609375, 22];[-1, 1.28088665008544921875, 24];[-1, 1.485994279384613037109375, 26];[-1, 1.723945640027523040771484375, 28]","[-1, 1.999999999068677425384521484375, 30];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 1.999999999068677425384521484375, 30];[1, 1.0, 2];[1, 1.3125, 4];[1, 1.546875, 6];[1, 1.80859375, 8];[1, 1.05029296875, 11];[1, 1.218994140625, 13];[1, 1.4141845703125, 15];[1, 1.64066314697265625, 17];[1, 1.90338897705078125, 19];[1, 1.1040894985198974609375, 22];[1, 1.28088665008544921875, 24];[1, 1.485994279384613037109375, 26];[1, 1.723945640027523040771484375, 28];[-1, 1.0, 2];[-1, 1.3125, 4];[-1, 1.546875, 6];[-1, 1.80859375, 8];[-1, 1.05029296875, 11];[-1, 1.218994140625, 13];[-1, 1.4141845703125, 15];[-1, 1.64066314697265625, 17];[-1, 1.90338897705078125, 19];[-1, 1.1040894985198974609375, 22];[-1, 1.28088665008544921875, 24];[-1, 1.485994279384613037109375, 26];[-1, 1.723945640027523040771484375, 28];[-1, 1.0, 31]","RAISE:panic;[1, 1.999999999068677425384521484375, 30];[1, 0.0, 0];[1, 0.0, 0];[1, 1.999999999068677425384521484375, 30];RAISE:panic;[1, 1.3125, 6];[1, 1.01513671875, 11];[1, 1.398834228515625, 15];[1, 1.8995532989501953125, 19];[1, 1.28030097484588623046875, 24];[1, 1.7238827049732208251953125, 28];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[-1, 1.723945640027523040771484375, 30];[1, 1.3125, 6];[1, 1.01513671875, 11];[1, 1.398834228515625, 15];[1, 1.8995532989501953125, 19];[1, 1.28030097484588623046875, 24];[1, 1.7238827049732208251953125, 28];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic",17,15
S2_4_4,i64,i64,IV32:w_s64|w_s64:shift,32,"[-1, 1.0, 63];[-1, 1.9999999999999999997831595655029, 62];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 1.9999999999999999997831595655029, 62];[1, 1.375, 4];[1, 1.0, 9];[1, 1.4141845703125, 13];[1, 1.0, 18];[1, 1.4142134189605712890625, 22];[1, 1.0, 27];[1, 1.4142135619185864925384521484375, 31];[1, 1.0, 36];[1, 1.4142135623724243487231433391571, 40];[1, 1.0, 45];[1, 1.4142135623730940352515972335823, 49];[1, 1.0, 54];[1, 1.4142135623730950483301072040376, 58];[-1, 1.375, 4];[-1, 1.0, 9];[-1, 1.4141845703125, 13];[-1, 1.0, 18];[-1, 1.4142134189605712890625, 22];[-1, 1.0, 27];[-1, 1.4142135619185864925384521484375, 31];[-1, 1.0, 36];[-1, 1.4142135623724243487231433391571, 40];[-1, 1.0, 45];[-1, 1.4142135623730940352515972335823, 49];[-1, 1.0, 54];[-1, 1.4142135623730950483301072040376, 58]","[-1, 1.9999999999999999997831595655029, 62];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 1.9999999999999999997831595655029, 62];[1, 1.375, 4];[1, 1.0, 9];[1, 1.4141845703125, 13];[1, 1.0, 18];[1, 1.4142134189605712890625, 22];[1, 1.0, 27];[1, 1.4142135619185864925384521484375, 31];[1, 1.0, 36];[1, 1.4142135623724243487231433391571, 40];[1, 1.0, 45];[1, 1.4142135623730940352515972335823, 49];[1, 1.0, 54];[1, 1.4142135623730950483301072040376, 58];[-1, 1.375, 4];[-1, 1.0, 9];[-1, 1.4141845703125, 13];[-1, 1.0, 18];[-1, 1.4142134189605712890625, 22];[-1, 1.0, 27];[-1, 1.4142135619185864925384521484375, 31];[-1, 1.0, 36];[-1, 1.4142135623724243487231433391571, 40];[-1, 1.0, 45];[-1, 1.4142135623730940352515972335823, 49];[-1, 1.0, 54];[-1, 1.4142135623730950483301072040376, 58];[-1, 1.0, 63]","RAISE:panic;[1, 1.9999999999999999997831595655029, 62];[1, 0.0, 0];[1, 0.0, 0];[1, 1.9999999999999999997831595655029, 62];RAISE:panic;[1, 1.375, 13];[1, 1.4141845703125, 22];[1, 1.4141845703125, 31];[1, 1.4142134189605712890625, 40];[1, 1.4142134189605712890625, 49];[1, 1.4142135619185864925384521484375, 58];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[-1, 1.9445436482630056914538974055517, 62];[1, 1.375, 13];[1, 1.4141845703125, 22];[1, 1.4141845703125, 31];[1, 1.4142134189605712890625, 40];[1, 1.4142134189605712890625, 49];[1, 1.4142135619185864925384521484375, 58];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic",17,15
S2_5_5,u64,u64,IV32:w_u64|w_u64:shift,32,"[1, 0.0, 0];[1, 1.0, 0];[1, 1.9999999999999999997831595655029, 63];[1, 1.9999999999999999998915797827514, 63];[1, 1.0, 2];[1, 1.3125, 4];[1, 1.53125, 6];[1, 1.7734375, 8];[1, 1.02392578125, 11];[1, 1.1820068359375, 13];[1, 1.3643798828125, 15];[1, 1.574798583984375, 17];[1, 1.8176422119140625, 19];[1, 1.048964023590087890625, 22];[1, 1.21071732044219970703125, 24];[1, 1.39741313457489013671875, 26];[1, 1.6128979623317718505859375, 28];[1, 1.86161110736429691314697265625, 30];[1, 1.0743382392683997750282287597656, 33];[1, 1.2400040456559509038925170898438, 35];[1, 1.4312159587207133881747722625732, 37];[1, 1.6519132559787976788356900215149, 39];[1, 1.9066426618928744574077427387238, 41];[1, 1.1003260089453874570608604699373, 44];[1, 1.2699991982341316543170250952244, 46];[1, 1.4658364433839210505539085716009, 48];[1, 1.691872311210933510494669462787, 50];[1, 1.9527635094364435008884584021871, 52];[1, 1.1269424112323319919770625574529, 55];[1, 1.3007199203560055947304086032545, 57];[1, 1.5012943823463351759872619339831, 59];[1, 1.7327979584165807622198052229123, 61]","[1, 1.0, 0];[1, 1.9999999999999999997831595655029, 63];[1, 1.9999999999999999998915797827514, 63];[1, 1.0, 2];[1, 1.3125, 4];[1, 1.53125, 6];[1, 1.7734375, 8];[1, 1.02392578125, 11];[1, 1.1820068359375, 13];[1, 1.3643798828125, 15];[1, 1.574798583984375, 17];[1, 1.8176422119140625, 19];[1, 1.048964023590087890625, 22];[1, 1.21071732044219970703125, 24];[1, 1.39741313457489013671875, 26];[1, 1.6128979623317718505859375, 28];[1, 1.86161110736429691314697265625, 30];[1, 1.0743382392683997750282287597656, 33];[1, 1.2400040456559509038925170898438, 35];[1, 1.4312159587207133881747722625732, 37];[1, 1.6519132559787976788356900215149, 39];[1, 1.9066426618928744574077427387238, 41];[1, 1.1003260089453874570608604699373, 44];[1, 1.2699991982341316543170250952244, 46];[1, 1.4658364433839210505539085716009, 48];[1, 1.691872311210933510494669462787, 50];[1, 1.9527635094364435008884584021871, 52];[1, 1.1269424112323319919770625574529, 55];[1, 1.3007199203560055947304086032545, 57];[1, 1.5012943823463351759872619339831, 59];[1, 1.7327979584165807622198052229123, 61];[1, 0.0, 0]","[1, 0.0, 0];[1, 1.9999999999999999997831595655029, 63];RAISE:panic;RAISE:panic;[1, 1.3125, 6];[1, 1.0048828125, 11];[1, 1.3577880859375, 15];[1, 1.815868377685546875, 19];[1, 1.210287272930145263671875, 24];[1, 1.61270634829998016357421875, 28];[1, 1.07431175373494625091552734375, 33];[1, 1.4312101907562464475631713867188, 37];[1, 1.9066412880565621890127658843994, 41];[1, 1.2699989118812595734198112040758, 46];[1, 1.6918722858432460043331957422197, 50];[1, 1.1269423986457471897892901324667, 55];[1, 1.5012943808610339224696161863903, 59];[1, 1.9999999992882546795500836589454, 63];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 0.0, 0]",17,15
S2_6_6,i128,i128,IV32:w_s128|w_s128:shift,32,"[-1, 1.0, 127];[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117]","[-1, 2.0, 126];[-1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 2.0, 126];[1, 1.048828125, 9];[1, 1.10408782958984375, 18];[1, 1.16012938320636749267578125, 27];[1, 1.2190136541903484612703323364258, 36];[1, 1.2808866897642587900918442755938, 45];[1, 1.3459001926323561071363599239703, 54];[1, 1.4142135623730950487637880730318, 63];[1, 1.4859942891369484247998401907397, 72];[1, 1.5614183643114201831324172912204, 81];[1, 1.6406707120152758623405693653628, 90];[1, 1.7239456424939554484385867278945, 99];[1, 1.8114473285278133431883457464302, 108];[1, 1.9033903060212392198597864426657, 117];[-1, 1.048828125, 9];[-1, 1.10408782958984375, 18];[-1, 1.16012938320636749267578125, 27];[-1, 1.2190136541903484612703323364258, 36];[-1, 1.2808866897642587900918442755938, 45];[-1, 1.3459001926323561071363599239703, 54];[-1, 1.4142135623730950487637880730318, 63];[-1, 1.4859942891369484247998401907397, 72];[-1, 1.5614183643114201831324172912204, 81];[-1, 1.6406707120152758623405693653628, 90];[-1, 1.7239456424939554484385867278945, 99];[-1, 1.8114473285278133431883457464302, 108];[-1, 1.9033903060212392198597864426657, 117];[-1, 1.0, 127]","RAISE:panic;[1, 2.0, 126];[1, 0.0, 0];[1, 0.0, 0];[1, 2.0, 126];RAISE:panic;[1, 1.15799836814403533935546875, 27];[1, 1.2808847327477224098402075469494, 45];[1, 1.4142135587559891162813541232168, 63];[1, 1.5614183642933083167697542910309, 81];[1, 1.7239456424939368611444059560296, 99];[1, 1.9033903060212391847271258505611, 117];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[-1, 1.9963292858074325411420025775615, 126];[1, 1.15799836814403533935546875, 27];[1, 1.2808847327477224098402075469494, 45];[1, 1.4142135587559891162813541232168, 63];[1, 1.5614183642933083167697542910309, 81];[1, 1.7239456424939368611444059560296, 99];[1, 1.9033903060212391847271258505611, 117];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic",17,15
S2_7_7,f64,f64,IV32:f_b64|f_b64:shift,32,"[1, 0.0, 0];[-1, 0.0, 0];[1, 1.0, -1074];[-1, 1.0, -1074];[1, 1.0, -1022];[1, 1.0, 0];[1, 1.0000000000000002220446049250313, 0];[1, 1.9999999999999997779553950749687, -1];[1, 1.9999999999999997779553950749687, 1023];[-1, 1.9999999999999997779553950749687, 1023];[1, 1.5, -852];[1, 1.5, -681];[1, 1.5, -511];[1, 1.5, -340];[1, 1.5, -170];[1, 1.5, 0];[1, 1.5, 171];[1, 1.5, 341];[1, 1.5, 512];[1, 1.5, 682];[1, 1.5, 853];[-1, 1.5, -852];[-1, 1.5, -681];[-1, 1.5, -511];[-1, 1.5, -340];[-1, 1.5, -170];[-1, 1.5, 0];[-1, 1.5, 171];[-1, 1.5, 341];[-1, 1.5, 512];[-1, 1.5, 682];[-1, 1.5, 853]","[-1, 0.0, 0];[1, 1.0, -1074];[-1, 1.0, -1074];[1, 1.0, -1022];[1, 1.0, 0];[1, 1.0000000000000002220446049250313, 0];[1, 1.9999999999999997779553950749687, -1];[1, 1.9999999999999997779553950749687, 1023];[-1, 1.9999999999999997779553950749687, 1023];[1, 1.5, -852];[1, 1.5, -681];[1, 1.5, -511];[1, 1.5, -340];[1, 1.5, -170];[1, 1.5, 0];[1, 1.5, 171];[1, 1.5, 341];[1, 1.5, 512];[1, 1.5, 682];[1, 1.5, 853];[-1, 1.5, -852];[-1, 1.5, -681];[-1, 1.5, -511];[-1, 1.5, -340];[-1, 1.5, -170];[-1, 1.5, 0];[-1, 1.5, 171];[-1, 1.5, 341];[-1, 1.5, 512];[-1, 1.5, 682];[-1, 1.5, 853];[1, 0.0, 0]","[-1, 0.0, 0];[-1, 0.0, 0];[-1, 0.0, 0];[-1, 0.0, 0];[1, 1.0, -1022];[1, 1.0000000000000002220446049250313, 0];[1, 1.0, 0];[1, 1.9999999999999995559107901499374, 1023];[-1, inf];[-1, 1.4999999999999997779553950749687, 172];[1, 0.0, 0];[1, 0.0, 0];[1, 1.125, -850];[1, 1.125, -509];[1, 1.125, -169];[1, 1.125, 172];[1, 1.125, 513];[1, 1.125, 854];[1, inf];[1, inf];[-1, 1.125, 2];[1, 0.0, 0];[1, 0.0, 0];[1, 1.125, -850];[1, 1.125, -509];[1, 1.125, -169];[1, 1.125, 172];[1, 1.125, 513];[1, 1.125, 854];[1, inf];[1, inf];[-1, 0.0, 0]",32,0
S2_8_8,f32,f32,IV32:f_b32|f_b32:shift,32,"[1, 0.0, 0];[-1, 0.0, 0];[1, 1.0, -149];[-1, 1.0, -149];[1, 1.0, -126];[1, 1.0, 0];[1, 1.00000011920928955078125, 0];[1, 1.99999988079071044921875, -1];[1, 1.99999988079071044921875, 127];[-1, 1.99999988079071044921875, 127];[1, 1.5, -105];[1, 1.5, -84];[1, 1.5, -63];[1, 1.5, -42];[1, 1.5, -21];[1, 1.5, 0];[1, 1.5, 22];[1, 1.5, 43];[1, 1.5, 64];[1, 1.5, 85];[1, 1.5, 106];[-1, 1.5, -105];[-1, 1.5, -84];[-1, 1.5, -63];[-1, 1.5, -42];[-1, 1.5, -21];[-1, 1.5, 0];[-1, 1.5, 22];[-1, 1.5, 43];[-1, 1.5, 64];[-1, 1.5, 85];[-1, 1.5, 106]","[-1, 0.0, 0];[1, 1.0, -149];[-1, 1.0, -149];[1, 1.0, -126];[1, 1.0, 0];[1, 1.00000011920928955078125, 0];[1, 1.99999988079071044921875, -1];[1, 1.99999988079071044921875, 127];[-1, 1.99999988079071044921875, 127];[1, 1.5, -105];[1, 1.5, -84];[1, 1.5, -63];[1, 1.5, -42];[1, 1.5, -21];[1, 1.5, 0];[1, 1.5, 22];[1, 1.5, 43];[1, 1.5, 64];[1, 1.5, 85];[1, 1.5, 106];[-1, 1.5, -105];[-1, 1.5, -84];[-1, 1.5, -63];[-1, 1.5, -42];[-1, 1.5, -21];[-1, 1.5, 0];[-1, 1.5, 22];[-1, 1.5, 43];[-1, 1.5, 64];[-1, 1.5, 85];[-1, 1.5, 106];[1, 0.0, 0]","[-1, 0.0, 0];[-1, 0.0, 0];[-1, 0.0, 0];[-1, 0.0, 0];[1, 1.0, -126];[1, 1.00000011920928955078125, 0];[1, 1.0, 0];[1, 1.9999997615814208984375, 127];[-1, inf];[-1, 1.49999988079071044921875, 23];[1, 0.0, 0];[1, 1.125, -146];[1, 1.125, -104];[1, 1.125, -62];[1, 1.125, -20];[1, 1.125, 23];[1, 1.125, 66];[1, 1.125, 108];[1, inf];[1, inf];[-1, 1.125, 2];[1, 0.0, 0];[1, 1.125, -146];[1, 1.125, -104];[1, 1.125, -62];[1, 1.125, -20];[1, 1.125, 23];[1, 1.125, 66];[1, 1.125, 108];[1, inf];[1, inf];[-1, 0.0, 0]",32,0
C2_3_3,i32,i32,IV32:w_s32|w_s32:comp1,32,"RAISE:panic;RAISE:panic;[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;[1, 1.0, 4];[1, 1.72265625, 8];[1, 1.1964111328125, 13];[1, 1.63550567626953125, 17];[1, 1.1031153202056884765625, 22];[1, 1.485946714878082275390625, 26];[1, 1.99991799890995025634765625, 30];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 1.0, 4];[1, 1.72265625, 8];[1, 1.1964111328125, 13];[1, 1.63550567626953125, 17];[1, 1.1031153202056884765625, 22];[1, 1.485946714878082275390625, 26];[1, 1.99991799890995025634765625, 30];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic","RAISE:panic;RAISE:panic;[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;[1, 1.0, 4];[1, 1.72265625, 8];[1, 1.1964111328125, 13];[1, 1.63550567626953125, 17];[1, 1.1031153202056884765625, 22];[1, 1.485946714878082275390625, 26];[1, 1.99991799890995025634765625, 30];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 1.0, 4];[1, 1.72265625, 8];[1, 1.1964111328125, 13];[1, 1.63550567626953125, 17];[1, 1.1031153202056884765625, 22];[1, 1.485946714878082275390625, 26];[1, 1.99991799890995025634765625, 30];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic","RAISE:panic;RAISE:panic;[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;[1, 1.0, 8];[1, 1.48377227783203125, 17];[1, 1.43139959871768951416015625, 26];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 1.0, 8];[1, 1.48377227783203125, 17];[1, 1.43139959871768951416015625, 26];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic",9,23
C2_4_4,i64,i64,IV32:w_s64|w_s64:comp1,32,"RAISE:panic;RAISE:panic;[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;[1, 1.890625, 8];[1, 1.0, 18];[1, 1.99991799890995025634765625, 26];[1, 1.0, 36];[1, 1.9999995943681483367981854826212, 44];[1, 1.0, 54];[1, 1.9999999987144556712424098288139, 62];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 1.890625, 8];[1, 1.0, 18];[1, 1.99991799890995025634765625, 26];[1, 1.0, 36];[1, 1.9999995943681483367981854826212, 44];[1, 1.0, 54];[1, 1.9999999987144556712424098288139, 62];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic","RAISE:panic;RAISE:panic;[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;[1, 1.890625, 8];[1, 1.0, 18];[1, 1.99991799890995025634765625, 26];[1, 1.0, 36];[1, 1.9999995943681483367981854826212, 44];[1, 1.0, 54];[1, 1.9999999987144556712424098288139, 62];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 1.890625, 8];[1, 1.0, 18];[1, 1.99991799890995025634765625, 26];[1, 1.0, 36];[1, 1.9999995943681483367981854826212, 44];[1, 1.0, 54];[1, 1.9999999987144556712424098288139, 62];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic","RAISE:panic;RAISE:panic;[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;[1, 1.7872314453125, 17];[1, 1.0, 36];[1, 1.9998360011819898973683962140058, 53];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 1.7872314453125, 17];[1, 1.0, 36];[1, 1.9998360011819898973683962140058, 53];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic",9,23
C2_5_5,u64,u64,IV32:w_u64|w_u64:comp1,32,"[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;RAISE:panic;[1, 1.0, 4];[1, 1.72265625, 8];[1, 1.17236328125, 13];[1, 1.572540283203125, 17];[1, 1.0484240055084228515625, 22];[1, 1.39714016020298004150390625, 26];[1, 1.86153246462345123291015625, 30];[1, 1.2399952900595963001251220703125, 35];[1, 1.6519116052659228444099426269531, 39];[1, 1.1003255227863064646953716874123, 44];[1, 1.4658364300187400885988608933985, 48];[1, 1.9527634686824200116461724974215, 52];[1, 1.30071991844699086371406338003, 57];[1, 1.7327979575310619043265747407645, 61];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic","[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;RAISE:panic;[1, 1.0, 4];[1, 1.72265625, 8];[1, 1.17236328125, 13];[1, 1.572540283203125, 17];[1, 1.0484240055084228515625, 22];[1, 1.39714016020298004150390625, 26];[1, 1.86153246462345123291015625, 30];[1, 1.2399952900595963001251220703125, 35];[1, 1.6519116052659228444099426269531, 39];[1, 1.1003255227863064646953716874123, 44];[1, 1.4658364300187400885988608933985, 48];[1, 1.9527634686824200116461724974215, 52];[1, 1.30071991844699086371406338003, 57];[1, 1.7327979575310619043265747407645, 61];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic","[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;RAISE:panic;[1, 1.0, 8];[1, 1.48377227783203125, 17];[1, 1.3744356632232666015625, 26];[1, 1.2364414711482822895050048828125, 35];[1, 1.0991928953263254697958473116159, 44];[1, 1.9520006272520087353683493347489, 52];[1, 1.7326515584235303579774267745961, 61];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic",9,23
C2_6_6,i128,i128,IV32:w_s128|w_s128:comp1,32,"RAISE:panic;RAISE:panic;[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;[1, 1.100040435791015625, 18];[1, 1.2190099354484118521213531494141, 36];[1, 1.3459001857787866729410097832442, 54];[1, 1.4859942891025064626490831431495, 72];[1, 1.6406707120152405439438683383704, 90];[1, 1.8114473285278132764142730299381, 108];[1, 1.999999999999999999892800770163, 126];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 1.100040435791015625, 18];[1, 1.2190099354484118521213531494141, 36];[1, 1.3459001857787866729410097832442, 54];[1, 1.4859942891025064626490831431495, 72];[1, 1.6406707120152405439438683383704, 90];[1, 1.8114473285278132764142730299381, 108];[1, 1.999999999999999999892800770163, 126];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic","RAISE:panic;RAISE:panic;[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;[1, 1.100040435791015625, 18];[1, 1.2190099354484118521213531494141, 36];[1, 1.3459001857787866729410097832442, 54];[1, 1.4859942891025064626490831431495, 72];[1, 1.6406707120152405439438683383704, 90];[1, 1.8114473285278132764142730299381, 108];[1, 1.999999999999999999892800770163, 126];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 1.100040435791015625, 18];[1, 1.2190099354484118521213531494141, 36];[1, 1.3459001857787866729410097832442, 54];[1, 1.4859942891025064626490831431495, 72];[1, 1.6406707120152405439438683383704, 90];[1, 1.8114473285278132764142730299381, 108];[1, 1.999999999999999999892800770163, 126];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic","RAISE:panic;RAISE:panic;[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 0];RAISE:panic;[1, 1.2100889603752875700592994689941, 36];[1, 1.4859852227219412306164338186815, 72];[1, 1.811447310079372479980187804661, 108];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;[1, 1.2100889603752875700592994689941, 36];[1, 1.4859852227219412306164338186815, 72];[1, 1.811447310079372479980187804661, 108];RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic;RAISE:panic",9,23
