form_pair,cpp.!=,cpp.%,cpp.&,cpp.&&,cpp.*,cpp.+,cpp.-,cpp./,cpp.<,cpp.<<,cpp.<=,cpp.<=>,cpp.==,cpp.>,cpp.>=,cpp.>>,cpp.^,cpp.and,cpp.bitand,cpp.bitor,cpp.not_eq,cpp.or,cpp.xor,cpp.|,cpp.||,csharp.!=,csharp.%,csharp.&,csharp.&&,csharp.*,csharp.+,csharp.-,csharp./,csharp.<,csharp.<<,csharp.<=,csharp.==,csharp.>,csharp.>=,csharp.>>,csharp.??,csharp.^,csharp.|,csharp.||,dart.%,dart.&,dart.&&,dart.*,dart./,dart.<,dart.<<,dart.<=,dart.==,dart.>,dart.>=,dart.>>,dart.??,dart.^,dart.|,dart.||,dart.~/,go.!=,go.%,go.&,go.&&,go.&^,go.*,go.+,go.-,go./,go.<,go.<<,go.<=,go.==,go.>,go.>=,go.>>,go.^,go.|,go.||,java.!=,java.%,java.&,java.&&,java.*,java.+,java.-,java./,java.<,java.<<,java.<=,java.==,java.>,java.>=,java.>>,java.>>>,java.^,java.|,java.||,kotlin.!=,kotlin.%,kotlin.&&,kotlin.*,kotlin.+,kotlin.-,kotlin...,kotlin./,kotlin.<,kotlin.<=,kotlin.==,kotlin.>,kotlin.>=,kotlin.?:,kotlin.in,kotlin.||,php.!=,php.!==,php.%,php.&,php.&&,php.*,php.**,php.+,php.-,php..,php./,php.<,php.<<,php.<=,php.<=>,php.==,php.===,php.>,php.>=,php.>>,php.^,php.and,php.instanceof,php.or,php.xor,php.|,php.||,python.!=,python.%,python.&,python.*,python.**,python.+,python.-,python./,python.//,python.<,python.<<,python.<=,python.==,python.>,python.>=,python.>>,python.@,python.^,python.and,python.in,python.is,python.is not,python.not in,python.or,python.|,ruby.!=,ruby.%,ruby.&,ruby.&&,ruby.*,ruby.**,ruby.+,ruby.-,ruby./,ruby.<,ruby.<<,ruby.<=,ruby.<=>,ruby.==,ruby.===,ruby.=~,ruby.>,ruby.>=,ruby.>>,ruby.^,ruby.and,ruby.or,ruby.|,ruby.||,rust.!=,rust.%,rust.&,rust.&&,rust.*,rust.+,rust.-,rust...,rust./,rust.<,rust.<<,rust.<=,rust.==,rust.>,rust.>=,rust.>>,rust.^,rust.|,rust.||,swift.&&,swift.*,swift.<,swift.>,swift.>=,swift.||,typescript.!=,typescript.!==,typescript.%,typescript.&,typescript.&&,typescript.*,typescript.**,typescript.+,typescript.-,typescript./,typescript.<,typescript.<<,typescript.<=,typescript.==,typescript.===,typescript.>,typescript.>=,typescript.>>,typescript.??,typescript.^,typescript.in,typescript.|,typescript.||
nothing|nothing,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,truth,ord,truth,truth,truth,REFUSE,REFUSE,UNPROBED,UNPROBED,UNPROBED,truth,UNPROBED,UNPROBED,REFUSE,REFUSE,truth,nothing,nothing,REFUSE,nothing,nothing+text,nothing,nothing,truth,nothing,truth,truth,truth,truth,nothing,nothing,nothing,nothing,REFUSE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,nothing,RAISE,RAISE,RAISE,RAISE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,nothing+opaque,REFUSE,REFUSE,truth,truth,RAISE,whole,truth,whole,whole,whole,whole,text,RAISE,truth,whole,truth,whole,truth,truth,truth,truth,whole,whole,truth,RAISE,truth,truth,whole,truth,truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,RAISE,truth,truth,RAISE,nothing,RAISE,truth,RAISE,truth,nothing,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,whole,truth,truth,nothing,RAISE,RAISE,RAISE,truth,nothing,nothing,truth,nothing,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,range,REFUSE,truth,REFUSE,truth,truth,truth,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,truth,REFUSE,truth,truth,REFUSE,REFUSE,nothing,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,truth,truth,truth,truth,truth,REFUSE,nothing,REFUSE,REFUSE,REFUSE,nothing
nothing|truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,UNPROBED,UNPROBED,UNPROBED,UNPROBED,UNPROBED,UNPROBED,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,opaque+truth,REFUSE,REFUSE,truth,truth,RAISE+whole,whole,truth,whole,whole,whole,whole,text,RAISE+whole,truth,whole,truth,whole,truth,truth,truth,truth,whole,whole,truth,RAISE,truth,truth,whole,truth,truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,RAISE,truth,truth,RAISE,truth,RAISE,truth,RAISE,truth,nothing,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,truth,truth,nothing,RAISE,RAISE,RAISE,truth,nothing,truth,truth,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,nothing,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,truth
nothing|whole,truth,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,truth,ord,truth,truth,truth,REFUSE,REFUSE,truth,UNPROBED,UNPROBED,truth,truth,UNPROBED,REFUSE,truth,truth,nothing,nothing,REFUSE,nothing,nothing+text,nothing,nothing,truth,nothing,truth,truth,truth,truth,nothing,opaque+whole,nothing,nothing,REFUSE,RAISE,RAISE,REFUSE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,fractional+opaque+whole,RAISE,RAISE,REFUSE,RAISE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,opaque+whole,REFUSE,REFUSE,RAISE+truth,RAISE+truth,RAISE+whole,RAISE+whole,RAISE+truth,RAISE+fractional+whole,RAISE+fractional+whole,RAISE+fractional+whole,RAISE+fractional+whole,RAISE+text,RAISE+fractional+whole,RAISE+truth,RAISE+whole,RAISE+truth,RAISE+whole,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+whole,RAISE+whole,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+whole,RAISE+truth,truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,RAISE,truth,truth,RAISE,whole,RAISE,RAISE+truth,RAISE,RAISE+truth,RAISE+nothing,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE+nothing,RAISE+truth,RAISE+truth,RAISE+nothing,RAISE,RAISE,RAISE,RAISE+truth,RAISE+nothing,RAISE+whole,RAISE+truth,RAISE+whole,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,nothing,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,fractional+opaque+whole,REFUSE,REFUSE,REFUSE,fractional+opaque+whole
nothing|fractional,truth,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,truth,ord,truth,truth,truth,REFUSE,REFUSE,truth,UNPROBED,UNPROBED,truth,truth,UNPROBED,REFUSE,truth,truth,nothing,REFUSE,REFUSE,nothing,nothing+text,nothing,nothing,truth,REFUSE,truth,truth,truth,truth,REFUSE,fractional+whole,REFUSE,REFUSE,REFUSE,RAISE,RAISE,REFUSE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,fractional,RAISE,RAISE,REFUSE,RAISE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,RAISE+text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,RAISE+truth,REFUSE,REFUSE,REFUSE,RAISE+text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,RAISE+truth,REFUSE,REFUSE,RAISE+fractional+opaque,REFUSE,REFUSE,truth,truth,RAISE+whole,whole,truth,fractional,fractional,fractional,fractional,text,RAISE+fractional,truth,whole,truth,whole,truth,truth,truth,truth,whole,whole,truth,RAISE,truth,truth,whole,truth,RAISE+truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE+truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE+nothing,RAISE,RAISE+truth,RAISE+truth,RAISE,RAISE+fractional+whole,RAISE,RAISE+truth,RAISE,RAISE+truth,RAISE+nothing,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE+nothing,RAISE+truth,RAISE+truth,RAISE+nothing,RAISE,RAISE,RAISE,RAISE+truth,RAISE+nothing,RAISE+fractional+whole,RAISE+truth,RAISE+fractional+whole,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,nothing,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,fractional,REFUSE,REFUSE,REFUSE,fractional
nothing|text,truth,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,truth,UNPROBED,UNPROBED,truth,truth,UNPROBED,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,opaque+sequence+text,REFUSE,REFUSE,REFUSE,RAISE,RAISE,REFUSE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,opaque+sequence+text,RAISE,RAISE,REFUSE,RAISE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,opaque+sequence+text,REFUSE,REFUSE,RAISE+truth,RAISE+truth,RAISE,RAISE,RAISE+truth,RAISE,RAISE,RAISE,RAISE,RAISE+text,RAISE,RAISE+truth,RAISE,RAISE+truth,RAISE+whole,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+truth,RAISE,RAISE,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+truth,RAISE,RAISE+truth,truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,RAISE,truth,truth,RAISE,text,RAISE,truth,RAISE,truth,nothing,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,truth,truth,nothing,RAISE,RAISE,RAISE,truth,nothing,opaque+sequence+text,truth,opaque+sequence+text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,nothing,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,keyed+sequence+text,REFUSE,REFUSE,REFUSE,keyed+sequence+text
nothing|sequence,truth,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,truth,UNPROBED,UNPROBED,truth,truth,UNPROBED,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,opaque+sequence,REFUSE,REFUSE,REFUSE,RAISE,RAISE,REFUSE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,opaque+sequence,RAISE,RAISE,REFUSE,RAISE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,RAISE+text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,opaque+sequence,truth,REFUSE,truth,truth,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,RAISE+text,RAISE,truth,RAISE,truth,whole,truth,truth,truth,truth,RAISE,RAISE,truth,RAISE+truth,truth,truth,RAISE,truth,RAISE+truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE+truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE+nothing,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+keyed+opaque+sequence,RAISE,truth,RAISE,truth,nothing,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,truth,truth,nothing,RAISE,RAISE,RAISE,truth,nothing,keyed+sequence,truth,keyed+sequence,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,range,REFUSE,truth,REFUSE,truth,truth,truth,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,truth,REFUSE,RAISE+truth,RAISE+truth,REFUSE,REFUSE,RAISE+nothing,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,RAISE+truth,RAISE+truth,REFUSE,REFUSE,REFUSE,RAISE+keyed+sequence,REFUSE,REFUSE,REFUSE,RAISE+keyed+sequence
nothing|keyed,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,UNPROBED,UNPROBED,UNPROBED,UNPROBED,UNPROBED,UNPROBED,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,keyed+opaque,REFUSE,REFUSE,REFUSE,RAISE,RAISE,REFUSE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,keyed,RAISE,RAISE,REFUSE,RAISE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,keyed+opaque,REFUSE,REFUSE,truth,truth,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,RAISE+text,RAISE,truth,RAISE,truth,whole,truth,truth,truth,truth,RAISE,RAISE,truth,RAISE+truth,truth,truth,RAISE,truth,RAISE+truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE+truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE+nothing,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+truth,RAISE+keyed+opaque,RAISE,RAISE+truth,RAISE,RAISE+truth,RAISE+nothing,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE+nothing,RAISE+truth,RAISE+truth,RAISE+nothing,RAISE,RAISE,RAISE,RAISE+truth,RAISE+nothing,RAISE+keyed,RAISE+truth,RAISE+keyed,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,nothing,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,keyed,REFUSE,REFUSE,REFUSE,keyed
nothing|nesting,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,UNPROBED,UNPROBED,UNPROBED,UNPROBED,UNPROBED,UNPROBED,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,keyed+sequence,REFUSE,REFUSE,REFUSE,RAISE,RAISE,REFUSE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,keyed+sequence,RAISE,RAISE,REFUSE,RAISE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,keyed+opaque+sequence,truth,REFUSE,truth,truth,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,RAISE+text,RAISE,truth,RAISE,truth,whole,truth,truth,truth,truth,RAISE,RAISE,truth,RAISE+truth,truth,truth,RAISE,truth,truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,truth,truth,truth,truth,keyed+sequence,RAISE,truth,RAISE,truth,nothing,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,truth,truth,nothing,RAISE,RAISE,RAISE,truth,nothing,keyed+sequence,truth,keyed+sequence,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,nothing,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,keyed+sequence,REFUSE,REFUSE,REFUSE,keyed+sequence
truth|nothing,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,UNPROBED,UNPROBED,UNPROBED,UNPROBED,UNPROBED,UNPROBED,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,RAISE,RAISE+truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,truth,RAISE,RAISE,RAISE+truth,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,text,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,truth,REFUSE,REFUSE,truth,truth,RAISE,whole,truth,whole,whole,whole,whole,text,RAISE,truth,whole,truth,whole,truth,truth,truth,truth,whole,whole,truth,RAISE,truth,truth,whole,truth,truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,truth,RAISE,RAISE,RAISE,RAISE,RAISE,nothing+truth,RAISE,truth,truth,RAISE,nothing+truth,RAISE,truth,RAISE,truth,nothing+truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,nothing,truth,truth,RAISE,RAISE,RAISE,RAISE,truth,nothing+truth,nothing+truth,truth,nothing+truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,nothing+truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,nothing+truth
truth|truth,truth,ABORT+whole,whole,truth,whole,whole,whole,ABORT+whole,truth,whole,truth,REFUSE,truth,truth,truth,whole,whole,truth,whole,whole,truth,truth,whole,whole,truth,truth,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,truth,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,truth,truth,truth,truth,REFUSE,truth,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,truth,truth,REFUSE,truth,REFUSE,REFUSE,REFUSE,opaque,REFUSE,truth,truth,truth,truth,truth,truth,REFUSE,truth,truth,truth,RAISE+whole,whole,truth,whole,whole,whole,whole,text,RAISE+whole,truth,whole,truth,whole,truth,truth,truth,truth,whole,whole,truth,RAISE,truth,truth,whole,truth,truth,RAISE+whole,truth,whole,whole,whole,whole,RAISE+fractional,RAISE+whole,truth,whole,truth,truth,truth,truth,whole,RAISE,truth,truth,RAISE,truth,truth,RAISE,truth,truth,truth,RAISE,truth,truth,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,RAISE,nothing+whole,truth,truth,RAISE,RAISE,RAISE,RAISE,truth,truth,truth,truth,truth,truth,REFUSE,truth,truth,REFUSE,REFUSE,REFUSE,range,REFUSE,truth,REFUSE,truth,truth,truth,truth,REFUSE,truth,truth,truth,truth,REFUSE,REFUSE,REFUSE,REFUSE,truth,truth,truth,REFUSE,REFUSE,truth,REFUSE,REFUSE,REFUSE,REFUSE,REFUSE,truth,REFUSE,truth,truth,truth,truth,truth,REFUSE,truth,REFUSE,REFUSE,REFUSE,truth
