canon39_wrapped_c.json: 602 with proved terms, 125 rendered, 8 skipped
canon39_wrapped_cpp.json: 764 with proved terms, 135 rendered, 6 skipped
canon39_wrapped_go.json: 78 with proved terms, 29 rendered, 29 skipped
canon39_wrapped_rust.json: 111 with proved terms, 47 rendered, 12 skipped
canon39_wrapped_swift.json: 116 with proved terms, 35 rendered, 37 skipped
canon39_interp.json: 9 with proved terms, 8 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0000.json: 131 with proved terms, 74 rendered, 7 skipped
canon39_regen_store/op_units2_c_c0001.json: 125 with proved terms, 122 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0002.json: 74 with proved terms, 72 rendered, 25 skipped
canon39_regen_store/op_units2_c_c0003.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0004.json: 3 with proved terms, 0 rendered, 21 skipped
canon39_regen_store/op_units2_c_c0005.json: 82 with proved terms, 58 rendered, 12 skipped
canon39_regen_store/op_units2_c_c0006.json: 86 with proved terms, 26 rendered, 10 skipped
canon39_regen_store/op_units2_c_c0007.json: 85 with proved terms, 54 rendered, 10 skipped
canon39_regen_store/op_units2_c_c0008.json: 114 with proved terms, 76 rendered, 10 skipped
canon39_regen_store/op_units2_c_c0009.json: 81 with proved terms, 61 rendered, 8 skipped
canon39_regen_store/op_units2_c_c0010.json: 22 with proved terms, 20 rendered, 25 skipped
canon39_regen_store/op_units2_c_c0011.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0012.json: 3 with proved terms, 0 rendered, 21 skipped
canon39_regen_store/op_units2_c_c0013.json: 83 with proved terms, 58 rendered, 13 skipped
canon39_regen_store/op_units2_c_c0014.json: 87 with proved terms, 27 rendered, 9 skipped
canon39_regen_store/op_units2_c_c0015.json: 109 with proved terms, 68 rendered, 12 skipped
canon39_regen_store/op_units2_c_c0016.json: 114 with proved terms, 81 rendered, 10 skipped
canon39_regen_store/op_units2_c_c0017.json: 55 with proved terms, 41 rendered, 6 skipped
canon39_regen_store/op_units2_c_c0018.json: 22 with proved terms, 3 rendered, 25 skipped
canon39_regen_store/op_units2_c_c0019.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0020.json: 23 with proved terms, 11 rendered, 26 skipped
canon39_regen_store/op_units2_c_c0021.json: 85 with proved terms, 24 rendered, 11 skipped
canon39_regen_store/op_units2_c_c0022.json: 86 with proved terms, 39 rendered, 10 skipped
canon39_regen_store/op_units2_c_c0023.json: 114 with proved terms, 55 rendered, 10 skipped
canon39_regen_store/op_units2_c_c0024.json: 100 with proved terms, 66 rendered, 9 skipped
canon39_regen_store/op_units2_c_c0025.json: 43 with proved terms, 29 rendered, 5 skipped
canon39_regen_store/op_units2_c_c0026.json: 20 with proved terms, 3 rendered, 27 skipped
canon39_regen_store/op_units2_c_c0027.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0028.json: 8 with proved terms, 5 rendered, 65 skipped
canon39_regen_store/op_units2_c_c0029.json: 81 with proved terms, 5 rendered, 12 skipped
canon39_regen_store/op_units2_c_c0030.json: 85 with proved terms, 26 rendered, 18 skipped
canon39_regen_store/op_units2_c_c0031.json: 105 with proved terms, 16 rendered, 20 skipped
canon39_regen_store/op_units2_c_c0032.json: 66 with proved terms, 8 rendered, 14 skipped
canon39_regen_store/op_units2_c_c0033.json: 55 with proved terms, 7 rendered, 12 skipped
canon39_regen_store/op_units2_c_c0034.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0035.json: 38 with proved terms, 8 rendered, 38 skipped
canon39_regen_store/op_units2_c_c0036.json: 68 with proved terms, 8 rendered, 8 skipped
canon39_regen_store/op_units2_c_c0037.json: 85 with proved terms, 10 rendered, 10 skipped
canon39_regen_store/op_units2_c_c0038.json: 83 with proved terms, 10 rendered, 12 skipped
canon39_regen_store/op_units2_c_c0039.json: 23 with proved terms, 2 rendered, 27 skipped
canon39_regen_store/op_units2_c_c0040.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0041.json: 23 with proved terms, 0 rendered, 27 skipped
canon39_regen_store/op_units2_c_c0042.json: 92 with proved terms, 2 rendered, 8 skipped
canon39_regen_store/op_units2_c_c0043.json: 92 with proved terms, 0 rendered, 8 skipped
canon39_regen_store/op_units2_c_c0044.json: 116 with proved terms, 0 rendered, 11 skipped
canon39_regen_store/op_units2_c_c0045.json: 115 with proved terms, 0 rendered, 10 skipped
canon39_regen_store/op_units2_c_c0046.json: 68 with proved terms, 0 rendered, 5 skipped
canon39_regen_store/op_units2_c_c0047.json: 23 with proved terms, 2 rendered, 27 skipped
canon39_regen_store/op_units2_c_c0048.json: 0 with proved terms, 0 rendered, 0 skipped
