TASK 78 -- THE ATTACHED CALLEE'S OWN ANSWER REGISTERS, READ OFF ITS BODY

bodies read: 76, from canon39_callee_units.json
archives: {"clang": "/usr/lib/llvm-21/lib/clang/21/lib/linux/libclang_rt.builtins-x86_64.a", "clang++": "/usr/lib/llvm-21/lib/clang/21/lib/linux/libclang_rt.builtins-x86_64.a", "gcc": "/usr/lib/gcc/x86_64-linux-gnu/15/libgcc.a", "rustc": "~/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/lib/libcompiler_builtins-17bce873ebfac7f5.rlib"}

callee arch unit                                                         n    families changed / refusal
clang++/__clzti2                                                         12   rcx,rax
clang++/__divti3                                                         27   r8,r10,r11,r9,rcx,rdi,rsi,rax,rdx
clang++/__eqtf2                                                          53   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang++/__extenddftf2                                                    50   r8,rcx,rdx,rdi,rax,rsi,xmm0
clang++/__extendhfsf2                                                    40   rcx,rdx,rax,rsi,xmm0
clang++/__extendhftf2                                                    48   rdi,rsi,rcx,rax,rdx,xmm0
clang++/__extendhfxf2                                                    43   rsi,rcx,rax,rdx,xmm0 +x87
clang++/__extendsftf2                                                    48   rdi,rsi,rcx,rax,rdx,xmm0
clang++/__extendxftf2                                                    42   r8,rcx,rsi,rdi,rdx,rax,xmm0
clang++/__floatditf                                                      32   rdx,rsi,r8,rax,rcx,rdi,xmm0
clang++/__floatsitf                                                      31   rsi,rdi,rcx,rdx,rax,xmm0
clang++/__floattidf                                                      84   rdi,rsi,rdx,rcx,rax,xmm0
clang++/__floattisf                                                      77   rax,rsi,rdi,rcx,rdx,xmm0
clang++/__floattitf                                                      92   rdi,rdx,rcx,rsi,rax,xmm0
clang++/__floattixf                                                      92   rsi,r9,rdi,r8,rcx,rdx,rax +x87
clang++/__floatunditf                                                    26   rax,rsi,rdi,rcx,rdx,xmm0
clang++/__floatunsitf                                                    25   rax,rsi,rcx,rdx,xmm0
clang++/__floatuntidf                                                    73   rdi,rdx,rsi,rcx,rax,xmm0
clang++/__floatuntisf                                                    68   rsi,rdi,rcx,rdx,rax,xmm0
clang++/__floatuntitf                                                    79   rdi,rcx,rdx,rsi,rax,xmm0
clang++/__floatuntixf                                                    80   rsi,r9,rdi,r8,rcx,rdx,rax +x87
clang++/__getf2                                                          52   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang++/__gttf2                                                          52   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang++/__letf2                                                          53   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang++/__lttf2                                                          53   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang++/__modti3                                                         38   r8,r10,r11,r9,rcx,rdi,rsi,rdx,rax
clang++/__netf2                                                          53   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang++/__truncsfbf2                                                     90   r8,rdi,rsi,rax,rcx,rdx,xmm0
clang++/__truncsfhf2                                                     101  rdx,xmm0,r8,rdi,rax,rsi,rcx
clang++/__udivmodti4                                                     91   r11,r10,r9,rcx,rax,rdi,rsi,rdx
clang++/__udivti3                                                        3    r8,r11,r10,r9,rcx,rax,rdi,rsi,rdx
clang++/__umodti3                                                        14   r8,r10,r11,r9,rdi,rsi,rax,rdx,rcx
clang/__clzti2                                                           12   rcx,rax
clang/__divti3                                                           27   r8,r10,r11,r9,rcx,rdi,rsi,rax,rdx
clang/__eqtf2                                                            53   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang/__extenddftf2                                                      50   r8,rcx,rdx,rdi,rax,rsi,xmm0
clang/__extendhfsf2                                                      40   rcx,rdx,rax,rsi,xmm0
clang/__extendhftf2                                                      48   rdi,rsi,rcx,rax,rdx,xmm0
clang/__extendhfxf2                                                      43   rsi,rcx,rax,rdx,xmm0 +x87
clang/__extendsftf2                                                      48   rdi,rsi,rcx,rax,rdx,xmm0
clang/__extendxftf2                                                      42   r8,rcx,rsi,rdi,rdx,rax,xmm0
clang/__floatditf                                                        32   rdx,rsi,r8,rax,rcx,rdi,xmm0
clang/__floatsitf                                                        31   rsi,rdi,rcx,rdx,rax,xmm0
clang/__floattidf                                                        84   rdi,rsi,rdx,rcx,rax,xmm0
clang/__floattisf                                                        77   rax,rsi,rdi,rcx,rdx,xmm0
clang/__floattitf                                                        92   rdi,rdx,rcx,rsi,rax,xmm0
clang/__floattixf                                                        92   rsi,r9,rdi,r8,rcx,rdx,rax +x87
clang/__floatunditf                                                      26   rax,rsi,rdi,rcx,rdx,xmm0
clang/__floatunsitf                                                      25   rax,rsi,rcx,rdx,xmm0
clang/__floatuntidf                                                      73   rdi,rdx,rsi,rcx,rax,xmm0
clang/__floatuntisf                                                      68   rsi,rdi,rcx,rdx,rax,xmm0
clang/__floatuntitf                                                      79   rdi,rcx,rdx,rsi,rax,xmm0
clang/__floatuntixf                                                      80   rsi,r9,rdi,r8,rcx,rdx,rax +x87
clang/__getf2                                                            52   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang/__gttf2                                                            52   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang/__letf2                                                            53   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang/__lttf2                                                            53   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang/__modti3                                                           38   r8,r10,r11,r9,rcx,rdi,rsi,rdx,rax
clang/__netf2                                                            53   rdi,rsi,xmm1,r11,r9,r10,rcx,rdx,rax,r8
clang/__truncsfbf2                                                       90   r8,rdi,rsi,rax,rcx,rdx,xmm0
clang/__truncsfhf2                                                       101  rdx,xmm0,r8,rdi,rax,rsi,rcx
clang/__udivmodti4                                                       91   r11,r10,r9,rcx,rax,rdi,rsi,rdx
clang/__udivti3                                                          3    r8,r11,r10,r9,rcx,rax,rdi,rsi,rdx
clang/__umodti3                                                          14   r8,r10,r11,r9,rdi,rsi,rax,rdx,rcx
rustc/_RNvNtNtCsNDsy69z6bA_17compiler_builtins3int19specialized_div_rem12u128_div_rem 77   rcx,r8,r11,r10,rdx,r9,rsi,rax
rustc/__divti3                                                           40   rdi,r10,r11,r8,r9,rcx,rsi,rdx,rax
rustc/__modti3                                                           38   rdi,r10,r11,r8,r9,rcx,rsi,rax,rdx
rustc/__udivti3                                                          67   r8,r11,r10,r9,rdi,rsi,rcx,rax,rdx
rustc/__umodti3                                                          68   r9,r10,rcx,r11,r8,rsi,rdi,rax,rdx
