full candidate set: 13584 pairs
bucket0 remaining (cross-lang float-arith): 29
bucket2+3 remaining (same-language): 4937
bucket1 remaining (cross-lang other, NOT attempted this run): 6401
  [25/4966] elapsed=18.3s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 241, 'UNDECIDED': 103, 'REFUSED': 0}
  [50/4966] elapsed=38.8s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 265, 'UNDECIDED': 104, 'REFUSED': 0}
  [75/4966] elapsed=42.2s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 290, 'UNDECIDED': 104, 'REFUSED': 0}
  [100/4966] elapsed=72.6s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 314, 'UNDECIDED': 105, 'REFUSED': 0}
  [125/4966] elapsed=126.7s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 337, 'UNDECIDED': 107, 'REFUSED': 0}
  [150/4966] elapsed=126.9s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 362, 'UNDECIDED': 107, 'REFUSED': 0}
  [175/4966] elapsed=127.0s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 387, 'UNDECIDED': 107, 'REFUSED': 0}
  [200/4966] elapsed=127.1s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 412, 'UNDECIDED': 107, 'REFUSED': 0}
  [225/4966] elapsed=127.3s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 437, 'UNDECIDED': 107, 'REFUSED': 0}
  [250/4966] elapsed=127.5s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 462, 'UNDECIDED': 107, 'REFUSED': 0}
  [275/4966] elapsed=127.7s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 475, 'UNDECIDED': 119, 'REFUSED': 0}
  [300/4966] elapsed=127.8s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 498, 'UNDECIDED': 121, 'REFUSED': 0}
  [325/4966] elapsed=127.9s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 523, 'UNDECIDED': 121, 'REFUSED': 0}
  [350/4966] elapsed=128.2s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 548, 'UNDECIDED': 121, 'REFUSED': 0}
  [375/4966] elapsed=128.5s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 561, 'UNDECIDED': 133, 'REFUSED': 0}
  [400/4966] elapsed=128.7s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 586, 'UNDECIDED': 133, 'REFUSED': 0}
  [425/4966] elapsed=136.3s tally={'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 607, 'UNDECIDED': 137, 'REFUSED': 0}
wrote /sessions/inspiring-busy-pasteur/mnt/Programming/PseudoCoupHQ/Research/op_pipeline/proved_edges2.json
tally: {'PROVED': 0, 'PROVED_TRANSITIVE': 0, 'DISPROVED': 617, 'UNDECIDED': 138, 'REFUSED': 0}
stopped_reason: wall-clock budget of 150s reached after 436 pairs
