canon39_wrapped_c.json: 610 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (1s)
canon39_wrapped_cpp.json: 770 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_wrapped_go.json: 107 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_wrapped_rust.json: 123 transcribed, 2 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_wrapped_swift.json: 153 transcribed, 14 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_interp.json: 9 transcribed, 2 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_regen_store/op_units2_c_c0000.json: 138 transcribed, 9 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_regen_store/op_units2_c_c0001.json: 125 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_regen_store/op_units2_c_c0002.json: 99 transcribed, 18 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_regen_store/op_units2_c_c0003.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_regen_store/op_units2_c_c0004.json: 24 transcribed, 26 canon39-refused skipped, 0 not banked, 0 disagreements (3s)
canon39_regen_store/op_units2_c_c0005.json: 94 transcribed, 6 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
canon39_regen_store/op_units2_c_c0006.json: 96 transcribed, 4 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
canon39_regen_store/op_units2_c_c0007.json: 95 transcribed, 8 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
canon39_regen_store/op_units2_c_c0008.json: 124 transcribed, 6 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
canon39_regen_store/op_units2_c_c0009.json: 89 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
canon39_regen_store/op_units2_c_c0010.json: 47 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
canon39_regen_store/op_units2_c_c0011.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
canon39_regen_store/op_units2_c_c0012.json: 24 transcribed, 26 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
