#verbatim-escape v1
op_800|SHIP|OK|48 89 f8 48 89 37 48 89 57 08 c6 47 10 00 c3|mov %rdi,%rax;mov %rsi,(%rdi);mov %rdx,0x8(%rdi);movb $0x0,0x10(%rdi);ret
op_800|ANCHOR|OK|48 83 ec 18 48 89 f8 48 89 04 24 48 89 74 24 08 48 89 54 24 10 ff 15 00 00 00 00 48 8b 04 24 48 83 c4 18 c3|sub $0x18,%rsp;mov %rdi,%rax;mov %rax,(%rsp);mov %rsi,0x8(%rsp);mov %rdx,0x10(%rsp);call *0x0(%rip) !!reloc=R_X86_64_GOTPCREL:_ZN4core3ops5range25RangeInclusive$LT$Idx$GT$3new17hf064141155c80198E-0x4;mov (%rsp),%rax;add $0x18,%rsp;ret
op_800|ANCHOR|DWARF|a=2 byte block: 91 8 (DW_OP_fbreg: 8);b=2 byte block: 91 10 (DW_OP_fbreg: 16)
op_801|REFUSED|error[E0308]: mismatched types
op_802|REFUSED|error[E0308]: mismatched types
op_803|REFUSED|error[E0308]: mismatched types
op_804|REFUSED|error[E0308]: mismatched types
op_805|REFUSED|error[E0308]: mismatched types
op_806|REFUSED|error[E0308]: mismatched types
op_807|SHIP|OK|48 89 f8 f3 0f 11 07 f3 0f 11 4f 04 c6 47 08 00 c3|mov %rdi,%rax;movss %xmm0,(%rdi);movss %xmm1,0x4(%rdi);movb $0x0,0x8(%rdi);ret
op_807|ANCHOR|OK|48 83 ec 18 48 89 f8 48 89 44 24 08 f3 0f 11 44 24 10 f3 0f 11 4c 24 14 ff 15 00 00 00 00 48 8b 44 24 08 48 83 c4 18 c3|sub $0x18,%rsp;mov %rdi,%rax;mov %rax,0x8(%rsp);movss %xmm0,0x10(%rsp);movss %xmm1,0x14(%rsp);call *0x0(%rip) !!reloc=R_X86_64_GOTPCREL:_ZN4core3ops5range25RangeInclusive$LT$Idx$GT$3new17hf9803bfb9015e050E-0x4;mov 0x8(%rsp),%rax;add $0x18,%rsp;ret
op_807|ANCHOR|DWARF|a=2 byte block: 91 10 (DW_OP_fbreg: 16);b=2 byte block: 91 14 (DW_OP_fbreg: 20)
op_808|REFUSED|error[E0308]: mismatched types
op_809|REFUSED|error[E0308]: mismatched types
op_810|REFUSED|error[E0308]: mismatched types
op_811|REFUSED|error[E0308]: mismatched types
op_812|REFUSED|error[E0308]: mismatched types
op_813|REFUSED|error[E0308]: mismatched types
op_814|SHIP|OK|48 89 f8 f2 0f 11 07 f2 0f 11 4f 08 c6 47 10 00 c3|mov %rdi,%rax;movsd %xmm0,(%rdi);movsd %xmm1,0x8(%rdi);movb $0x0,0x10(%rdi);ret
op_814|ANCHOR|OK|48 83 ec 18 48 89 f8 48 89 04 24 f2 0f 11 44 24 08 f2 0f 11 4c 24 10 ff 15 00 00 00 00 48 8b 04 24 48 83 c4 18 c3|sub $0x18,%rsp;mov %rdi,%rax;mov %rax,(%rsp);movsd %xmm0,0x8(%rsp);movsd %xmm1,0x10(%rsp);call *0x0(%rip) !!reloc=R_X86_64_GOTPCREL:_ZN4core3ops5range25RangeInclusive$LT$Idx$GT$3new17h00a55141c425aca1E-0x4;mov (%rsp),%rax;add $0x18,%rsp;ret
op_814|ANCHOR|DWARF|a=2 byte block: 91 8 (DW_OP_fbreg: 8);b=2 byte block: 91 10 (DW_OP_fbreg: 16)
op_815|REFUSED|error[E0308]: mismatched types
op_816|REFUSED|error[E0308]: mismatched types
op_817|REFUSED|error[E0308]: mismatched types
op_818|REFUSED|error[E0308]: mismatched types
op_819|REFUSED|error[E0308]: mismatched types
op_820|REFUSED|error[E0308]: mismatched types
op_821|SHIP|OK|c1 e6 08 8d 04 3e c3|shl $0x8,%esi;lea (%rsi,%rdi,1),%eax;ret
op_821|ANCHOR|OK|48 83 ec 18 40 88 f0 40 88 f9 88 ca 80 e2 01 88 54 24 12 88 c2 80 e2 01 88 54 24 13 0f b6 f9 83 e7 01 0f b6 f0 83 e6 01 48 8b 05 00 00 00 00 ff d0 66 89 c1 66 89 4c 24 14 c1 e8 10 88 44 24 16 8a 44 24 16 88 44 24 10 66 8b 44 24 14 66 89 44 24 0e 0f b6 4c 24 10 c1 e1 10 0f b7 44 24 0e 09 c8 48 83 c4 18 c3|sub $0x18,%rsp;mov %sil,%al;mov %dil,%cl;mov %cl,%dl;and $0x1,%dl;mov %dl,0x12(%rsp);mov %al,%dl;and $0x1,%dl;mov %dl,0x13(%rsp);movzbl %cl,%edi;and $0x1,%edi;movzbl %al,%esi;and $0x1,%esi;mov 0x0(%rip),%rax !!reloc=R_X86_64_GOTPCREL:_ZN4core3ops5range25RangeInclusive$LT$Idx$GT$3new17hc422a2de5bd88425E-0x4;call *%rax;mov %ax,%cx;mov %cx,0x14(%rsp);shr $0x10,%eax;mov %al,0x16(%rsp);mov 0x16(%rsp),%al;mov %al,0x10(%rsp);mov 0x14(%rsp),%ax;mov %ax,0xe(%rsp);movzbl 0x10(%rsp),%ecx;shl $0x10,%ecx;movzwl 0xe(%rsp),%eax;or %ecx,%eax;add $0x18,%rsp;ret
op_821|ANCHOR|DWARF|a=2 byte block: 91 12 (DW_OP_fbreg: 18);b=2 byte block: 91 13 (DW_OP_fbreg: 19)
op_822|REFUSED|error[E0573]: expected type, found local variable `b`
op_823|REFUSED|error[E0573]: expected type, found local variable `b`
op_824|REFUSED|error[E0573]: expected type, found local variable `b`
op_825|REFUSED|error[E0573]: expected type, found local variable `b`
op_826|REFUSED|error[E0573]: expected type, found local variable `b`
op_827|REFUSED|error[E0573]: expected type, found local variable `b`
op_828|REFUSED|error[E0573]: expected type, found local variable `b`
op_829|REFUSED|error[E0573]: expected type, found local variable `b`
op_830|REFUSED|error[E0573]: expected type, found local variable `b`
op_831|REFUSED|error[E0573]: expected type, found local variable `b`
op_832|REFUSED|error[E0573]: expected type, found local variable `b`
op_833|REFUSED|error[E0573]: expected type, found local variable `b`
op_834|REFUSED|error[E0573]: expected type, found local variable `b`
op_835|REFUSED|error[E0573]: expected type, found local variable `b`
op_836|REFUSED|error[E0573]: expected type, found local variable `b`
op_837|REFUSED|error[E0573]: expected type, found local variable `b`
op_838|REFUSED|error[E0573]: expected type, found local variable `b`
op_839|REFUSED|error[E0573]: expected type, found local variable `b`
op_840|REFUSED|error[E0573]: expected type, found local variable `b`
op_841|REFUSED|error[E0573]: expected type, found local variable `b`
op_842|REFUSED|error[E0573]: expected type, found local variable `b`
op_843|REFUSED|error[E0573]: expected type, found local variable `b`
op_844|REFUSED|error[E0573]: expected type, found local variable `b`
op_845|REFUSED|error[E0573]: expected type, found local variable `b`
op_846|REFUSED|error[E0573]: expected type, found local variable `b`
op_847|REFUSED|error[E0573]: expected type, found local variable `b`
op_848|REFUSED|error[E0573]: expected type, found local variable `b`
op_849|REFUSED|error[E0573]: expected type, found local variable `b`
op_850|REFUSED|error[E0573]: expected type, found local variable `b`
op_851|REFUSED|error[E0573]: expected type, found local variable `b`
op_852|REFUSED|error[E0573]: expected type, found local variable `b`
op_853|REFUSED|error[E0573]: expected type, found local variable `b`
op_854|REFUSED|error[E0573]: expected type, found local variable `b`
op_855|REFUSED|error[E0573]: expected type, found local variable `b`
op_856|REFUSED|error[E0573]: expected type, found local variable `b`
op_857|REFUSED|error[E0573]: expected type, found local variable `b`
