clauses 339; emitted definitions 4750; lean-sail definitions indexed 149
classes reaching equals: 135 of 186
  au_237_c_postdec_f64         PROVED    same_text        1.1s  covers 29 units
  au_198_c_sizeof_i64          PROVED    same_text        1.3s  covers 15 units
  au_348_c_bor_i64_i64         PROVED    same_text        1.4s  covers 14 units
  au_364_c_bxor_i64_i64        PROVED    same_text        1.4s  covers 14 units
  au_380_c_band_i64_i64        PROVED    same_text        1.4s  covers 14 units
  au_316_c_lor_i64_i64         PROVED    same_text        1.4s  covers 12 units
  au_332_c_land_i64_i64        PROVED    same_text        1.4s  covers 12 units
  au_244_c_add_i64_i64         PROVED    same_text        1.4s  covers 10 units
  au_260_c_sub_i64_i64         PROVED    same_text        1.4s  covers 10 units
  au_278_c_mul_bool_bool       PROVED    fixed_width      6.8s  covers 10 units
  au_396_c_eq_i64_i64          PROVED    same_text        1.4s  covers 10 units
  au_182_c_pos_i32             PROVED    fixed_width      6.0s  covers 9 units
  au_326_c_lor_bool_bool       PROVED    fixed_width      7.1s  covers 8 units
  au_185_c_pos_f32             PROVED    fixed_width      5.4s  covers 7 units
  au_238_c_postdec_bool        PROVED    fixed_width      5.4s  covers 7 units
  au_374_c_bxor_bool_bool      PROVED    fixed_width      7.1s  covers 7 units
  au_175_c_not_i64             PROVED    same_text        1.3s  covers 6 units
  au_192_c_preinc_bool         PROVED    same_text        1.3s  covers 6 units
  au_315_c_lor_i64_i32         UNDECIDED none            13.5s  covers 6 units
  au_318_c_lor_i64_bool        PROVED    fixed_width     11.6s  covers 6 units
  au_324_c_lor_bool_i64        PROVED    fixed_width     11.7s  covers 6 units
  au_344_c_bor_i32_i64         PROVED    fixed_width      6.8s  covers 6 units
  au_347_c_bor_i64_i32         PROVED    fixed_width      6.8s  covers 6 units
  au_350_c_bor_i64_bool        PROVED    fixed_width      5.9s  covers 6 units
  au_356_c_bor_bool_i64        PROVED    fixed_width      5.9s  covers 6 units
  au_360_c_bxor_i32_i64        PROVED    fixed_width      6.7s  covers 6 units
  au_363_c_bxor_i64_i32        PROVED    fixed_width      6.7s  covers 6 units
  au_366_c_bxor_i64_bool       PROVED    fixed_width      6.0s  covers 6 units
  au_372_c_bxor_bool_i64       PROVED    fixed_width      6.3s  covers 6 units
  au_376_c_band_i32_i64        PROVED    fixed_width      6.9s  covers 6 units
  au_379_c_band_i64_i32        PROVED    fixed_width      6.8s  covers 6 units
  au_382_c_band_i64_bool       PROVED    fixed_width      5.8s  covers 6 units
  au_388_c_band_bool_i64       PROVED    fixed_width      5.7s  covers 6 units
  au_196_c_predec_bool         PROVED    fixed_width      6.5s  covers 5 units
  au_179_c_neg_i64             PROVED    same_text        1.4s  covers 5 units
  au_197_c_sizeof_i32          PROVED    same_text        1.3s  covers 5 units
  au_200_c_sizeof_f32          PROVED    same_text        1.3s  covers 5 units
  au_190_c_preinc_i64          PROVED    same_text        1.2s  covers 4 units
  au_194_c_predec_i64          PROVED    same_text        1.2s  covers 4 units
  au_240_c_add_i32_i64         PROVED    fixed_width      5.9s  covers 4 units
  au_243_c_add_i64_i32         PROVED    fixed_width      6.1s  covers 4 units
  au_246_c_add_i64_bool        PROVED    fixed_width      5.5s  covers 4 units
  au_252_c_add_bool_i64        PROVED    fixed_width      5.5s  covers 4 units
  au_256_c_sub_i32_i64         PROVED    fixed_width      6.4s  covers 4 units
  au_259_c_sub_i64_i32         PROVED    fixed_width      6.4s  covers 4 units
  au_262_c_sub_i64_bool        PROVED    fixed_width      5.6s  covers 4 units
  au_268_c_sub_bool_i64        PROVED    fixed_width      5.5s  covers 4 units
  au_286_c_div_i64_bool        PROVED    same_text        1.2s  covers 4 units
  au_302_c_rem_i64_bool        PROVED    same_text        1.3s  covers 4 units
  au_343_c_bor_i32_i32         PROVED    fixed_width      8.0s  covers 4 units
  au_359_c_bxor_i32_i32        PROVED    fixed_width      7.8s  covers 4 units
  au_375_c_band_i32_i32        PROVED    fixed_width      7.8s  covers 4 units
  au_398_c_eq_i64_bool         PROVED    integer_level    3.0s  covers 4 units
  au_404_c_eq_bool_i64         PROVED    integer_level    3.0s  covers 4 units
  au_178_c_neg_i32             PROVED    fixed_width      7.0s  covers 3 units
  au_239_c_add_i32_i32         PROVED    fixed_width      7.9s  covers 3 units
  au_255_c_sub_i32_i32         PROVED    fixed_width      7.9s  covers 3 units
  au_294_c_div_bool_bool       PROVED    fixed_width      5.5s  covers 3 units
  au_323_c_lor_bool_i32        UNDECIDED none            17.0s  covers 3 units
  au_346_c_bor_i32_bool        PROVED    fixed_width      8.7s  covers 3 units
  au_355_c_bor_bool_i32        PROVED    fixed_width      8.5s  covers 3 units
