  proof lib LeanIM; executable lib LeanIMPrExecutable; decoder state: s0
  no-effect clauses (the body is the retire): 5
  emitted definitions scanned: 4750; lean-sail definitions indexed: 149
  decode: 108 words, lean rc=0, 36.3s
  register expressions evaluated: 3 of 3 (3.1s)
  certifying with 4 Lean job(s) at a time
  arch_au_273_c_mul_i64_bool               REFUSED  no certified pure form for ZICOND_RTYPE (an element the rule does not know: let condition ← (( do)
  arch_au_276_c_mul_bool_i64               REFUSED  no certified pure form for ZICOND_RTYPE (an element the rule does not know: let condition ← (( do)
  arch_au_272_c_mul_i32_bool               REFUSED  no certified pure form for ZICOND_RTYPE (an element the rule does not know: let condition ← (( do)
  arch_au_275_c_mul_bool_i32               REFUSED  no certified pure form for ZICOND_RTYPE (an element the rule does not know: let condition ← (( do)
  arch_au_428_go_div_i32_i32               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_429_go_div_i64_i64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_430_go_div_u64_u64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_431_go_rem_i32_i32               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_432_go_rem_i64_i64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_433_go_rem_u64_u64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_434_go_shl_i32_i32               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_435_go_shl_i32_i64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_437_go_shl_i64_i32               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_438_go_shl_i64_i64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_440_go_shl_u64_i32               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_441_go_shl_u64_i64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_443_go_shr_i32_i32               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_444_go_shr_i32_i64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_446_go_shr_i64_i32               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_447_go_shr_i64_i64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_449_go_shr_u64_i32               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_450_go_shr_u64_i64               REFUSED  no certified pure form for LOAD (an element the rule does not know: assert (width ≤b xlen_bytes) "extensions/I
  arch_au_237_c_postdec_f64                CERTIFIED   18.4s  a
  arch_au_198_c_sizeof_i64                 CERTIFIED   18.1s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x08#6)))) (ADDI))
  arch_au_348_c_bor_i64_i64                CERTIFIED   18.9s  (pure_RTYPE (a) (b) (OR))
  arch_au_364_c_bxor_i64_i64               CERTIFIED   18.4s  (pure_RTYPE (a) (b) (XOR))
  arch_au_380_c_band_i64_i64               CERTIFIED   18.2s  (pure_RTYPE (a) (b) (AND))
  arch_au_316_c_lor_i64_i64                CERTIFIED   18.9s  (pure_RTYPE (zero_reg) ((pure_RTYPE (a) (b) (OR))) (LeanIM.rop.SLTU))
  arch_au_332_c_land_i64_i64               CERTIFIED   18.1s  (pure_RTYPE ((pure_RTYPE (zero_reg) (a) (LeanIM.rop.SLTU))) ((pure_RTYPE (zero_reg) (b) (L
  arch_au_244_c_add_i64_i64                CERTIFIED   19.3s  (pure_RTYPE (a) (b) (ADD))
  arch_au_260_c_sub_i64_i64                CERTIFIED   18.9s  (pure_RTYPE (a) (b) (SUB))
  arch_au_278_c_mul_bool_bool              CERTIFIED   18.5s  (pure_RTYPE (a) (b) (AND))
  arch_au_396_c_eq_i64_i64                 CERTIFIED   18.8s  (pure_ITYPE ((pure_RTYPE (a) (b) (XOR))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_182_c_pos_i32                    CERTIFIED   18.6s  a
  arch_au_326_c_lor_bool_bool              CERTIFIED   19.3s  (pure_RTYPE (a) (b) (OR))
  arch_au_185_c_pos_f32                    CERTIFIED   18.1s  a
  arch_au_238_c_postdec_bool               CERTIFIED   18.6s  a
  arch_au_374_c_bxor_bool_bool             CERTIFIED   18.6s  (pure_RTYPE (a) (b) (XOR))
  arch_au_175_c_not_i64                    CERTIFIED   18.8s  (pure_ITYPE (a) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_192_c_preinc_bool                CERTIFIED   19.1s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x01#6)))) (ADDI))
  arch_au_285_c_div_i64_u64                CERTIFIED   19.2s  (pure_DIV (a) (b) (true))
  arch_au_301_c_rem_i64_u64                CERTIFIED   18.4s  (pure_REM (a) (b) (true))
  arch_au_312_c_lor_i32_i64                CERTIFIED   18.7s  (pure_RTYPE (zero_reg) ((pure_RTYPE (a) (b) (OR))) (LeanIM.rop.SLTU))
  arch_au_315_c_lor_i64_i32                CERTIFIED   18.6s  (pure_RTYPE (zero_reg) ((pure_RTYPE (a) (b) (OR))) (LeanIM.rop.SLTU))
  arch_au_318_c_lor_i64_bool               CERTIFIED   19.2s  (pure_RTYPE ((pure_RTYPE (zero_reg) (a) (LeanIM.rop.SLTU))) (b) (OR))
  arch_au_324_c_lor_bool_i64               CERTIFIED   18.9s  (pure_RTYPE (a) ((pure_RTYPE (zero_reg) (b) (LeanIM.rop.SLTU))) (OR))
  arch_au_328_c_land_i32_i64               CERTIFIED   19.0s  (pure_RTYPE ((pure_RTYPE (zero_reg) (a) (LeanIM.rop.SLTU))) ((pure_RTYPE (zero_reg) (b) (L
