clauses 339; emitted definitions 4750
pairs reaching equals: 10; theorems to put: 20
  au_182_c_pos_i32             plain UNDECIDED none             4.3s
  au_182_c_pos_i32             abi   UNDECIDED none             5.8s
  au_409_go_pos_i32            plain UNDECIDED none             4.3s
  au_409_go_pos_i32            abi   UNDECIDED none             5.9s
  au_205_c_alignof_gnu2_u64    plain PROVED    same_text        1.3s
  au_205_c_alignof_gnu2_u64    abi   PROVED    same_text        1.2s
  au_252_c_add_bool_i64        plain UNDECIDED none             5.2s
  au_252_c_add_bool_i64        abi   PROVED    fixed_width      5.6s
  au_344_c_bor_i32_i64         plain UNDECIDED none             5.7s
  au_344_c_bor_i32_i64         abi   PROVED    fixed_width      7.0s
  au_372_c_bxor_bool_i64       plain UNDECIDED none             5.7s
  au_372_c_bxor_bool_i64       abi   PROVED    fixed_width      6.1s
  au_452_go_band_i32_i32       plain UNDECIDED none             5.4s
  au_452_go_band_i32_i32       abi   UNDECIDED none             7.7s
  au_319_c_lor_u64_i32         plain UNDECIDED none             8.9s
  au_319_c_lor_u64_i32         abi   UNDECIDED none            12.3s
  au_407_c_ne_i32_i32          plain UNDECIDED none             8.7s
  au_407_c_ne_i32_i32          abi   UNDECIDED none            13.3s
  au_445_go_shr_i32_u64        plain UNDECIDED none            15.4s
  au_445_go_shr_i32_u64        abi   UNDECIDED none            19.8s
wrote PseudoCoupHQ/Research/oracle/riscv/leanpath/runs/gate_emul/gate.json
