clauses 339; emitted definitions 4750; lean-sail definitions indexed 149
pairs reaching equals: 10; theorems to put: 20
  au_182_c_pos_i32             plain  was UNDECIDED now UNDECIDED none             4.5s
  au_182_c_pos_i32             abi    was UNDECIDED now UNDECIDED none             6.0s
  au_409_go_pos_i32            plain  was UNDECIDED now UNDECIDED none             4.5s
  au_409_go_pos_i32            abi    was UNDECIDED now UNDECIDED none             6.2s
  au_205_c_alignof_gnu2_u64    plain  was PROVED    now PROVED    same_text        1.3s
  au_205_c_alignof_gnu2_u64    abi    was PROVED    now PROVED    same_text        1.2s
  au_252_c_add_bool_i64        plain  was UNDECIDED now UNDECIDED none             5.3s
  au_252_c_add_bool_i64        abi    was PROVED    now PROVED    fixed_width      5.4s
  au_344_c_bor_i32_i64         plain  was UNDECIDED now UNDECIDED none             5.7s
  au_344_c_bor_i32_i64         abi    was PROVED    now PROVED    fixed_width      7.1s
  au_372_c_bxor_bool_i64       plain  was UNDECIDED now UNDECIDED none             5.6s
  au_372_c_bxor_bool_i64       abi    was PROVED    now PROVED    fixed_width      6.0s
  au_452_go_band_i32_i32       plain  was UNDECIDED now UNDECIDED none             5.7s
  au_452_go_band_i32_i32       abi    was UNDECIDED now UNDECIDED none             7.8s
  au_319_c_lor_u64_i32         plain  was UNDECIDED now UNDECIDED none             8.9s
  au_319_c_lor_u64_i32         abi    was UNDECIDED now UNDECIDED none            12.6s
  au_407_c_ne_i32_i32          plain  was UNDECIDED now UNDECIDED none             9.1s
  au_407_c_ne_i32_i32          abi    was UNDECIDED now UNDECIDED none            13.3s
  au_445_go_shr_i32_u64        plain  was UNDECIDED now UNDECIDED none            85.2s
  au_445_go_shr_i32_u64        abi    was UNDECIDED now UNDECIDED none            34.3s
wrote PseudoCoupHQ/Research/oracle/riscv/leanpath/runs/gate_emul_fix/gate.json
